,group,variable,month,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TOTALES,TOTALES,TOTALES
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,1,1,0,5,3,8
WALDO BALLIVIAN,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2
YOCALLA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
YOTALA,telesalud,teledispositivos otoscopio,2024-06-01,0,0,0,0,1,1,0,0,1,1,0,0,2,9,3,1,0,0,2,6,9,18,27
APOLO,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
AUCAPATA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,3,1,4
AYATA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
BELEN DE URMIRI,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,3,1,5,5,10
BETANZOS,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CALAMARCA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,1,2,1,0,1,4,2,5,0,3,2,7,7,21,28
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,6
CARACOLLO,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,3,1,4
CARIPUYO,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,2,0,2,0,0,2,3,0,0,0,0,1,1,3,8,11
CHUMA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,4
CKOCHAS,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,3,1,7,8
COLLANA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,3
COLOMI,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
COLQUECHACA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
COLQUENCHA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2
COLQUIRI,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,11,11
CORQUE,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,2,4,6
COTOCA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2
CUATRO CAÑADAS,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,3,3,6,9
CURAHUARA DE CARANGAS,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,7
CURVA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
EL CHORO,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,4,5,6,11
ESCOMA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
FERNANDEZ ALONSO,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,2,3,5
HUACHACALLA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,3,4
HUARINA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,7,5,12
HUMANATA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,6,3,11,4,15
LAS CARRERAS,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,3
LICOMA PAMPA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MACHARETI,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MECAPACA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,2,1,0,4,5,9
MOCOMOCO,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2
OCURI,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAILON,telesalud,teledispositivos otoscopio,2024-07-01,0,0,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,4,1,2,11,17,28
PELECHUCO,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,0,2,5,7
PUERTO ACOSTA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,3
PUERTO CARABUCO,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,3,3,6
PUNA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,4,4
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,1,1,0,0,0,0,0,2,4,1,0,1,0,1,1,6,6,12
SAN CARLOS,telesalud,teledispositivos otoscopio,2024-07-01,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SAN PEDRO DE QUEMES,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,1,5,6
SANTIAGO DE CALLAPA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,6,6
SANTIAGO DE HUARI,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,2,4
SANTUARIO DE QUILLACAS,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SORATA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,3
SUCRE,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,2,1,3,6,9
TACACOMA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,1,0,0,0,0,0,0,0,4,5,3,1,0,1,0,0,8,7,15
TOMINA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
TURCO,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,1,4
UNCIA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
VACAS,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2
VALLEGRANDE,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
VILA VILA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,3
WALDO BALLIVIAN,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,3
WARNES,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,2,0,1,5,9,14
YAMPARAEZ,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
YOTALA,telesalud,teledispositivos otoscopio,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,6,1,9,10
AYO AYO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,3,5,3,10,13
BELEN DE URMIRI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
"CAIZA ""D""",telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,6,5,6,11
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,1,2,4,6,10
CAQUIAVIRI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
CARIPUYO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,1,5,6
CHACARILLA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,4,8
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,6,6
COLLANA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,2,2,9,2,11
COLQUECHACA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,1,0,3,4,7
COLQUIRI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,6
CORQUE,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
CURAHUARA DE CARANGAS,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,3
CURVA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,1,1,5,3,8
EL CHORO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,2,4,6
EL VILLAR,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GUAQUI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,3
HUACARETA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUACHACALLA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,3
HUARINA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,1,0,1,0,1,1,2,0,2,2,2,2,0,4,3,6,12,15,27
HUMANATA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,3,4,5,9,14
ICLA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,5,5,9,6,15
INCAHUASI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,3
INQUISIVI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,0,4,0,5,8,9,17
JESUS DE MACHACA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LAS CARRERAS,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,3
LICOMA PAMPA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LLICA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,4,6
LURIBAY,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
MACHACAMARCA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,5,6
MACHARETI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MOCOMOCO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,5,5,10
MOJINETE,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
OCURI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
OKINAWA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
OMEREQUE,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
PAILON,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,1,1,1,1,1,2,3,1,2,3,4,2,3,5,15,15,30
PALCA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,2,6,8
PELECHUCO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2
PORCO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PORVENIR,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,1,3,2,0,0,0,3,2,0,1,0,1,1,1,7,8,15
PUERTO ACOSTA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,1,2,5,7
PUERTO CARABUCO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,3,4,6,10
PUERTO GONZALO MORENO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,1,0,0,1,0,0,0,0,1,4,1,1,1,1,0,0,4,7,11
PUERTO SUAREZ,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,1,3,5,8,4,7,6,4,6,8,5,9,7,8,6,3,40,50,90
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,3,3,6
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,4,5
SAN BENITO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
SAN CARLOS,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,2,0,0,1,0,2,0,2,2,0,0,0,0,1,1,6,5,11
SAN JUAN DE YAPACANI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,4
SAN JULIAN,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,3
SAN PEDRO DE QUEMES,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,3,0,1,1,1,3,7,10
SANTIAGO DE CALLAPA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,6,8
SANTIAGO DE HUARI,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,1,4,2,9,11
SOPACHUY,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,1,5,5,10
SORATA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SUCRE,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,3,1,0,2,0,3,4,42,9,18,4,11,8,20,28,97,125
TACACOMA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,2,1,3,3,10,13
TIAHUANACU,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
TOLATA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
TOTORA(CBBA),telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
UNCIA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3
VILA VILA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
VILLA SERRANO,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,3
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
YOTALA,telesalud,teledispositivos otoscopio,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,7,2,11,13
ANCORAIMES,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,4,0,2,1,11,12
APOLO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4
AUCAPATA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
AYATA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
AYO AYO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,4,6
CABEZAS,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
"CAIZA ""D""",telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,3,2,5
CAMIRI,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CARIPUYO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,2,2,0,1,1,0,3,0,1,0,0,1,0,4,7,11
CHACARILLA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,7,0,11,11
CHUMA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,3,3,2,5,15,10,24,18,42
COLLANA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,4
COLQUIRI,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,11,11
CURAHUARA DE CARANGAS,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2
CURVA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
EL CHORO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,2,0,10,15,3,0,0,0,0,0,0,0,0,0,5,2,20,17,37
ESCOMA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,2,7,4,11
GUAQUI,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,1,1,0,0,1,1,2,2,1,0,0,2,0,6,5,11
HUACARETA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,4
HUARINA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,1,0,1,1,2,3,8,11
HUMANATA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,8,1,11,12
ICLA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,6,3,9,12
INCAHUASI,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
INQUISIVI,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,3,1,5,4,9
JESUS DE MACHACA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
LICOMA PAMPA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LLICA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,1,2,2,3,5,10,15
MACHARETI,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
MECAPACA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,12,12
MOCOMOCO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
MOJINETE,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
OCURI,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
PAILON,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,1,1,2,1,1,9,8,17
PALCA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
PELECHUCO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
POOPO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
PORCO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
