,group,variable,month,NRO DE TELEINTERCONSULTAS GENERADAS S < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS S < A 6 MESES,NRO DE TELEINTERCONSULTAS GENERADAS S 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS S 6 MESES < 1 AÑO,NRO DE TELEINTERCONSULTAS GENERADAS S 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 1 A 4 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 5 A 9 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 10 A 14 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 15 A 19 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 20 A 39 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 40 A 49 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 50 A 59 AÑOS,NRO DE TELEINTERCONSULTAS GENERADAS S 60 A MAS,NRO DE TELEINTERCONSULTAS GENERADAS S 60 A MAS,TOTALES,TOTALES,TOTALES
BOLPEBRA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,4,4
BOYUIBE,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4,7
"CAIZA ""D""",telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
CAJUATA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMARGO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,4
CAMIRI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CARANAVI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CARAPARI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHACARILLA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,6
CHIPAYA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
COLOMI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
COLPA BELGICA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COLQUIRI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,4
CONCEPCION,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,4,6
CORIPATA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
CORO CORO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
CORQUE,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,4,5
CULPINA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
CURVA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL CHORO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL TORNO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EXALTACION,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
GENERAL SAAVEDRA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,10,0,0,0,39,39
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,6,6
GUAQUI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,4
HUMANATA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ICLA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
INCAHUASI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,2,0,3,0,14,9,0,0,0,3,0,0,0,1,0,0,0,0,0,0,19,13,32
JESUS DE MACHACA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
LA GUARDIA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LAGUNILLAS,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
LAS CARRERAS,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LLICA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LORETO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MACHACAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,3
MACHARETI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MAIRANA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MECAPACA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MOJINETE,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MONTEAGUDO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
OMEREQUE,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,5,6,11,7,20,27
PAILON,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PATACAMAYA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PELECHUCO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
POOPO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,4,4,7,11
POROMA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
PUERTO CARABUCO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,6
PUERTO GONZALO MORENO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PUERTO SUAREZ,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PUERTO VILLARROEL,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,3,10,3,6,0,1,0,1,7,18,25
QUIME,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
RAVELO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,4,5
RIBERALTA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,2,3,5,8
SACABA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,9,6,9,15
SAMAIPATA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
SAN AGUSTIN,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN BENITO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,3,3,6
SAN JAVIER(BNI),telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,1,12
SAN LUCAS,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,8,1,9
SAN RAMON BENI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,2,0,1,0,4,2,3,2,3,5,8,8,3,9,1,4,6,7,31,37,68
SANTUARIO DE QUILLACAS,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SAPAHAQUI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SIPE SIPE,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SOPACHUY,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,1,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,10
SUCRE,telesalud,nro de teleinterconsultas generadas s,2024-05-01,1,5,1,0,0,1,0,0,0,4,0,8,0,24,0,2,1,3,0,5,3,52,55
TACACOMA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TARATA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,3
TARIJA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
TITO YUPANQUI (PARQUIPUJIO),telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,3
TOCO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,3,4
TOLATA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,4,5
TRINIDAD,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,3
TUPIZA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4,5
UNCIA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VACAS,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,2,1,18,0,3,0,0,0,0,1,23,24
VALLEGRANDE,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,5,2,0,1,3,3,13,16
VIACHA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,1,7,5,12
VILA VILA,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA CHARCAS,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,2,4,4,8
VILLA MONTES,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,1,0,2,6,5,11
VILLA SERRANO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,5
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,3,4
VILLAZON,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2
VINTO,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,3
VITICHI,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3
WARNES,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,4,0,0,3,9,12
ZUDAÑEZ,telesalud,nro de teleinterconsultas generadas s,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,5
ACHOCALLA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,2,0,2,6,8
AIQUILE,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,3,2,5
ANDAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,5
ANZALDO,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
APOLO,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ASCENCION DE GUARAYOS,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,3,4
ATOCHA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,4,5
AUCAPATA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
AYATA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
AZURDUY,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,2,2,6,8
BATALLAS,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,4,4
BELEN DE ANDAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,4,5
BETANZOS,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,1,0,4,3,9,5,14
BOYUIBE,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,2,5,7
CABEZAS,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CALAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,1,8,9
CAMATAQUI (C. VILLA ABECIA),telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,3
CARMEN RIVERO TORREZ,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CHACARILLA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,3
CHIPAYA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,3
COLCAPIRHUA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,4,2,6
COLLANA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
COLOMI,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
COLPA BELGICA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
COLQUECHACA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,4
COLQUIRI,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,7,7
CORIPATA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,3,4
CORO CORO,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COTOCA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CUATRO CAÑADAS,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
CULPINA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,3
CURVA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
EL ALTO,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ESMERALDA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,4,3,7
GENERAL SAAVEDRA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,2,0,1,0,13,13
GRAL. J.J. PEREZ (CHARAZANI),telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
HUACARETA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,3
HUMANATA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,7,7
INCAHUASI,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,2,6,8
JESUS DE MACHACA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1,3
LA ASUNTA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA GUARDIA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,4
LA PAZ,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,5,7
LA RIVERA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LAGUNILLAS,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LAS CARRERAS,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,6
LICOMA PAMPA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LLICA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
MACHACAMARCA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,3
MACHARETI,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,4,4,8
MAIRANA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
MIZQUE,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,2,1,0,3,5,9,14
MOCOMOCO,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3
MOJINETE,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3
MONTEAGUDO,telesalud,nro de teleinterconsultas generadas s,2024-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
OMEREQUE,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
ORURO,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,2,7,14,10,18,28
PAILON,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,2,1,4,6,5,13,12,25
PATACAMAYA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POROMA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
POTOSI,telesalud,nro de teleinterconsultas generadas s,2024-06-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PUERTO ACOSTA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,5,5
PUERTO CARABUCO,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
PUERTO GONZALO MORENO,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
PUERTO SUAREZ,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,1,5,6
PUERTO VILLARROEL,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,1,0,1,0,0,1,4,6,3,1,0,1,0,0,9,9,18
PUNA,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
RAVELO,telesalud,nro de teleinterconsultas generadas s,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,21,0,68,0,62,0,79,0,45,0,275,275
