,group,variable,month,17.23 COVID-19 1RA DOSIS DENTRO,17.23 COVID-19 1RA DOSIS DENTRO,17.23 COVID-19 1RA DOSIS FUERA,17.23 COVID-19 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,3,6,3,6,9
SANTIVAÑES,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,1,3,2,3,3,6
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 1ra dosis,2023-05-01,2,2,5,16,7,18,25
SAPAHAQUI,otras vacunaciones,covid-19 1ra dosis,2023-05-01,2,0,0,3,2,3,5
SENA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,2,2,3,2,5,7
SHINAOTA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,7,0,0,1,7,8
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 1ra dosis,2023-05-01,12,7,5,14,17,21,38
SICAYA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,4,4,13,4,17,21
SIPE SIPE,otras vacunaciones,covid-19 1ra dosis,2023-05-01,5,1,27,25,32,26,58
SOPACHUY,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,3,0,0,1,3,4
SORACACHI,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,3,1,2,1,5,6
SORATA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,3,3,3,5,6,8,14
SUCRE,otras vacunaciones,covid-19 1ra dosis,2023-05-01,45,23,9,4,54,27,81
TACACHI,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,0,1,0,1,1
TACACOMA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,0,0,0,1,0,1
TACOBAMBA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,0,5,0,6,0,6
TACOPAYA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,4,6,4,6,10
TAPACARI,otras vacunaciones,covid-19 1ra dosis,2023-05-01,16,10,15,15,31,25,56
TARABUCO,otras vacunaciones,covid-19 1ra dosis,2023-05-01,2,0,2,2,4,2,6
TARACO,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,6,4,6,4,10
TARATA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,1,3,0,3,1,4
TARIJA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,7,7,3,0,10,7,17
TARVITA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,3,16,19,16,22,38
TEOPONTE,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,4,6,7,7,11,18
TIAHUANACU,otras vacunaciones,covid-19 1ra dosis,2023-05-01,8,6,8,3,16,9,25
TINGUIPAYA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,2,3,14,11,16,14,30
TIPUANI,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,6,4,6,4,10
TIQUIPAYA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,9,9,13,13,22,22,44
TIRAQUE (CBBA),otras vacunaciones,covid-19 1ra dosis,2023-05-01,4,2,22,20,26,22,48
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,2,5,5,5,7,12
TOCO,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,2,2,4,3,6,9
TODOS SANTOS,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,1,2,1,2,3
TOLATA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,2,1,6,7,8,8,16
TOLEDO,otras vacunaciones,covid-19 1ra dosis,2023-05-01,5,3,5,8,10,11,21
TOMAVE,otras vacunaciones,covid-19 1ra dosis,2023-05-01,2,1,4,4,6,5,11
TOMINA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,2,22,8,23,10,33
TORO TORO,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,3,0,0,0,3,3
TOTORA(CBBA),otras vacunaciones,covid-19 1ra dosis,2023-05-01,14,28,11,14,25,42,67
TOTORA(ORR),otras vacunaciones,covid-19 1ra dosis,2023-05-01,11,5,2,3,13,8,21
TRINIDAD,otras vacunaciones,covid-19 1ra dosis,2023-05-01,21,14,19,19,40,33,73
TUPIZA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,11,13,14,18,25,31,56
TURCO,otras vacunaciones,covid-19 1ra dosis,2023-05-01,9,9,0,0,9,9,18
UMALA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,4,3,4,1,8,4,12
UNCIA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,16,1,8,9,24,10,34
URUBICHA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,0,3,0,3,3
UYUNI,otras vacunaciones,covid-19 1ra dosis,2023-05-01,2,0,1,1,3,1,4
VACAS,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,1,2,4,3,5,8
VALLEGRANDE,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,2,1,2,1,4,5
VIACHA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,9,5,35,27,44,32,76
VILA VILA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,6,7,6,7,13
VILLA CHARCAS,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,2,2,1,3,3,6
VILLA MONTES,otras vacunaciones,covid-19 1ra dosis,2023-05-01,5,4,28,7,33,11,44
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,9,8,9,8,17
VILLA RIVERO,otras vacunaciones,covid-19 1ra dosis,2023-05-01,8,10,6,1,14,11,25
VILLA SERRANO,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,1,9,6,10,7,17
VILLA TUNARI,otras vacunaciones,covid-19 1ra dosis,2023-05-01,9,10,19,26,28,36,64
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 1ra dosis,2023-05-01,5,6,1,1,6,7,13
VILLAZON,otras vacunaciones,covid-19 1ra dosis,2023-05-01,9,11,19,14,28,25,53
VINTO,otras vacunaciones,covid-19 1ra dosis,2023-05-01,18,12,11,4,29,16,45
VITICHI,otras vacunaciones,covid-19 1ra dosis,2023-05-01,3,4,13,19,16,23,39
WALDO BALLIVIAN,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,1,0,0,0,1,1
WARNES,otras vacunaciones,covid-19 1ra dosis,2023-05-01,28,23,14,18,42,41,83
YACO,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,7,7,7,7,14
YACUIBA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,4,16,10,17,14,31
YAMPARAEZ,otras vacunaciones,covid-19 1ra dosis,2023-05-01,2,0,0,1,2,1,3
YANACACHI,otras vacunaciones,covid-19 1ra dosis,2023-05-01,1,2,2,0,3,2,5
YAPACANI,otras vacunaciones,covid-19 1ra dosis,2023-05-01,13,11,4,0,17,11,28
YOCALLA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,6,1,4,2,10,3,13
YOTALA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,0,1,0,1,1
YUNCHARA,otras vacunaciones,covid-19 1ra dosis,2023-05-01,0,0,0,1,0,1,1
ZUDAÑEZ,otras vacunaciones,covid-19 1ra dosis,2023-05-01,5,1,1,0,6,1,7
ACACIO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,3,1,3,1,4
ACHACACHI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,8,5,33,52,41,57,98
ACHOCALLA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,8,6,4,10,12,16,28
AIQUILE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,2,7,9,9,11,20
ALALAY,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,4,1,2,5,6,11
ALCALA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,0,1,0,1,1
ALTO BENI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,0,1,1,1,2
ANCORAIMES,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,5,4,5,5,10
ANDAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,9,14,0,1,9,15,24
ANTEQUERA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,7,5,7,5,12
ANZALDO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,5,5,5,5,10
APOLO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,1,6,5,7,6,13
ARANI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,1,1,2,2,3,5
ARBIETO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,1,3,1,4,2,6
ARQUE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,2,24,22,26,24,50
ATOCHA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,2,5,2,6,8
AUCAPATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,5,10,15,11,20,31
AYATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,4,1,4,1,5
AYO AYO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,2,14,29,16,31,47
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 1ra dosis,2023-06-01,18,19,36,45,54,64,118
AZURDUY,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,1,2,17,5,18,23
BATALLAS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,5,15,32,17,37,54
BAURES,otras vacunaciones,covid-19 1ra dosis,2023-06-01,8,6,0,0,8,6,14
BELLA FLOR,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,6,2,6,2,8
BERMEJO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,6,6,1,0,7,6,13
BETANZOS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,7,6,4,10,11,21
BOLIVAR,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,1,0,1,0,1
BOLPEBRA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,3,6,3,7,6,13
BOYUIBE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,0,0,1,0,1
BUENA VISTA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,7,2,3,1,10,3,13
CABEZAS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,1,0,0,2,1,3
CAIROMA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,3,15,10,16,13,29
"CAIZA ""D""",otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,1,0,1,2,2,4
CAJUATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,6,9,0,0,6,9,15
CALACOTO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,2,6,5,8,7,15
CALAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,9,2,10,8,19,10,29
CAMARGO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,1,0,2,0,2
CAMIRI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,11,4,1,1,12,5,17
CAPINOTA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,5,10,11,16,16,26,42
CAQUIAVIRI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,14,9,4,2,18,11,29
CARACOLLO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,6,5,2,2,8,7,15
CARANAVI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,8,15,7,11,15,26,41
CARAPARI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,2,0,0,0,2,2
CARIPUYO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,4,1,4,1,5
CATACORA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,2,3,2,3,5
CHALLAPATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,19,3,3,3,22,6,28
CHAQUI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,1,0,0,1,1,2
CHARAGUA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,1,5,4,8,5,13
CHAYANTA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,5,4,0,0,5,4,9
CHIMORE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,7,6,59,48,66,54,120
CHIPAYA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,1,6,1,7,8
CHOQUE COTA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,1,0,1,0,1
CHUA COCANI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 1ra dosis,2023-06-01,6,13,2,2,8,15,23
CHUMA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,7,3,7,3,10
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,0,3,2,5,2,7
CKOCHAS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,2,7,6,9,8,17
CLIZA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,1,12,5,16,6,22
COBIJA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,2,4,9,8,11,19
COCAPATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,96,105,14,19,110,124,234
COCHABAMBA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,80,81,110,148,190,229,419
COIPASA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,6,11,0,0,6,11,17
COLCAPIRHUA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,5,26,33,28,38,66
"COLCHA ""K""",otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,5,0,6,0,6
COLLANA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,2,0,2,1,3
COLOMI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,4,9,19,13,23,36
COLPA BELGICA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,1,0,0,2,1,3
COLQUECHACA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,3,22,22,23,25,48
COLQUENCHA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,1,1,2,3,3,6
COLQUIRI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,1,14,11,16,12,28
COMANCHE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,12,18,12,18,30
COMARAPA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,1,12,15,13,16,29
CONCEPCION,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,4,0,0,0,4,4
COPACABANA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,1,0,0,1,1,2
CORIPATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,5,19,15,21,20,41
CORO CORO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,11,8,11,15,22,23,45
COROICO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,2,1,1,5,3,8
CORQUE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,7,6,7,10,14,24
COTAGAITA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,8,4,8,4,12
COTOCA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,11,11,5,6,16,17,33
CUATRO CAÑADAS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,5,4,3,1,8,5,13
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,5,5,5,5,10
CUEVO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,0,0,1,0,1
CULPINA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,3,0,1,0,4,4
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,2,8,7,12,9,21
CURVA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,5,2,6,2,8
DESAGUADERO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,4,64,79,67,83,150
EL ALTO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,116,99,81,60,197,159,356
EL CHORO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,2,4,10,5,12,17
EL PUENTE(STC),otras vacunaciones,covid-19 1ra dosis,2023-06-01,5,4,19,9,24,13,37
EL PUENTE(TJA),otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,5,5,3,6,8,14
EL TORNO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,10,7,0,0,10,7,17
ENTRE RIOS TRJ,otras vacunaciones,covid-19 1ra dosis,2023-06-01,6,4,2,2,8,6,14
ENTRE RIOS CBBA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,64,54,42,46,106,100,206
ESCARA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,1,0,1,0,1
ESCOMA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,2,2,7,3,9,12
ESMERALDA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,3,3,3,3,6
FERNANDEZ ALONSO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,2,0,0,3,2,5
FILADELFIA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,1,13,7,15,8,23
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,5,0,5,1,6
GENERAL SAAVEDRA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,4,0,1,2,5,7
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,3,9,7,9,10,19
GUANAY,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,0,21,16,24,16,40
GUAQUI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,2,2,5,4,7,11
GUAYARAMERIN,otras vacunaciones,covid-19 1ra dosis,2023-06-01,14,22,45,0,59,22,81
HUACARETA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,0,2,0,6,0,6
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,1,1,1,2,2,4
HUANUNI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,15,17,5,9,20,26,46
HUARINA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,1,4,4,7,5,12
HUATAJATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,25,26,25,26,51
HUAYLLAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,0,0,1,2,1,3
HUMANATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,0,0,1,0,1
ICHOCA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,4,4,4,5,9
ICLA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,2,0,2,2,4,6
INCAHUASI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,12,14,23,27,35,41,76
INGAVI (HUMAITA),otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,13,20,14,20,34
INQUISIVI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,8,11,24,35,32,46,78
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 1ra dosis,2023-06-01,10,9,2,1,12,10,22
IXIAMAS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,5,9,5,9,14
JESUS DE MACHACA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,3,3,3,5,6,11
LA ASUNTA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,19,35,35,37,54,72,126
LA GUARDIA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,21,20,2,1,23,21,44
LA PAZ,otras vacunaciones,covid-19 1ra dosis,2023-06-01,63,90,97,69,160,159,319
LAJA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,5,6,8,10,13,16,29
LAS CARRERAS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,0,0,0,1,1
LICOMA PAMPA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,2,0,2,0,4,4
LLALLAGUA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,0,35,21,37,21,58
LLICA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,1,0,1,0,1
LURIBAY,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,3,18,11,20,14,34
MACHACAMARCA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,2,0,0,0,2,2
MACHARETI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,1,1,3,5,4,9
MAGDALENA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,5,6,13,11,18,17,35
MAIRANA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,18,13,18,13,31
MALLA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,2,0,2,0,2
MAPIRI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,7,3,3,5,10,15
MECAPACA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,2,0,0,0,2,2
MINEROS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,0,0,0,2,0,2
MIZQUE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,5,5,10,5,15,20
MOCOMOCO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,2,4,10,6,12,18
MOJOCOYA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,0,1,0,1,1
MONTEAGUDO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,2,1,2,1,3
MONTERO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,23,13,0,4,23,17,40
MOROCHATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,19,23,19,23,42
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,2,2,2,2,4
NAZACARA DE PACAJES,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,10,10,10,10,20
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,1,1,1,1,2
OCURI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,14,16,15,16,31
OKINAWA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,3,2,3,3,6
OMEREQUE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,6,8,6,8,14
ORURO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,67,51,43,21,110,72,182
PADCAYA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,4,1,4,1,5
PADILLA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,1,2,2,2,4
PALOS BLANCOS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,6,32,32,35,38,73
PAMPA AULLAGAS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,2,0,2,0,2
PAMPA GRANDE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,0,1,0,2,2
PATACAMAYA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,10,12,14,16,24,40
PAZÑA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,2,10,11,11,13,24
PELECHUCO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,2,1,0,4,2,6
POCOATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,4,0,2,0,6,6
POCONA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,2,8,8,10,10,20
POJO (CBBA),otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,0,34,40,36,40,76
POOPO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,1,1,2,5,3,8
POROMA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,6,12,9,2,15,14,29
PORONGO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,2,0,2,3,4,7
PORTACHUELO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,2,1,0,3,2,5
PORVENIR,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,8,7,9,10,17,27
POSTRER VALLE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,1,1,1,1,2
POTOSI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,26,33,17,11,43,44,87
PRESTO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,2,3,1,4,3,7
PUCARANI,otras vacunaciones,covid-19 1ra dosis,2023-06-01,7,6,7,10,14,16,30
PUERTO ACOSTA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,6,7,28,26,34,33,67
PUERTO CARABUCO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,1,31,30,33,31,64
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,2,35,25,35,27,62
PUERTO PEREZ,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,0,4,5,4,5,9
PUERTO RICO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,1,0,1,1,2,3
PUERTO SUAREZ,otras vacunaciones,covid-19 1ra dosis,2023-06-01,6,3,0,1,6,4,10
PUERTO VILLARROEL,otras vacunaciones,covid-19 1ra dosis,2023-06-01,19,15,51,13,70,28,98
PUNA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,3,1,0,1,3,4
PUNATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,5,31,26,33,31,64
QUIABAYA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,1,1,2,1,3
QUILLACOLLO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,33,26,93,125,126,151,277
QUIME,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,1,1,1,2,3
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 1ra dosis,2023-06-01,4,6,23,26,27,32,59
RAVELO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,5,9,11,18,16,27,43
REYES,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,0,0,0,1,0,1
RIBERALTA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,17,8,3,2,20,10,30
ROBORE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,4,4,1,6,5,11
RURRENABAQUE,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,1,3,14,6,15,21
SABAYA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,34,14,27,2,61,16,77
SACABA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,30,38,45,29,75,67,142
SACABAMBA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,2,1,4,1,6,7
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,0,2,2,4,2,6
SAMAIPATA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,2,1,2,1,4,5
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,0,1,11,10,11,11,22
SAN BENITO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,2,4,0,1,2,5,7
SAN BORJA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,15,21,17,19,32,40,72
SAN BUENA VENTURA,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,1,10,8,11,9,20
SAN CARLOS,otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,5,0,0,3,5,8
SAN IGNACIO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,1,1,9,8,10,9,19
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 1ra dosis,2023-06-01,5,9,9,0,14,9,23
SAN JAVIER(STC),otras vacunaciones,covid-19 1ra dosis,2023-06-01,3,2,0,0,3,2,5
