,group,variable,month,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS FUERA,17.24 COVID-19 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
VACAS,otras vacunaciones,covid-19 2da dosis,2023-05-01,1,1,1,2,2,3,5
VALLEGRANDE,otras vacunaciones,covid-19 2da dosis,2023-05-01,5,2,6,2,11,4,15
VIACHA,otras vacunaciones,covid-19 2da dosis,2023-05-01,10,18,28,13,38,31,69
VILA VILA,otras vacunaciones,covid-19 2da dosis,2023-05-01,0,0,4,4,4,4,8
VILLA MONTES,otras vacunaciones,covid-19 2da dosis,2023-05-01,8,5,73,4,81,9,90
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 2da dosis,2023-05-01,0,0,11,4,11,4,15
VILLA RIVERO,otras vacunaciones,covid-19 2da dosis,2023-05-01,1,7,0,1,1,8,9
VILLA SERRANO,otras vacunaciones,covid-19 2da dosis,2023-05-01,1,0,2,1,3,1,4
VILLA TUNARI,otras vacunaciones,covid-19 2da dosis,2023-05-01,8,3,10,3,18,6,24
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 2da dosis,2023-05-01,5,6,1,2,6,8,14
VILLAZON,otras vacunaciones,covid-19 2da dosis,2023-05-01,9,10,13,9,22,19,41
VINTO,otras vacunaciones,covid-19 2da dosis,2023-05-01,15,11,15,17,30,28,58
VITICHI,otras vacunaciones,covid-19 2da dosis,2023-05-01,3,1,9,6,12,7,19
WARNES,otras vacunaciones,covid-19 2da dosis,2023-05-01,31,18,10,14,41,32,73
YACO,otras vacunaciones,covid-19 2da dosis,2023-05-01,1,0,23,14,24,14,38
YACUIBA,otras vacunaciones,covid-19 2da dosis,2023-05-01,5,3,23,4,28,7,35
YAMPARAEZ,otras vacunaciones,covid-19 2da dosis,2023-05-01,0,0,1,0,1,0,1
YANACACHI,otras vacunaciones,covid-19 2da dosis,2023-05-01,1,2,3,5,4,7,11
YAPACANI,otras vacunaciones,covid-19 2da dosis,2023-05-01,7,5,2,0,9,5,14
YOCALLA,otras vacunaciones,covid-19 2da dosis,2023-05-01,5,4,4,5,9,9,18
YOTALA,otras vacunaciones,covid-19 2da dosis,2023-05-01,0,1,0,1,0,2,2
ZUDAÑEZ,otras vacunaciones,covid-19 2da dosis,2023-05-01,0,1,2,4,2,5,7
ACACIO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,1,0,1,1
ACHACACHI,otras vacunaciones,covid-19 2da dosis,2023-06-01,7,1,77,61,84,62,146
ACHOCALLA,otras vacunaciones,covid-19 2da dosis,2023-06-01,9,13,12,15,21,28,49
AIQUILE,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,2,6,3,9,5,14
ALALAY,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,0,1,1,1,2
ALTO BENI,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,2,2,2,3,4,7
ANCORAIMES,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,4,2,5,2,7
ANDAMARCA,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,2,1,0,5,2,7
ANTEQUERA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,1,4,2,4,6
ANZALDO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,8,4,8,4,12
APOLO,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,2,7,4,10,6,16
ARANI,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,1,1,1,3,2,5
ARBIETO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,3,2,2,3,5,8
ARQUE,otras vacunaciones,covid-19 2da dosis,2023-06-01,6,1,15,9,21,10,31
ATOCHA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,12,5,12,6,18
AUCAPATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,4,10,4,10,14
AYATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,4,1,4,5
AYO AYO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,17,31,18,32,50
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 2da dosis,2023-06-01,13,9,23,26,36,35,71
AZURDUY,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,4,8,1,10,5,15
BATALLAS,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,3,25,39,25,42,67
BAURES,otras vacunaciones,covid-19 2da dosis,2023-06-01,7,4,0,0,7,4,11
BELLA FLOR,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,6,1,6,7
BERMEJO,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,2,3,2,7,4,11
BETANZOS,otras vacunaciones,covid-19 2da dosis,2023-06-01,6,4,5,8,11,12,23
BOLIVAR,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,0,1,0,1
BOLPEBRA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,3,1,4,2,6
BOYUIBE,otras vacunaciones,covid-19 2da dosis,2023-06-01,5,0,0,0,5,0,5
BUENA VISTA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,2,2,0,2,2,4
CABEZAS,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,3,1,3,4
CAIROMA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,4,7,4,8,8,16
CAJUATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,4,1,2,3,6,9
CALACOTO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,5,6,5,7,12
CALAMARCA,otras vacunaciones,covid-19 2da dosis,2023-06-01,9,2,9,12,18,14,32
CAMARGO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,1,2,2,3,5
CAMIRI,otras vacunaciones,covid-19 2da dosis,2023-06-01,7,2,1,0,8,2,10
CAPINOTA,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,4,4,11,6,15,21
CAQUIAVIRI,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,5,18,11,22,16,38
CARACOLLO,otras vacunaciones,covid-19 2da dosis,2023-06-01,9,3,0,0,9,3,12
CARANAVI,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,4,4,5,8,9,17
CARAPARI,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,2,1,2,1,3
CARIPUYO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,3,0,3,3
CATACORA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,5,2,5,2,7
CHALLAPATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,9,4,2,5,11,9,20
CHARAGUA,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,0,0,1,4,1,5
CHAYANTA,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,1,0,0,3,1,4
CHIMORE,otras vacunaciones,covid-19 2da dosis,2023-06-01,7,6,43,18,50,24,74
CHIPAYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,3,4,3,4,7
CHOQUE COTA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,1,0,1,1
CHUA COCANI,otras vacunaciones,covid-19 2da dosis,2023-06-01,6,0,0,0,6,0,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 2da dosis,2023-06-01,1,4,4,1,5,5,10
CHUMA,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,0,2,6,5,6,11
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,2,1,3,1,4
CKOCHAS,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,0,1,4,3,4,7
CLIZA,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,1,10,10,14,11,25
COBIJA,otras vacunaciones,covid-19 2da dosis,2023-06-01,13,12,14,11,27,23,50
COCAPATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,20,26,7,17,27,43,70
COCHABAMBA,otras vacunaciones,covid-19 2da dosis,2023-06-01,91,101,158,160,249,261,510
COIPASA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,4,0,0,1,4,5
COLCAPIRHUA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,27,29,28,29,57
"COLCHA ""K""",otras vacunaciones,covid-19 2da dosis,2023-06-01,8,2,31,0,39,2,41
COLOMI,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,0,7,9,9,9,18
COLPA BELGICA,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,1,0,0,3,1,4
COLQUECHACA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,3,11,16,12,19,31
COLQUENCHA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,0,0,0,1,1
COLQUIRI,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,7,7,8,8,16
COMANCHE,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,15,12,15,12,27
COMARAPA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,2,4,3,5,8
COMBAYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,4,1,4,5
CONCEPCION,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,2,0,0,3,2,5
COPACABANA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,0,0,1,1,2
CORIPATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,2,16,12,18,14,32
CORO CORO,otras vacunaciones,covid-19 2da dosis,2023-06-01,8,2,7,6,15,8,23
COROICO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,4,1,1,2,5,7
CORQUE,otras vacunaciones,covid-19 2da dosis,2023-06-01,17,16,6,6,23,22,45
COTAGAITA,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,1,3,2,5,3,8
COTOCA,otras vacunaciones,covid-19 2da dosis,2023-06-01,5,7,3,10,8,17,25
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,0,0,0,2,0,2
CUATRO CAÑADAS,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,4,0,0,4,4,8
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,9,1,9,10
CUEVO,otras vacunaciones,covid-19 2da dosis,2023-06-01,5,0,0,0,5,0,5
CULPINA,otras vacunaciones,covid-19 2da dosis,2023-06-01,5,1,0,1,5,2,7
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,1,9,7,12,8,20
CURVA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,2,0,2,2
DESAGUADERO,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,3,37,43,40,46,86
EL ALTO,otras vacunaciones,covid-19 2da dosis,2023-06-01,87,85,76,62,163,147,310
EL CHORO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,3,7,4,7,11
EL PUENTE(STC),otras vacunaciones,covid-19 2da dosis,2023-06-01,2,6,7,15,9,21,30
EL PUENTE(TJA),otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,18,10,19,11,30
EL TORNO,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,3,0,0,4,3,7
ENTRE RIOS TRJ,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,2,0,2,2,4,6
ENTRE RIOS CBBA,otras vacunaciones,covid-19 2da dosis,2023-06-01,22,21,17,20,39,41,80
ESCARA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,0,1,0,1
ESCOMA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,2,2,2,2,4,6
ESMERALDA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,0,0,1,0,1
EUCALIPTUS,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,0,1,0,1
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,7,1,7,8
FERNANDEZ ALONSO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,2,0,0,0,2,2
FILADELFIA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,5,12,6,13,19
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,4,1,4,5
GENERAL SAAVEDRA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,1,3,1,4,5
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,3,6,3,6,9
GUANAY,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,15,9,15,10,25
GUAQUI,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,6,4,6,7,12,19
GUAYARAMERIN,otras vacunaciones,covid-19 2da dosis,2023-06-01,5,7,55,0,60,7,67
HUACARETA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,2,0,2,0,2
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,1,0,1,1
HUACHACALLA,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,0,0,0,2,0,2
HUANUNI,otras vacunaciones,covid-19 2da dosis,2023-06-01,17,13,4,3,21,16,37
HUARINA,otras vacunaciones,covid-19 2da dosis,2023-06-01,6,8,0,0,6,8,14
HUATAJATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,15,19,15,19,34
HUAYLLAMARCA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,2,1,2,3
HUMANATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,0,1,1,2,3
ICLA,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,2,1,0,4,2,6
INCAHUASI,otras vacunaciones,covid-19 2da dosis,2023-06-01,9,13,9,16,18,29,47
INGAVI (HUMAITA),otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,4,4,4,4,8
INQUISIVI,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,6,3,9,7,15,22
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 2da dosis,2023-06-01,5,7,8,4,13,11,24
IXIAMAS,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,3,4,3,6,6,12
JESUS DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,3,1,3,1,6,7
LA ASUNTA,otras vacunaciones,covid-19 2da dosis,2023-06-01,9,9,1,4,10,13,23
LA GUARDIA,otras vacunaciones,covid-19 2da dosis,2023-06-01,12,29,1,0,13,29,42
LA PAZ,otras vacunaciones,covid-19 2da dosis,2023-06-01,57,99,112,91,169,190,359
LAGUNILLAS,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,0,1,0,1
LAJA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,10,8,11,9,20
LICOMA PAMPA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,2,1,0,1,2,3
LLALLAGUA,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,4,28,26,32,30,62
LLICA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,2,1,3,2,5
LORETO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,6,4,6,4,10
LURIBAY,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,11,14,12,15,27
MACHACAMARCA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,0,0,1,1,2
MACHARETI,otras vacunaciones,covid-19 2da dosis,2023-06-01,8,1,1,1,9,2,11
MAGDALENA,otras vacunaciones,covid-19 2da dosis,2023-06-01,5,3,13,10,18,13,31
MAIRANA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,15,14,16,15,31
MAPIRI,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,5,2,1,2,6,8
MECAPACA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,0,0,0,1,1
MINEROS,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,0,0,0,1,1
MIZQUE,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,3,4,2,5,5,10
MOCOMOCO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,10,6,10,7,17
MOJOCOYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,1,1,1,2,3
MONTEAGUDO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,covid-19 2da dosis,2023-06-01,19,15,0,3,19,18,37
MOROCHATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,2,2,2,2,4
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,2,1,2,1,3
NAZACARA DE PACAJES,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,5,1,5,6
OCURI,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,1,4,19,6,20,26
OKINAWA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,3,2,0,3,3,6
OMEREQUE,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,5,1,5,6
ORURO,otras vacunaciones,covid-19 2da dosis,2023-06-01,86,64,31,39,117,103,220
PADCAYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,2,1,2,1,3
PADILLA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,2,0,2,0,2
PALOS BLANCOS,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,2,20,17,22,19,41
PAMPA GRANDE,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,2,0,2,0,2
PASORAPA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,1,0,1,1
PATACAMAYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,6,9,10,12,16,21,37
PAZÑA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,5,10,5,11,16
PELECHUCO,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,3,2,5,5,8,13
POCOATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,0,2,1,3,4
POCONA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,5,8,6,8,14
POJO (CBBA),otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,5,5,6,6,12
POOPO,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,1,1,0,3,1,4
POROMA,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,1,5,8,7,9,16
PORONGO,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,7,1,1,4,8,12
PORTACHUELO,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,1,1,0,3,1,4
PORVENIR,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,14,14,27,17,41,58
POSTRER VALLE,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,2,0,3,1,4
POTOSI,otras vacunaciones,covid-19 2da dosis,2023-06-01,18,30,35,18,53,48,101
PRESTO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,1,0,1,1
PUCARANI,otras vacunaciones,covid-19 2da dosis,2023-06-01,11,4,42,29,53,33,86
PUERTO ACOSTA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,2,16,11,16,13,29
PUERTO CARABUCO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,2,8,3,8,11
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,13,13,13,14,27
PUERTO PEREZ,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,5,2,6,2,8
PUERTO RICO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,1,1,1,2
PUERTO SUAREZ,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,2,0,3,0,3
PUERTO VILLARROEL,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,2,18,8,21,10,31
PUNA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,2,0,0,1,2,3
PUNATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,1,12,14,14,15,29
QUIABAYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,covid-19 2da dosis,2023-06-01,22,22,91,99,113,121,234
QUIME,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,0,1,0,1
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 2da dosis,2023-06-01,2,1,12,16,14,17,31
RAVELO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,2,3,2,4,4,8
REYES,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,0,0,0,1,1
RIBERALTA,otras vacunaciones,covid-19 2da dosis,2023-06-01,12,17,19,3,31,20,51
ROBORE,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,6,39,2,42,8,50
RURRENABAQUE,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,1,6,2,7,9
SABAYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,16,0,22,0,38,0,38
SACABA,otras vacunaciones,covid-19 2da dosis,2023-06-01,20,38,45,42,65,80,145
SACABAMBA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,2,0,3,1,4
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,3,9,9,10,12,22
SAMAIPATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,4,0,4,4
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,14,11,14,11,25
SAN BORJA,otras vacunaciones,covid-19 2da dosis,2023-06-01,6,2,1,3,7,5,12
SAN BUENA VENTURA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,11,13,11,13,24
SAN CARLOS,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,4,0,0,3,4,7
SAN IGNACIO,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,7,18,11,21,18,39
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 2da dosis,2023-06-01,44,9,25,0,69,9,78
SAN JOAQUIN,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,2,0,0,4,2,6
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,3,7,4,10,7,17
SAN LORENZO(PND),otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,2,0,2,2
SAN LORENZO(TJA),otras vacunaciones,covid-19 2da dosis,2023-06-01,1,3,3,8,4,11,15
SAN LUCAS,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,5,0,0,3,5,8
SAN MATIAS,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,0,0,1,1,2
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,3,0,4,4,7,11
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,1,0,1,1
SAN PEDRO,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,2,0,0,0,2,2
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 2da dosis,2023-06-01,9,16,15,14,24,30,54
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,2,0,2,1,4,5
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,6,9,6,12,12,24
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,1,1,1,2
SAN PEDRO(PND),otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,8,4,8,4,12
SAN RAMON BENI,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,0,0,0,1,1
SAN RAMON SCZ,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 2da dosis,2023-06-01,277,284,65,62,342,346,688
SANTA ROSA,otras vacunaciones,covid-19 2da dosis,2023-06-01,6,0,0,0,6,0,6
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,0,1,0,1,1
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,2,2,2,3,4,7
SANTIAGO DE HUARI,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,0,9,6,11,6,17
SANTIAGO DE HUATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,2,2,6,2,8,10
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,2,1,2,3
SANTIVAÑES,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,2,0,3,1,4
SAPAHAQUI,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,10,15,11,16,27
SENA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,8,12,8,13,21
SHINAOTA,otras vacunaciones,covid-19 2da dosis,2023-06-01,6,4,73,0,79,4,83
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 2da dosis,2023-06-01,5,8,12,12,17,20,37
SICAYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,2,0,1,0,3,3
SIPE SIPE,otras vacunaciones,covid-19 2da dosis,2023-06-01,4,4,16,9,20,13,33
SOPACHUY,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,1,0,0,2,1,3
SORACACHI,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,3,2,0,3,3,6
SORATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,2,2,10,11,12,13,25
SUCRE,otras vacunaciones,covid-19 2da dosis,2023-06-01,25,26,32,24,57,50,107
TACACHI,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,2,1,2,3
TACACOMA,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,1,7,2,10,3,13
TACOBAMBA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,0,1,0,1
TACOPAYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,10,12,10,12,22
TAPACARI,otras vacunaciones,covid-19 2da dosis,2023-06-01,15,23,13,13,28,36,64
TARABUCO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,3,2,4,2,6
TARACO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,0,10,7,11,7,18
TARATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,1,1,1,1,2
TARIJA,otras vacunaciones,covid-19 2da dosis,2023-06-01,35,16,14,13,49,29,78
TARVITA,otras vacunaciones,covid-19 2da dosis,2023-06-01,3,10,24,16,27,26,53
TEOPONTE,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,7,6,7,6,13
TIAHUANACU,otras vacunaciones,covid-19 2da dosis,2023-06-01,10,2,4,5,14,7,21
TINGUIPAYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,25,26,25,27,52
TIPUANI,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,14,12,14,12,26
TIQUIPAYA,otras vacunaciones,covid-19 2da dosis,2023-06-01,15,10,36,35,51,45,96
TIRAQUE (CBBA),otras vacunaciones,covid-19 2da dosis,2023-06-01,4,5,10,18,14,23,37
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,9,12,9,12,21
TOCO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,7,10,10,11,17,28
TOLATA,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,1,0,0,0,1,1
TOLEDO,otras vacunaciones,covid-19 2da dosis,2023-06-01,1,1,1,0,2,1,3
TOMAVE,otras vacunaciones,covid-19 2da dosis,2023-06-01,0,0,5,5,5,5,10
