,group,variable,month,17.28 COVID-19 DOSIS DE REFUERZO DENTRO,17.28 COVID-19 DOSIS DE REFUERZO DENTRO,17.28 COVID-19 DOSIS DE REFUERZO FUERA,17.28 COVID-19 DOSIS DE REFUERZO FUERA,TOTALES,TOTALES,TOTALES
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,2,4,3,5,5,10
EL TORNO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,7,15,0,0,7,15,22
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,2,0,2,2
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
FILADELFIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,3,2,4,3,7,10
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,9,6,9,6,15
GUANAY,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,1,1,1,1,2
GUAQUI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,1,1,1,1,2
GUAYARAMERIN,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,4,3,4,0,8,3,11
GUTIERREZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
HUACARETA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,0,4,1,4,5
HUANUNI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,15,9,0,0,15,9,24
HUARINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,1,1,1,1,2
HUATAJATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
ICLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,2,0,1,0,3,3
INCAHUASI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,4,1,0,2,4,6
INGAVI (HUMAITA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,4,3,4,3,7
INQUISIVI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,5,2,5,7
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,5,9,0,1,5,10,15
LA ASUNTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,2,0,2,1,3
LA GUARDIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,2,3,2,6,4,10
LA PAZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,344,481,1044,1147,1388,1628,3016
LA RIVERA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,2,0,2,2
LAGUNILLAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,1,2,1,3
LAS CARRERAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
LICOMA PAMPA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,14,14,14,14,28
LLALLAGUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,6,8,35,58,41,66,107
MACHACAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,3,0,0,1,3,4
MACHARETI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,2,0,3,3,5,8
MIZQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,15,15,15,15,30
MOCOMOCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,4,1,4,2,6
MOJOCOYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,2,0,2,1,4,5
MONTEAGUDO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,1,6,10,9,11,20
MONTERO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,5,6,0,1,5,7,12
OMEREQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,20,13,20,13,33
ORURO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,87,87,16,27,103,114,217
PADCAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,0,0,0,1,1
PADILLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,5,4,26,47,31,51,82
PAILON,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,6,5,0,0,6,5,11
PALCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,0,0,1,0,1
PALOS BLANCOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,6,0,4,3,10,13
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,1,1,1,1,2
PASORAPA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,4,19,19,20,23,43
PATACAMAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,1,1,1,1,2
PAZÑA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,3,23,25,26,28,54
PELECHUCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,1,0,0,2,1,3
POCONA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,4,9,7,2,11,11,22
POJO (CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,4,8,4,8,12
POOPO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,0,0,0,3,0,3
POROMA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
PORONGO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,11,14,1,4,12,18,30
PORTACHUELO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,0,0,1,0,1
PORVENIR,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,1,1,0,3,1,4
POTOSI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,63,80,108,159,171,239,410
PRESTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,0,0,0,1,1
PUCARANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,0,0,1,0,1
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,1,4,1,4,5
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,3,2,3,5
PUERTO PEREZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,5,4,4,4,9,13
PUNA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,2,0,0,1,2,3
PUNATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,6,6,8,11,14,17,31
QUILLACOLLO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,50,74,177,256,227,330,557
QUIME,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,3,3,3,3,6
QUIRUSILLAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,5,4,1,1,6,5,11
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,8,9,1,3,9,12,21
ROBORE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,1,0,0,1,1,2
SABAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,2,2,2,4
SACABA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,44,50,64,76,108,126,234
SAIPINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,2,1,1,1,3,4
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,1,12,14,14,15,29
SAMAIPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,4,5,4,7,8,12,20
SAN BENITO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,0,0,0,2,0,2
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,1,0,0,1,1,2
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,1,16,26,18,27,45
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,1,0,1,1,2,3
SAN JULIAN,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,2,8,9,10,11,21
SAN LUCAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,2,0,0,3,2,5
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,4,0,5,0,5
SAN PEDRO(PND),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,5,1,5,1,6
SAN RAMON BENI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,13,14,0,0,13,14,27
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,3,3,1,3,4,7
SANTA ANA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,2,0,2,2,4,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,207,169,85,117,292,286,578
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,13,16,13,17,30
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,3,0,1,1,4,5
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,1,3,1,4,5
SANTIVAÑES,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,0,0,0,2,0,2
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,1,1,1,2,2,4
SHINAOTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,1,4,1,5,2,7
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,0,1,0,1,1
SIPE SIPE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,5,13,21,13,26,39
SORACACHI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,7,7,7,7,14
SORATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,1,2,1,3
SUCRE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,165,228,244,329,409,557,966
TACACOMA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,0,2,0,2
TACOPAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,5,5,5,5,10
TAPACARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,12,11,17,28,29,39,68
TARABUCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,4,3,8,0,12,3,15
TARATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,0,72,15,74,15,89
TARIJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,47,35,11,0,58,35,93
TARVITA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,1,6,2,6,8
TIQUIPAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,18,25,38,60,56,85,141
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,6,6,6,7,13
TOCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,2,0,3,1,5,6
TOLATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,2,0,0,2,2,4
TOLEDO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,4,6,4,6,10
TOMINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,12,9,0,3,12,12,24
TOTORA(CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,0,9,13,11,13,24
TOTORA(ORR),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,3,0,0,0,3,3
TRINIDAD,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,3,4,14,14,17,18,35
TUPIZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,14,31,5,8,19,39,58
TURCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,0,0,0,2,0,2
UNCIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,2,2,0,4,2,6
UYUNI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,2,2,3,2,5
VACAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,0,2,5,4,5,9
VALLEGRANDE,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,7,8,19,33,26,41,67
VIACHA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,5,31,4,33,9,42
VILA VILA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,10,20,10,21,31
VILLA CHARCAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,1,0,0,0,1,1
VILLA MONTES,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,5,26,2,28,7,35
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,1,0,1,0,1
VILLA RIVERO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,2,1,2,1,3
VILLA SERRANO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,15,22,28,27,43,49,92
VILLA TUNARI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,0,4,4,5,4,9
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,3,3,4,4,7,11
VILLAZON,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,12,28,49,92,61,120,181
VINTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,10,16,13,14,23,30,53
VITICHI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,9,11,1,4,10,15,25
WARNES,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,5,7,8,17,13,24,37
YACO,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,1,0,1,0,1
YACUIBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,4,3,24,33,28,36,64
YANACACHI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,3,0,3,0,3
YAPACANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,2,2,2,4,4,8
YOCALLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,2,2,0,2,2,4,6
YOTALA,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,1,1,0,0,1,1,2
ZUDAÑEZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-04-01,0,0,7,6,7,6,13
ACHACACHI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,2,1,2,3
ACHOCALLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,3,0,4,0,4
AIQUILE,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,11,5,5,3,16,8,24
ALCALA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,2,1,2,1,3
ALTO BENI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,0,0,1,0,1
ANDAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,2,0,0,1,2,3
ARANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,3,2,0,2,3,4,7
ARBIETO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,2,0,0,1,2,3
ARQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,5,6,5,6,11
ATOCHA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,6,2,26,41,32,43,75
AYO AYO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,24,22,25,22,47
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,1,1,1,2
AZURDUY,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,2,8,3,8,11
BAURES,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,1,2,2,2,3,5
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,0,1,0,1
BELLA FLOR,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,0,1,0,1,1
BERMEJO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,60,16,8,3,68,19,87
BETANZOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,1,5,3,5,4,9
BOLIVAR,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,1,0,1,1,2,3
BOLPEBRA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,1,1,1,2
"CAIZA ""D""",otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,0,0,1,0,1
CAJUATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,2,1,2,1,3
CAMARGO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,9,6,14,13,23,19,42
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,2,2,0,0,2,2,4
CAMIRI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,5,3,5,3,8
CAPINOTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,4,1,4,2,8,10
CARACOLLO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,13,2,1,0,14,2,16
CARANAVI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,1,1,1,1,2,3
CARIPUYO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,1,0,0,1,1,2
CHALLAPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,1,1,0,2,1,3
CHAQUI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,0,0,1,0,1
CHIMORE,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,3,1,21,6,24,7,31
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,0,0,1,0,1
CHUMA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,0,1,0,1
CKOCHAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,2,1,0,0,2,1,3
CLIZA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,5,4,6,5,11,9,20
COBIJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,17,29,28,29,45,58,103
COCAPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,3,3,2,0,5,3,8
COCHABAMBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,557,574,435,493,992,1067,2059
COLCAPIRHUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,2,39,41,39,43,82
"COLCHA ""K""",otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,13,5,4,7,17,12,29
COLOMI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,25,4,25,4,29
COLQUECHACA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,2,0,2,0,2
COLQUIRI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,0,1,0,1
CONCEPCION,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,4,0,0,1,4,5
COPACABANA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,3,1,3,4
CORIPATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,0,1,0,1,1
COROICO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,1,1,1,2
CORQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,4,0,0,1,4,5
COTAGAITA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,5,3,0,1,5,4,9
COTOCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,11,10,9,10,20,20,40
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,2,0,2,0,2
CULPINA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,7,10,2,2,9,12,21
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,3,4,0,0,3,4,7
CURVA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,1,1,2,1,3,4
DESAGUADERO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,84,78,79,56,163,134,297
EL CHORO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,1,0,2,0,2
EL PUENTE(STC),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,3,3,3,3,6
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,2,2,4,2,6,8
EL TORNO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,20,26,0,0,20,26,46
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,10,4,15,8,25,12,37
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,4,1,4,5
FILADELFIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,3,3,4,3,7
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,1,2,0,3,1,4
GUANAY,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,2,3,1,4,3,7
GUAYARAMERIN,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,1,1,1,2
GUTIERREZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,0,4,0,4,4
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,2,10,0,0,2,10,12
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,9,8,2,2,11,10,21
ICHOCA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,0,0,1,0,1
ICLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,3,1,7,2,10,12
INCAHUASI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,2,0,0,0,2,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,2,1,0,0,2,1,3
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,4,7,5,8,9,17
LA ASUNTA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,0,1,0,1
LA GUARDIA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,25,18,28,7,53,25,78
LA PAZ,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,461,643,917,934,1378,1577,2955
LAGUNILLAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,2,4,2,6,4,10,14
LAJA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,2,1,1,1,3,4
LAS CARRERAS,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,1,5,3,5,4,9
LICOMA PAMPA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,1,7,6,8,7,15
LLALLAGUA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,1,29,28,29,29,58
MACHARETI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,6,8,0,0,6,8,14
MAIRANA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,2,2,0,0,2,2,4
MIZQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,2,4,7,5,9,14
MOCOMOCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,4,6,4,6,10
MOJOCOYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,1,1,4,1,5,6
MONTEAGUDO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,2,1,4,13,6,14,20
MONTERO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,23,16,3,9,26,25,51
MOROCHATA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,2,0,0,1,2,3
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,3,3,3,3,6
OCURI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,0,4,0,4,4
OMEREQUE,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,5,3,5,3,8
ORURO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,99,142,32,43,131,185,316
PADCAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,2,0,1,0,3,3
PADILLA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,11,13,17,18,28,31,59
PAILON,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,9,5,0,0,9,5,14
PALOS BLANCOS,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,5,3,0,2,5,5,10
PASORAPA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,3,27,31,28,34,62
PATACAMAYA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,161,1,2,2,163,3,166
PAZÑA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,2,3,10,9,12,12,24
POCONA,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,2,1,3,1,4
POJO (CBBA),otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,2,0,1,3,3,3,6
POOPO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,2,1,1,1,3,4
PORCO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,0,1,0,1,1
PORTACHUELO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,6,7,0,0,6,7,13
PORVENIR,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,7,4,3,5,10,9,19
POSTRER VALLE,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,86,138,37,37,123,175,298
PRESTO,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,covid-19 dosis de refuerzo,2023-05-01,0,0,1,2,1,2,3
