,group,variable,month,17.26 COVID-19 3RA DOSIS DENTRO,17.26 COVID-19 3RA DOSIS DENTRO,17.26 COVID-19 3RA DOSIS FUERA,17.26 COVID-19 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
POTOSI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,100,164,37,65,137,229,366
PRESTO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,1,2,1,3,2,5
PUCARANI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,3,9,58,51,61,60,121
PUERTO ACOSTA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,6,4,10,12,16,16,32
PUERTO CARABUCO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,2,13,25,15,27,42
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,35,34,35,34,69
PUERTO PEREZ,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,2,2,2,3,4,7
PUERTO RICO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,7,4,0,0,7,4,11
PUERTO SILES,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,3,0,0,2,3,5
PUERTO SUAREZ,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,8,1,8,1,9
PUERTO VILLARROEL,otras vacunaciones,covid-19 3ra dosis,2023-05-01,7,7,92,29,99,36,135
PUNA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,12,18,30,22,42,64
PUNATA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,84,11,24,36,108,47,155
QUIABAYA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,3,3,3,3,6
QUILLACOLLO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,71,78,225,163,296,241,537
QUIME,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,9,9,9,9,18
QUIRUSILLAS,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,25,28,25,28,53
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,3,37,27,38,30,68
RAVELO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,13,5,19,23,32,28,60
RIBERALTA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,13,31,10,4,23,35,58
ROBORE,otras vacunaciones,covid-19 3ra dosis,2023-05-01,5,29,0,0,5,29,34
RURRENABAQUE,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,2,0,0,2,2,4
SABAYA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,15,19,11,11,26,30,56
SACABA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,102,124,123,136,225,260,485
SACABAMBA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,0,2,0,3,0,3
SACACA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,1,0,0,0,1,1
SAIPINA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,2,0,0,0,2,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,11,5,24,29,35,34,69
SAMAIPATA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,2,9,20,13,22,35
SAN AGUSTIN,otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,0,0,0,4,0,4
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,1,4,3,8,4,12
SAN ANTONIO DE LOMERIO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,1,0,0,1,1,2
SAN BENITO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,3,7,0,3,3,10,13
SAN BORJA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,3,0,0,1,3,4
SAN BUENA VENTURA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,107,122,107,122,229
SAN CARLOS,otras vacunaciones,covid-19 3ra dosis,2023-05-01,3,2,1,0,4,2,6
SAN IGNACIO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,1,1,2,2,3,5
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,10,5,5,6,15,11,26
SAN JAVIER(STC),otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,7,0,0,4,7,11
SAN JOAQUIN,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,10,2,1,4,11,15
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 3ra dosis,2023-05-01,3,1,0,0,3,1,4
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,0,1,0,2,0,2
SAN JULIAN,otras vacunaciones,covid-19 3ra dosis,2023-05-01,32,32,11,16,43,48,91
SAN LORENZO(PND),otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,1,0,0,1,1,2
SAN LUCAS,otras vacunaciones,covid-19 3ra dosis,2023-05-01,19,31,9,16,28,47,75
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,15,17,14,21,29,50
SAN PEDRO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,3,0,0,2,3,5
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,5,0,1,1,6,7
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,0,3,3,4,3,7
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,5,18,11,20,16,36
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,0,2,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,2,3,5,7,7,14
SAN PEDRO(PND),otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,10,12,10,12,22
SAN RAFAEL,otras vacunaciones,covid-19 3ra dosis,2023-05-01,6,9,0,0,6,9,15
SAN RAMON BENI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,17,18,0,0,17,18,35
SAN RAMON SCZ,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,6,1,0,2,6,8
SANTA ANA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,3,0,11,1,14,1,15
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1006,993,345,366,1351,1359,2710
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,8,8,0,0,8,8,16
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,1,0,0,1,1,2
SANTIAGO DE HUARI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,1,36,40,37,41,78
SANTIAGO DE HUATA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,8,6,7,10,15,25
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,39,42,39,42,81
SANTIVAÑES,otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,1,52,10,56,11,67
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,3,12,10,14,13,27
SAPAHAQUI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,1,1,1,2,2,4
SENA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,1,0,1,0,2,2
SHINAOTA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,4,0,0,4,4,8
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 3ra dosis,2023-05-01,5,8,14,21,19,29,48
SICAYA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,5,40,27,42,32,74
SIPE SIPE,otras vacunaciones,covid-19 3ra dosis,2023-05-01,6,7,37,57,43,64,107
SORACACHI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,4,8,4,8,12
SORATA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,1,5,7,6,8,14
SUCRE,otras vacunaciones,covid-19 3ra dosis,2023-05-01,86,93,34,22,120,115,235
TACACOMA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,2,0,2,0,2
TACOBAMBA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,2,0,2,0,2
TACOPAYA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,7,17,7,17,24
TAPACARI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,28,23,43,41,71,64,135
TARABUCO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,1,3,5,3,6,9
TARACO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,3,4,3,4,7
TARATA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,3,2,13,3,16,5,21
TARIJA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,42,38,9,18,51,56,107
TARVITA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,9,20,34,22,43,65
TEOPONTE,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,7,11,11,13,18,31
TIAHUANACU,otras vacunaciones,covid-19 3ra dosis,2023-05-01,3,7,7,15,10,22,32
TINGUIPAYA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,2,16,14,17,16,33
TIPUANI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,1,4,14,4,15,19
TIQUIPAYA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,23,23,43,29,66,52,118
TIRAQUE (CBBA),otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,7,74,40,78,47,125
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,3,5,3,5,8
TOCO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,4,6,5,3,9,9,18
TODOS SANTOS,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,1,8,8,9,9,18
TOLATA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,4,44,14,46,18,64
TOLEDO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,6,5,22,30,28,35,63
TOMAVE,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,0,4,0,4,4
TOMINA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,0,16,17,17,17,34
TORO TORO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,2,0,0,1,2,3
TOTORA(CBBA),otras vacunaciones,covid-19 3ra dosis,2023-05-01,14,20,40,30,54,50,104
TOTORA(ORR),otras vacunaciones,covid-19 3ra dosis,2023-05-01,5,6,11,17,16,23,39
TRIGAL,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,2,0,2,0,2
TRINIDAD,otras vacunaciones,covid-19 3ra dosis,2023-05-01,31,26,19,30,50,56,106
TUPIZA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,36,45,53,63,89,108,197
TURCO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,31,4,2,0,33,4,37
UMALA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,7,6,9,2,16,8,24
UNCIA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,12,6,14,7,26,13,39
URUBICHA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,2,5,2,5,7
UYUNI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,10,4,6,8,16,12,28
VACAS,otras vacunaciones,covid-19 3ra dosis,2023-05-01,3,6,2,1,5,7,12
VALLEGRANDE,otras vacunaciones,covid-19 3ra dosis,2023-05-01,5,4,5,8,10,12,22
VIACHA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,13,20,171,52,184,72,256
VILA VILA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,1,22,31,24,32,56
VILLA CHARCAS,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,0,13,11,14,11,25
VILLA MONTES,otras vacunaciones,covid-19 3ra dosis,2023-05-01,30,12,90,15,120,27,147
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,10,11,10,11,21
VILLA RIVERO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,7,13,11,11,18,24,42
VILLA SERRANO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,8,5,17,17,25,22,47
VILLA TUNARI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,19,18,70,32,89,50,139
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 3ra dosis,2023-05-01,6,16,3,0,9,16,25
VILLAZON,otras vacunaciones,covid-19 3ra dosis,2023-05-01,22,21,7,17,29,38,67
VINTO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,20,14,17,30,37,44,81
VITICHI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,3,14,21,32,24,46,70
WARNES,otras vacunaciones,covid-19 3ra dosis,2023-05-01,64,80,10,19,74,99,173
YACO,otras vacunaciones,covid-19 3ra dosis,2023-05-01,2,4,29,16,31,20,51
YACUIBA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,11,6,83,41,94,47,141
YAMPARAEZ,otras vacunaciones,covid-19 3ra dosis,2023-05-01,0,0,1,6,1,6,7
YANACACHI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,2,4,5,5,7,12
YAPACANI,otras vacunaciones,covid-19 3ra dosis,2023-05-01,9,4,1,2,10,6,16
YOCALLA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,5,6,6,11,11,17,28
YOTALA,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,0,1,1,2,1,3
ZUDAÑEZ,otras vacunaciones,covid-19 3ra dosis,2023-05-01,1,1,2,2,3,3,6
ACHACACHI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,7,5,57,50,64,55,119
ACHOCALLA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,8,25,33,28,41,69
AIQUILE,otras vacunaciones,covid-19 3ra dosis,2023-06-01,9,11,12,8,21,19,40
ALALAY,otras vacunaciones,covid-19 3ra dosis,2023-06-01,7,10,1,3,8,13,21
ALCALA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,0,0,0,1,1
ALTO BENI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,12,18,7,4,19,22,41
ANCORAIMES,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,6,1,6,2,8
ANDAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,16,15,5,6,21,21,42
ANTEQUERA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,1,14,17,17,18,35
ANZALDO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,11,17,11,18,29
APOLO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,8,8,8,8,16
ARANI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,1,1,5,2,6,8
ARBIETO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,4,7,2,10,6,16
ARQUE,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,1,54,52,57,53,110
ASCENCION DE GUARAYOS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,1,0,0,1,1,2
ATOCHA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,1,25,22,26,23,49
AUCAPATA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,0,13,11,14,11,25
AYATA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,3,3,3,3,6
AYO AYO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,1,58,80,60,81,141
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 3ra dosis,2023-06-01,27,36,107,108,134,144,278
AZURDUY,otras vacunaciones,covid-19 3ra dosis,2023-06-01,8,15,12,20,20,35,55
BATALLAS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,5,79,89,82,94,176
BAURES,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,3,0,0,1,3,4
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,0,0,0,2,0,2
BELEN DE URMIRI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,0,0,0,1,1
BELLA FLOR,otras vacunaciones,covid-19 3ra dosis,2023-06-01,4,0,4,8,8,8,16
BERMEJO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,11,3,17,5,28,8,36
BETANZOS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,2,18,16,19,18,37
BOLIVAR,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,6,3,6,3,9
BOLPEBRA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,2,11,3,11,5,16
BOYUIBE,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,0,0,0,2,0,2
BUENA VISTA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,6,4,14,1,20,5,25
CABEZAS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,12,13,12,13,25
CAIROMA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,2,11,19,13,21,34
"CAIZA ""D""",otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,0,0,0,1,1
CAJUATA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,4,10,8,13,12,23,35
CALACOTO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,2,18,17,19,19,38
CALAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,3,13,11,16,14,30
CAMARGO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,5,8,8,10,13,23
CAMIRI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,26,9,0,0,26,9,35
CAPINOTA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,4,10,33,41,37,51,88
CAQUIAVIRI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,7,16,13,11,20,27,47
CARACOLLO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,13,15,5,11,18,26,44
CARANAVI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,10,9,6,5,16,14,30
CARAPARI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,5,3,0,0,5,3,8
CARIPUYO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,1,3,2,4,3,7
CATACORA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,10,17,10,18,28
CHACARILLA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,0,0,0,2,0,2
CHALLAPATA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,22,8,13,8,35,16,51
CHAQUI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,1,0,0,2,1,3
CHARAGUA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,8,12,15,3,23,15,38
CHAYANTA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,2,0,0,0,2,2
CHIMORE,otras vacunaciones,covid-19 3ra dosis,2023-06-01,14,11,155,75,169,86,255
CHIPAYA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,0,15,16,16,16,32
CHOQUE COTA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,0,0,2,1,2,3
CHUA COCANI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 3ra dosis,2023-06-01,6,3,2,1,8,4,12
CHUMA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,5,5,5,6,11
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,0,3,0,3,3
CKOCHAS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,1,8,11,10,12,22
CLIZA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,11,12,26,45,37,57,94
COBIJA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,9,17,20,29,29,46,75
COCAPATA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,38,58,20,24,58,82,140
COCHABAMBA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,263,333,540,690,803,1023,1826
COIPASA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,7,13,0,0,7,13,20
COLCAPIRHUA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,2,140,154,143,156,299
"COLCHA ""K""",otras vacunaciones,covid-19 3ra dosis,2023-06-01,22,4,36,1,58,5,63
COLLANA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,0,7,0,8,8
COLOMI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,8,2,17,25,25,27,52
COLPA BELGICA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,5,5,0,0,5,5,10
COLQUECHACA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,6,2,9,13,15,15,30
COLQUENCHA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,1,4,3,6,4,10
COLQUIRI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,1,15,15,17,16,33
COMANCHE,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,2,21,18,22,20,42
COMARAPA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,11,14,11,15,26
COMBAYA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,0,9,8,10,8,18
CONCEPCION,otras vacunaciones,covid-19 3ra dosis,2023-06-01,9,5,0,1,9,6,15
COPACABANA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,0,1,0,1,1
CORIPATA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,5,15,15,15,20,35
CORO CORO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,15,3,11,18,26,21,47
COROICO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,10,4,3,1,13,5,18
CORQUE,otras vacunaciones,covid-19 3ra dosis,2023-06-01,57,54,0,0,57,54,111
COTAGAITA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,4,10,12,13,16,29
COTOCA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,23,30,15,19,38,49,87
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,2,1,0,3,2,5
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,19,51,19,51,70
CUEVO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,11,0,0,0,11,0,11
CULPINA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,15,24,0,0,15,24,39
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,8,5,23,18,31,23,54
CURVA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,0,6,5,7,5,12
DESAGUADERO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,8,6,71,92,79,98,177
EL ALTO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,127,168,220,162,347,330,677
EL CHORO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,2,10,12,10,14,24
EL PUENTE(STC),otras vacunaciones,covid-19 3ra dosis,2023-06-01,5,6,22,41,27,47,74
EL PUENTE(TJA),otras vacunaciones,covid-19 3ra dosis,2023-06-01,12,4,62,84,74,88,162
EL TORNO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,18,23,1,2,19,25,44
ENTRE RIOS TRJ,otras vacunaciones,covid-19 3ra dosis,2023-06-01,7,6,7,4,14,10,24
ENTRE RIOS CBBA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,41,41,42,39,83,80,163
ESCARA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,1,1,1,1,2
ESCOMA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,2,0,5,0,7,7
ESMERALDA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,1,0,0,1,1,2
EUCALIPTUS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,2,0,0,2,2,4
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,2,7,2,8,10
FERNANDEZ ALONSO,otras vacunaciones,covid-19 3ra dosis,2023-06-01,5,2,0,0,5,2,7
FILADELFIA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,2,13,15,13,17,30
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,3,0,2,1,5,6
GENERAL SAAVEDRA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,1,1,2,4,3,7
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,0,7,13,9,13,22
GUANAY,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,5,30,26,33,31,64
GUAQUI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,8,11,8,4,16,15,31
GUAYARAMERIN,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,10,51,4,53,14,67
GUTIERREZ,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,1,0,1,0,1
HUACARETA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,1,2,1,2,3
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,4,2,1,4,5,9
HUACHACALLA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,0,0,0,3,0,3
HUANUNI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,119,89,4,11,123,100,223
HUARINA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,5,4,1,1,6,5,11
HUATAJATA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,1,14,24,14,25,39
HUAYLLAMARCA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,9,5,3,1,12,6,18
HUMANATA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,6,10,6,10,16
ICHOCA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,6,1,6,1,7
ICLA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,6,8,9,8,15,16,31
INCAHUASI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,8,2,4,5,12,17
INGAVI (HUMAITA),otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,2,3,9,3,11,14
INQUISIVI,otras vacunaciones,covid-19 3ra dosis,2023-06-01,11,6,10,29,21,35,56
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 3ra dosis,2023-06-01,7,13,6,8,13,21,34
IXIAMAS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,1,1,1,1,2
JESUS DE MACHACA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,5,6,12,6,17,12,29
LA ASUNTA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,15,27,3,3,18,30,48
LA GUARDIA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,48,72,5,10,53,82,135
LA PAZ,otras vacunaciones,covid-19 3ra dosis,2023-06-01,187,348,337,325,524,673,1197
LAGUNILLAS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,1,0,2,1,3,1,4
LAJA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,13,8,24,27,37,35,72
LAS CARRERAS,otras vacunaciones,covid-19 3ra dosis,2023-06-01,3,3,3,4,6,7,13
LICOMA PAMPA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,0,0,3,3,3,3,6
LLALLAGUA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,10,3,34,36,44,39,83
LLICA,otras vacunaciones,covid-19 3ra dosis,2023-06-01,2,1,1,4,3,5,8
