,group,variable,month,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
ALTO BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,12,12,6,17,18,35
ANCORAIMES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,2,0,2,3,4,7
ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,13,21,6,3,19,24,43
ANTEQUERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,3,11,18,13,21,34
ANZALDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,13,11,13,11,24
APOLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,2,0,2,0,2
ARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,0,0,1,1,1,2
ARBIETO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,6,3,5,8,11,19
ARQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,18,20,20,21,41
ATOCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,3,38,64,41,67,108
AUCAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,1,0,1,0,1
AYATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,2,5,2,5,7
AYO AYO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,4,52,60,52,64,116
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,17,26,53,67,70,93,163
AZURDUY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,10,2,3,6,13,19
BATALLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,2,78,71,81,73,154
BAURES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,4,0,0,6,4,10
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,0,0,1,1,2
BELLA FLOR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,0,4,11,9,11,20
BERMEJO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,17,9,20,7,37,16,53
BETANZOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,4,12,9,14,13,27
BOLIVAR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,0,0,7,1,7,8
BOLPEBRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,0,13,15,15,15,30
BOYUIBE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,0,0,0,1,1
BUENA VISTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,9,9,2,11,11,22
CABEZAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,25,31,25,31,56
CAIROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,1,10,10,13,11,24
"CAIZA ""D""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,0,0,0,1,1
CAJUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,3,5,1,6,4,10
CALACOTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,2,4,14,4,16,20
CALAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,5,5,1,10,6,16
CAMARGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,8,18,25,21,33,54
CAMIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,10,10,1,0,11,10,21
CAPINOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,9,17,25,23,34,57
CAQUIAVIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,7,3,5,6,12,18
CARACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,13,24,13,20,26,44,70
CARANAVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,7,6,6,12,13,18,31
CARAPARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,5,2,2,5,7,12
CARIPUYO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,1,0,1,0,1
CATACORA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,9,7,10,8,18
CHALLAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,15,9,7,6,22,15,37
CHAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,15,9,16,15,31,46
CHAYANTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,0,0,0,2,0,2
CHIMORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,11,10,169,87,180,97,277
CHIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,5,4,5,4,9
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,3,2,5,6,8,14
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,0,1,0,1,1
CKOCHAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,0,2,0,2,2
CLIZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,7,15,16,20,23,43
COBIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,16,19,21,21,37,40,77
COCAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,9,26,7,14,16,40,56
COCHABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,339,484,538,717,877,1201,2078
COIPASA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,4,0,0,2,4,6
COLCAPIRHUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,2,142,186,142,188,330
"COLCHA ""K""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,66,16,8,2,74,18,92
COLLANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,2,0,4,0,6,6
COLOMI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,14,11,14,12,26
COLPA BELGICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,0,0,1,1,2
COLQUECHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,2,1,2,2,4,6
COLQUENCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,2,0,1,2,3,5
COLQUIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,5,9,6,10,16
COMANCHE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,9,10,9,10,19
COMARAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,21,25,23,26,49
CONCEPCION,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,3,0,0,0,3,3
COPACABANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,2,0,0,0,2,2
CORIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,3,4,13,6,16,22
CORO CORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,16,0,19,11,35,11,46
COROICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,5,1,1,7,6,13
CORQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,25,30,1,0,26,30,56
COTAGAITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,4,17,20,21,24,45
COTOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,18,15,15,23,33,38,71
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,0,0,0,2,0,2
CUATRO CAÑADAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,3,0,0,1,3,4
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,0,6,25,7,25,32
CUEVO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,0,0,0,5,0,5
CULPINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,14,0,0,1,14,15
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,6,4,12,10,18,28
CURVA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,2,2,3,2,5,7
DESAGUADERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,5,49,51,55,56,111
EL ALTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,117,124,162,140,279,264,543
EL CHORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,4,7,4,7,11
EL PUENTE(STC),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,5,25,34,30,39,69
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,9,13,33,43,42,56,98
EL TORNO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,18,35,0,0,18,35,53
ENTRE RIOS TRJ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,37,47,18,15,55,62,117
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,11,18,13,24,24,42,66
ESCARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,9,9,9,9,18
ESCOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,1,1,1,1,2
ESMERALDA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,1,0,0,6,1,7
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,3,8,3,9,12
EXALTACION,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,2,0,0,0,2,2
FERNANDEZ ALONSO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,4,0,0,0,4,4
FILADELFIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,5,9,5,10,15
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,2,0,1,0,3,3
GENERAL SAAVEDRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,4,0,2,1,6,7
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,6,6,6,6,12
GUANAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,19,26,19,26,45
GUAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,4,5,4,10,8,18
GUAYARAMERIN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,6,20,15,23,21,44
GUTIERREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,0,0,0,1,0,1
HUACARETA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,4,4,4,4,8
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,1,0,2,3,3,6
HUANUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,58,44,9,10,67,54,121
HUARINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,3,2,3,5,6,11
HUATAJATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,9,8,9,8,17
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,4,2,2,8,6,14
HUMANATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,5,9,5,10,15
ICHOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,10,3,10,3,13
ICLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,7,7,21,8,28,36
INCAHUASI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,5,0,4,0,9,9
INGAVI (HUMAITA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,6,7,8,8,16
INQUISIVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,4,7,6,8,14
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,10,2,2,2,12,4,16
IXIAMAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,0,0,0,1,1
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,3,4,7,6,10,16
LA ASUNTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,8,0,1,5,9,14
LA GUARDIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,66,57,11,12,77,69,146
LA PAZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,207,382,354,354,561,736,1297
LAJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,2,21,28,24,30,54
LAS CARRERAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,3,4,7,6,10,16
LICOMA PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,0,3,0,4,4
LLALLAGUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,22,33,22,34,56
LLICA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,3,11,3,11,14
LURIBAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,0,2,3,4,3,7
MACHARETI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,17,10,14,13,31,44
MAGDALENA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,33,22,10,14,43,36,79
MAIRANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,6,68,101,73,107,180
MAPIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,0,3,7,4,7,11
MECAPACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,0,0,0,1,1
MINEROS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,0,0,2,1,3
MIZQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,7,15,39,18,46,64
MOCOMOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,1,20,26,24,27,51
MOJOCOYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,3,4,3,5,6,11
MONTEAGUDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,0,1,6,5,6,11
MONTERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,70,57,4,18,74,75,149
MORO MORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,0,0,1,1,2
MOROCHATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,3,2,3,2,5
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,2,1,2,1,3
NAZACARA DE PACAJES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,0,5,1,6,7
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,1,0,1,1,2
OCURI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,0,14,16,16,16,32
OKINAWA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,0,4,2,6,2,8
OMEREQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,57,82,57,82,139
ORURO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,175,240,124,148,299,388,687
PADCAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,11,1,0,1,11,2,13
PADILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,2,11,25,12,27,39
PALOS BLANCOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,9,4,19,28,28,32,60
PAMPA GRANDE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,11,5,11,5,16
PASORAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,10,8,10,8,18
PATACAMAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,3,18,6,22,9,31
PAZÑA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,34,40,34,41,75
PELECHUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,1,2,2,5,3,8
POCOATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,2,1,0,3,2,5
POCONA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,3,23,10,24,13,37
POJO (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,4,6,6,7,13
POOPO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,1,1,3,2,5
PORCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,0,0,0,2,0,2
POROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,4,6,14,12,18,30
PORONGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,9,18,2,2,11,20,31
PORTACHUELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,2,0,1,6,3,9
PORVENIR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,5,20,34,24,39,63
POSTRER VALLE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,0,1,2,2,4
POTOSI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,42,97,128,49,170,146,316
PRESTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,1,0,1,0,1
PUCARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,4,0,8,0,12,12
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,5,3,3,6,8,14
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,9,16,30,25,39,41,80
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,5,32,42,33,47,80
PUERTO PEREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,2,0,2,1,3
PUERTO RICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,5,3,5,3,8
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,9,14,16,8,25,22,47
PUNA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,1,3,5,6,6,12
PUNATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,12,19,30,25,42,67
QUIABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,2,2,2,2,4
QUILLACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,78,77,200,233,278,310,588
QUIME,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,0,7,4,8,4,12
QUIRUSILLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,1,2,2,3,5
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,7,62,65,64,72,136
RAVELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,2,7,5,9,7,16
RIBERALTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,16,7,3,13,19,32
ROBORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,6,20,16,4,22,24,46
RURRENABAQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,1,0,1,0,2,2
SABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,12,2,37,5,49,7,56
SACABA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,49,60,71,104,120,164,284
SACABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,4,7,5,8,13
SACACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,4,0,0,1,4,5
SAIPINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,2,0,0,4,2,6
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,0,1,1,4,1,5
SAMAIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,2,5,15,7,17,24
SAN BENITO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,7,0,0,2,7,9
SAN BORJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,13,6,1,10,14,24
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,38,32,38,32,70
SAN IGNACIO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,3,5,7,7,10,17
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,44,5,0,0,44,5,49
SAN JAVIER(BNI),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,3,0,0,3,3,6
SAN JAVIER(STC),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,5,1,2,2,7,9
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,4,0,0,2,4,6
SAN JUAN DE YAPACANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,6,0,0,3,6,9
SAN JULIAN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,6,4,6,9,12,21
SAN LORENZO(PND),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,7,11,4,8,11,19,30
SAN LUCAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,9,4,0,7,9,16
SAN MIGUEL DE VELASCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,13,5,6,9,19,28
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,3,3,3,3,6
SAN PEDRO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,4,0,0,1,4,5
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,12,10,13,6,25,16,41
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,8,3,2,4,10,7,17
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,3,5,7,7,10,17
SAN PEDRO(PND),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,6,3,6,3,9
SAN RAFAEL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,3,0,0,1,3,4
SAN RAMON BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,6,0,0,2,6,8
SAN RAMON SCZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,5,3,0,1,5,4,9
SANTA ANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,2,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,777,767,173,284,950,1051,2001
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,8,1,0,0,8,1,9
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,1,4,1,4,5
SANTIAGO DE HUARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,5,16,20,19,25,44
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,1,8,11,11,12,23
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,0,6,10,8,10,18
SANTIVAÑES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,2,6,4,8,6,14
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,2,0,0,1,2,3
SAPAHAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,25,26,27,27,54
SENA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,4,6,4,6,10
SHINAOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,3,5,72,1,75,6,81
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,7,13,6,3,13,16,29
SICAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,9,5,10,6,16
SIPE SIPE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,4,6,16,31,20,37,57
SOPACHUY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,0,0,2,1,3
SORACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,10,13,13,15,23,28,51
SORATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,0,6,2,8,2,10
SUCRE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,87,117,110,140,197,257,454
TACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,4,5,4,5,9
TACACOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,2,2,0,4,2,6
TACOBAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,1,0,1,1,2,3
TACOPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,0,30,30,31,30,61
TAHUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,0,2,1,2,1,3
TAPACARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,33,49,52,54,85,103,188
TARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,1,0,5,7,6,7,13
TARACO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,2,1,0,0,2,1,3
TARATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-06-01,0,5,15,33,15,38,53
