,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,28,13,28,13,41
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,11,3,11,3,14
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,26,70,26,70,96
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,8,2,8,2,10
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,3,33,3,33,36
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,4,0,4,4
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,23,5,23,5,28
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,8,0,8,8
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,18,1,18,1,19
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,9,23,9,23,32
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,17,22,17,22,39
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,6,10,6,10,16
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,15,3,15,3,18
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,9,4,9,4,13
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,23,30,23,30,53
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,95,17,95,17,112
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,29,4,29,4,33
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,2,2,2,4
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,14,13,14,13,27
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,6,1,6,1,7
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,7,4,7,11
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,7,1,7,8
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1449,55,1449,55,1504
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,6,1,6,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,10,12,10,12,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,15,3,15,3,18
EL TORNO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,93,5,93,5,98
EL VILLAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,6,3,6,3,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,21,16,21,16,37
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,35,22,35,22,57
ESCARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,3,4,3,7
EUCALIPTUS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,6,0,6,0,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,8,1,8,9
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,16,9,16,9,25
FILADELFIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,30,7,30,7,37
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,9,13,9,13,22
GUANAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,18,8,18,8,26
GUAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,8,5,8,5,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,100,30,100,30,130
GUTIERREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,18,7,18,7,25
HUACARETA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,9,4,9,4,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
HUANUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,48,5,48,5,53
HUARACAJE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,3,4,3,7
HUARINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,3,4,3,7
HUAYLLAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,2,1,2,3
HUMANATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,3,6,3,6,9
ICHOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,7,1,7,8
ICLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,5,12,5,12,17
INCAHUASI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,13,16,13,16,29
INQUISIVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,3,14,3,14,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,9,14,9,14,23
IXIAMAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,14,4,14,4,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,17,4,17,4,21
LA ASUNTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,76,24,76,24,100
LA GUARDIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,141,9,141,9,150
LA PAZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1287,59,1287,59,1346
LAGUNILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,11,4,11,4,15
LAJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,12,13,12,13,25
LAS CARRERAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,0,2,0,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,1,1,1,2
LLALLAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,30,58,30,58,88
LLICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,1,4,1,5
LORETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,3,4,3,7
LURIBAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,3,4,3,4,7
MACHACAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,0,4,0,4
MACHARETI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,7,3,7,3,10
MAGDALENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,19,13,19,13,32
MAIRANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,18,1,18,1,19
MALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,5,0,5,5
MAPIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,22,10,22,10,32
MECAPACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,9,15,9,15,24
MINEROS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,45,14,45,14,59
MIZQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,34,24,34,24,58
MOCOMOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,8,9,8,9,17
MOJOCOYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,2,4,2,6
MONTEAGUDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,29,10,29,10,39
MONTERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,290,11,290,11,301
MORO MORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,1,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,21,4,21,25
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,3,4,3,7
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,0,1,0,1
OCURI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,10,39,10,39,49
OKINAWA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,23,5,23,5,28
OMEREQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,11,4,11,15
ORURO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,495,3,495,3,498
PADCAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,23,11,23,11,34
PADILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,5,8,5,8,13
PAILON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,33,20,33,20,53
PALCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,6,12,6,12,18
PALOS BLANCOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,64,23,64,23,87
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,3,0,3,0,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,16,2,16,2,18
PAPEL PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,3,3,3,3,6
PASORAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,1,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,25,8,25,8,33
PAZÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,11,2,11,2,13
PELECHUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,12,4,12,16
POCOATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,6,48,6,48,54
POCONA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,9,4,9,4,13
POJO (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,14,11,14,11,25
POOPO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,8,3,8,3,11
PORCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,20,9,20,9,29
POROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,16,32,16,32,48
PORONGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,8,9,8,9,17
PORTACHUELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,33,30,33,30,63
PORVENIR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,10,5,10,5,15
POSTRER VALLE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
POTOSI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,337,23,337,23,360
PRESTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,7,9,7,9,16
PUCARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,25,10,25,10,35
PUERTO ACOSTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,9,2,9,11
PUERTO CARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,11,6,11,6,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,6,1,6,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,7,2,7,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,23,8,23,8,31
PUERTO RICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,11,8,11,8,19
PUERTO SILES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,4,0,4,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,30,12,30,12,42
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,91,32,91,32,123
PUNA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,22,19,22,19,41
PUNATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,47,2,47,2,49
QUIABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,3,3,3,3,6
QUILLACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,217,22,217,22,239
QUIME,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,15,4,15,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,2,1,2,3
RAVELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,14,30,14,30,44
REYES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,12,17,12,17,29
RIBERALTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,239,44,239,44,283
ROBORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,24,6,24,6,30
RURRENABAQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,31,14,31,14,45
SABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,0,4,0,4
SACABA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,213,32,213,32,245
SACABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,5,2,5,7
SACACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,18,33,18,33,51
SAIPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,9,5,9,5,14
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,5,10,5,10,15
SAMAIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,13,6,13,6,19
SAN AGUSTIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,0,4,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,14,20,14,20,34
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,12,4,12,4,16
SAN BENITO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,6,5,6,5,11
SAN BORJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,86,36,86,36,122
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,21,11,21,11,32
SAN CARLOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,36,2,36,2,38
SAN IGNACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,51,18,51,18,69
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,93,60,93,60,153
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,5,0,5,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,21,9,21,9,30
SAN JOAQUIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,9,2,9,2,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,32,11,32,11,43
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,14,1,14,1,15
SAN JULIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,44,26,44,26,70
SAN LORENZO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,1,1,1,2
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,23,15,23,15,38
SAN LUCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,33,55,33,55,88
SAN MATIAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,5,23,5,23,28
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,12,4,12,4,16
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,3,0,3,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,29,1,29,1,30
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,21,103,21,103,124
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,2,1,2,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,6,2,6,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,0,2,0,2,2
SAN RAFAEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,16,3,16,3,19
SAN RAMON BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,2,2,2,4
SAN RAMON SCZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,15,0,15,0,15
SANTA ANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,42,2,42,2,44
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2707,124,2707,124,2831
SANTA ROSA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,12,13,12,13,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,22,13,22,13,35
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,6,2,6,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,4,4,4,4,8
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,8,4,8,4,12
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,0,2,0,2
SANTIVAÑES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,6,0,6,0,6
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,5,4,5,4,9
SAPAHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,7,9,7,9,16
SENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,10,0,10,0,10
SHINAOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,37,4,37,4,41
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,18,13,18,13,31
SICAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,5,1,5,6
SIPE SIPE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,65,9,65,9,74
SOPACHUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,3,4,3,4,7
SORACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,15,9,15,9,24
SORATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,15,27,15,27,42
SUCRE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,514,20,514,20,534
TACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,3,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,9,3,9,3,12
TACOBAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,10,22,10,22,32
TACOPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,14,11,14,11,25
TAHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,1,1,1,1,2
TAPACARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,18,39,18,39,57
TARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,14,18,14,18,32
TARACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,11,2,11,13
TARATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,10,3,10,3,13
TARIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,379,20,379,20,399
TARVITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,14,15,14,15,29
TEOPONTE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,8,9,8,9,17
TIAWANACU,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,8,14,8,14,22
TINGUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,16,37,16,37,53
TIPUANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,25,3,25,3,28
TIQUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,76,18,76,18,94
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,28,19,28,19,47
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,0,2,0,2
TOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-06-01,2,3,2,3,5
