,group,variable,month,ANTIROTAVIRICA 1RA. DOSIS,ANTIROTAVIRICA 1RA. DOSIS,TOTALES,TOTALES,TOTALES
CURVA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,2,2,2,4
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,0,5,0,5
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1543,16,1543,16,1559
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,4,1,4,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,19,5,19,5,24
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,12,1,12,1,13
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,111,8,111,8,119
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,0,4,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,23,5,23,5,28
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,59,10,59,10,69
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,3,2,3,2,5
ESMERALDA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,0,2,0,2,2
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,6,0,6,0,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,0,4,0,4,4
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,0,2,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,23,5,23,5,28
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,5,4,5,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,34,1,34,1,35
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,7,16,7,16,23
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,13,4,13,4,17
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,7,5,7,5,12
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,70,11,70,11,81
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,12,11,12,11,23
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,14,0,14,0,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,3,5,3,8
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,36,3,36,3,39
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,3,4,3,4,7
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,2,5,2,7
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,7,5,7,12
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,5,4,5,9
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,3,2,3,5
ICLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,3,9,3,12
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,12,13,12,13,25
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,7,10,7,10,17
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,11,12,11,12,23
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,21,0,21,0,21
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,13,2,13,2,15
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,51,31,51,31,82
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,156,5,156,5,161
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1356,7,1356,7,1363
LA RIVERA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,0,1,0,1,1
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,13,6,13,6,19
LAJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,10,4,10,4,14
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,1,4,1,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,1,4,1,5
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,39,32,39,32,71
LLICA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,1,4,1,5
LORETO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,20,5,20,25
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,0,4,0,4
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,0,4,0,4
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,8,5,8,13
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,20,12,20,12,32
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,20,0,20,0,20
MALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,0,2,0,2,2
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,20,5,20,5,25
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,5,4,5,9
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,48,6,48,6,54
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,37,30,37,30,67
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,12,11,12,11,23
MOJINETE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,18,9,18,9,27
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,34,10,34,10,44
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,278,10,278,10,288
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,1,1,1,2
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,18,5,18,23
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,0,1,0,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,0,4,0,4,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,3,0,3,0,3
OCURI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,19,25,19,25,44
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,26,2,26,2,28
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,8,6,8,6,14
ORURO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,547,7,547,7,554
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,14,15,14,15,29
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,10,2,10,2,12
PAILON,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,41,23,41,23,64
PALCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,6,9,6,9,15
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,43,11,43,11,54
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,1,1,1,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,12,1,12,1,13
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,3,3,3,3,6
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,2,1,2,3
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,0,4,0,4
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,6,1,6,1,7
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,6,14,6,14,20
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,33,5,33,38
POCONA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,7,6,7,6,13
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,18,16,18,16,34
POOPO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,0,2,0,2
PORCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,22,2,22,2,24
POROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,15,9,15,24
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,7,9,7,16
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,39,7,39,7,46
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,2,5,2,7
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,0,1,0,1
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,376,9,376,9,385
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,14,5,14,19
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,1,1,1,2
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,43,17,43,17,60
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,8,13,8,13,21
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,20,10,20,10,30
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,6,2,6,8
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,10,2,10,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,36,9,36,9,45
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,14,3,14,3,17
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,36,4,36,4,40
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,114,9,114,9,123
PUNA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,26,17,26,17,43
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,56,3,56,3,59
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,4,2,4,6
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,237,13,237,13,250
QUIME,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,7,2,7,9
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,0,1,0,1
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,18,4,18,22
REYES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,19,5,19,5,24
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,237,41,237,41,278
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,27,2,27,2,29
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,28,14,28,14,42
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,3,0,3,0,3
SACABA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,233,56,233,56,289
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,6,0,6,0,6
SACACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,22,13,22,13,35
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,8,4,8,4,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,10,3,10,3,13
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,10,4,10,4,14
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,0,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,15,9,15,9,24
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,4,2,4,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,10,2,10,2,12
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,25,1,25,1,26
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,76,21,76,21,97
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,24,3,24,3,27
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,36,2,36,2,38
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,41,1,41,1,42
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,96,14,96,14,110
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,3,0,3,0,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,23,0,23,0,23
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,6,0,6,0,6
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,25,0,25,0,25
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,6,1,6,1,7
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,66,36,66,36,102
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,8,9,8,17
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,24,8,24,8,32
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,34,41,34,41,75
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,33,12,33,12,45
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,24,7,24,7,31
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,3,0,3,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,26,0,26,0,26
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,18,36,18,36,54
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,3,4,3,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,2,2,2,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,2,9,2,11
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,5,5,5,10
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,21,0,21,0,21
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,28,5,28,5,33
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2849,95,2849,95,2944
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,13,6,13,6,19
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,26,6,26,6,32
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,0,4,0,4,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,10,4,10,14
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,7,2,7,9
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,3,4,3,7
SANTIVAÑES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,2,9,2,11
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,4,4,4,8
SAPAHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,6,3,6,3,9
SENA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,0,9,0,9
SHINAOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,36,11,36,11,47
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,14,11,14,11,25
SICAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,6,2,6,8
SIPE SIPE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,64,15,64,15,79
SOPACHUY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,6,2,6,2,8
SORACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,8,13,8,13,21
SORATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,22,34,22,34,56
SUCRE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,494,21,494,21,515
TACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,0,2,0,2
TACACOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,8,8,8,8,16
TACOBAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,15,9,15,9,24
TACOPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,6,9,6,15
TAPACARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,21,17,21,17,38
TARABUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,10,12,10,12,22
TARACO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,1,1,1,2
TARATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,12,6,12,6,18
TARIJA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,337,3,337,3,340
TARVITA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,11,11,11,11,22
TEOPONTE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,3,6,3,6,9
TIAWANACU,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,12,16,12,16,28
TINGUIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,31,17,31,17,48
TIPUANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,20,5,20,5,25
TIQUIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,95,8,95,8,103
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,29,12,29,12,41
TOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,4,5,4,9
TOLATA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,4,5,4,9
TOLEDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,3,5,3,8
TOMAVE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,8,9,8,9,17
TOMINA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,3,7,3,7,10
TORO TORO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,10,11,10,11,21
TOTORA(CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,32,7,32,7,39
TOTORA(ORR),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,6,1,6,1,7
TRIGAL,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,1,2,1,3
TRINIDAD,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,221,12,221,12,233
TUPIZA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,48,6,48,6,54
TURCO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,2,0,2,0,2
UMALA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,0,14,0,14,14
UNCIA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,30,13,30,13,43
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,13,3,13,3,16
URUBICHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,11,1,11,12
UYUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,48,4,48,4,52
VACAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,5,5,5,5,10
VALLEGRANDE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,31,1,31,1,32
VIACHA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,50,21,50,21,71
VILA VILA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,8,7,8,7,15
VILLA CHARCAS,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,18,2,18,2,20
VILLA MONTES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,79,11,79,11,90
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,0,4,0,4
VILLA RIVERO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,7,9,7,16
VILLA SERRANO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,14,10,14,10,24
VILLA TUNARI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,163,34,163,34,197
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,12,9,12,21
VILLAZON,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,59,6,59,6,65
VINTO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,85,14,85,14,99
VITICHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,16,8,16,8,24
WARNES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,124,34,124,34,158
YACO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,1,9,1,9,10
YACUIBA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,165,6,165,6,171
YAMPARAEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,8,2,8,2,10
YANACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,4,1,4,1,5
YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,107,3,107,3,110
YOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,7,1,7,1,8
YOTALA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,11,3,11,3,14
YUNCHARA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,3,2,3,2,5
ZUDAÑEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-07-01,9,2,9,2,11
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,9,1,9,1,10
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,48,44,48,44,92
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,14,13,14,13,27
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,43,11,43,11,54
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,2,4,2,4,6
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,6,2,6,2,8
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,16,5,16,5,21
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,8,4,8,4,12
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,6,5,6,5,11
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,5,2,5,2,7
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 1ra. dosis,2010-08-01,7,7,7,7,14
