,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 1RA DOSIS,TOTALES,TOTALES,TOTALES
ARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,11,5,11,5,16
ARBIETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,9,14,9,14,23
ARQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,17,4,17,4,21
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,73,2,73,2,75
ATOCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,12,5,12,5,17
AUCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1,7,1,7,8
AYATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,17,6,17,23
AYO AYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,4,6,4,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,23,28,23,28,51
AZURDUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,16,18,16,18,34
BATALLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,30,5,30,5,35
BAURES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,6,7,6,13
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,3,2,3,5
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,2,2,2,4
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,64,9,64,9,73
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,45,21,45,21,66
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,14,6,14,20
BOLPEBRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,0,2,0,2,2
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,5,5,5,5,10
BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,16,16,16,16,32
CABEZAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,31,61,31,61,92
CAIROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,5,7,5,12
"CAIZA ""D""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,9,6,9,15
CAJUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,10,8,10,8,18
CALACOTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,5,4,5,4,9
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,12,10,12,10,22
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,18,6,18,6,24
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,0,7,0,7
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,46,1,46,1,47
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,24,7,24,7,31
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,3,11,3,11,14
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,21,12,21,12,33
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,80,16,80,16,96
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,6,7,6,13
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,16,4,16,20
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,10,3,10,3,13
CHACARILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,46,18,46,18,64
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,8,3,8,3,11
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,35,34,35,34,69
CHARAÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,4,2,4,6
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,10,21,10,21,31
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,30,12,30,12,42
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1,0,1,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,18,8,18,8,26
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,14,6,14,20
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,6,2,6,8
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,8,17,8,17,25
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,25,13,25,13,38
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,104,4,104,4,108
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,9,18,9,18,27
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1339,23,1339,23,1362
COIPASA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,92,5,92,5,97
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,16,9,16,9,25
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,2,6,2,8
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,34,18,34,18,52
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,4,6,4,10
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,22,71,22,71,93
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,13,2,13,2,15
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,11,43,11,43,54
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,3,2,3,2,5
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,21,6,21,6,27
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,0,3,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,42,17,42,17,59
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,8,10,8,10,18
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,18,7,18,7,25
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,3,4,3,7
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,25,6,25,6,31
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,2,2,2,4
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,14,19,14,19,33
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,111,22,111,22,133
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,32,23,32,23,55
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,8,3,8,3,11
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,25,19,25,19,44
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,1,4,1,5
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1,6,1,6,7
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,15,7,15,22
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1657,55,1657,55,1712
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,1,4,1,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,25,3,25,3,28
EL PUENTE(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,16,6,16,6,22
EL TORNO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,98,1,98,1,99
EL VILLAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,1,4,1,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,29,7,29,7,36
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,59,9,59,9,68
ESCARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,0,1,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,8,0,8,0,8
EUCALIPTUS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,12,2,12,2,14
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,5,1,5,1,6
EXALTACION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,1,2,1,3
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,19,11,19,11,30
FILADELFIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,3,15,3,15,18
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,22,5,22,5,27
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,9,14,9,14,23
GUANAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,13,7,13,7,20
GUAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,7,2,7,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,79,11,79,11,90
GUTIERREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,22,10,22,10,32
HUACARETA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,9,5,9,5,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,0,4,0,4,4
HUACHACALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,60,3,60,3,63
HUARACAJE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,0,6,0,6
HUARINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,6,2,6,8
HUAYLLAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,5,4,5,9
HUMANATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,3,4,3,4,7
ICHOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,3,9,3,9,12
ICLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,3,12,3,12,15
INCAHUASI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,17,14,17,14,31
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,0,7,0,7,7
INQUISIVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,25,4,25,29
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,12,18,12,18,30
IXIAMAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,8,1,8,1,9
JESUS DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,15,5,15,5,20
LA ASUNTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,58,17,58,17,75
LA GUARDIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,144,5,144,5,149
LA PAZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1381,26,1381,26,1407
LAGUNILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,9,6,9,6,15
LAJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,19,17,19,17,36
LAS CARRERAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,4,2,4,6
LICOMA PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,1,4,1,5
LLALLAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,16,7,16,23
LLICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,9,2,9,2,11
LORETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,5,6,5,6,11
LURIBAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,11,1,11,1,12
MACHACAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1,1,1,1,2
MACHARETI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,9,3,9,3,12
MAGDALENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,16,7,16,7,23
MAIRANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,30,0,30,0,30
MALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,0,1,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,18,11,18,11,29
MECAPACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,8,7,8,15
MINEROS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,65,10,65,10,75
MIZQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,41,21,41,21,62
MOCOMOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,10,9,10,9,19
MOJOCOYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,1,7,1,8
MONTEAGUDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,37,7,37,7,44
MONTERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,245,12,245,12,257
MORO MORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,3,1,3,1,4
MOROCHATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,19,6,19,25
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,12,0,12,0,12
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,0,3,0,3,3
OCURI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,8,25,8,25,33
OKINAWA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,31,10,31,10,41
OMEREQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,3,4,3,7
ORURO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,507,8,507,8,515
PADCAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,12,11,12,11,23
PADILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,13,6,13,6,19
PAILON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,53,35,53,35,88
PALCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,16,14,16,14,30
PALOS BLANCOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,44,11,44,11,55
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1,0,1,0,1
PAMPA GRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,15,0,15,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,7,2,7,9
PASORAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,1,4,1,5
PATACAMAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,34,5,34,5,39
PAZÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,3,7,3,10
PELECHUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,3,10,3,10,13
POCOATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,10,41,10,41,51
POCONA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,13,12,13,12,25
POJO (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,13,5,13,5,18
POOPO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,8,0,8,0,8
PORCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,12,2,12,2,14
POROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,18,14,18,14,32
PORONGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,11,7,11,18
PORTACHUELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,28,0,28,0,28
PORVENIR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,12,1,12,1,13
POSTRER VALLE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1,1,1,1,2
POTOSI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,372,9,372,9,381
PRESTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,10,7,10,17
PUCARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,29,6,29,6,35
PUERTO ACOSTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,3,12,3,12,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,17,22,17,22,39
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,5,6,5,6,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,1,2,1,3
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,30,4,30,4,34
PUERTO RICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,12,3,12,3,15
PUERTO SILES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,29,4,29,4,33
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,102,17,102,17,119
PUNA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,34,13,34,13,47
PUNATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,45,1,45,1,46
QUIABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,2,6,2,8
QUILLACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,192,10,192,10,202
QUIME,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,7,4,7,4,11
QUIRUSILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,0,2,0,2
RAVELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,9,24,9,24,33
REYES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,10,28,10,28,38
RIBERALTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,244,38,244,38,282
ROBORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,22,0,22,0,22
RURRENABAQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,35,11,35,11,46
SABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,5,0,5,0,5
SACABA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,223,22,223,22,245
SACABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,3,6,3,6,9
SACACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,24,13,24,13,37
SAIPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,1,6,1,7
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,8,2,8,10
SAMAIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,9,0,9,0,9
SAN ANDRES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,25,14,25,14,39
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,2,1,2,1,3
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,4,0,4,0,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,6,3,6,3,9
SAN BENITO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,20,6,20,6,26
SAN BORJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,87,43,87,43,130
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 1ra dosis,2010-08-01,19,5,19,5,24
