,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES,TOTALES,TOTALES
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,8,3,8,3,11
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,20,9,20,9,29
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,16,32,16,32,48
PORONGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,8,9,8,9,17
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,33,32,33,32,65
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,10,5,10,5,15
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,0,2,0,2,2
POTOSI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,336,23,336,23,359
PRESTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,7,9,7,9,16
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,25,10,25,10,35
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2,9,2,9,11
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,11,6,11,6,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,6,1,6,7
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2,7,2,7,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,23,8,23,8,31
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,11,8,11,8,19
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,0,4,0,4,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,30,12,30,12,42
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,91,32,91,32,123
PUNA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,22,22,22,22,44
PUNATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,47,2,47,2,49
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,3,3,3,3,6
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,217,22,217,22,239
QUIME,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,4,15,4,15,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,2,1,2,3
RAVELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,14,30,14,30,44
REYES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,12,17,12,17,29
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,239,44,239,44,283
ROBORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,24,6,24,6,30
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,31,14,31,14,45
SABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,4,0,4,0,4
SACABA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,212,32,212,32,244
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2,5,2,5,7
SACACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,18,33,18,33,51
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,9,5,9,5,14
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,5,10,5,10,15
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,13,6,13,6,19
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,4,0,4,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,14,20,14,20,34
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,12,4,12,4,16
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,6,5,6,5,11
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,86,36,86,36,122
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,21,9,21,9,30
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,36,2,36,2,38
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,52,18,52,18,70
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,93,60,93,60,153
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,0,5,0,5,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,21,9,21,9,30
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,9,2,9,2,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,32,11,32,11,43
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,14,1,14,1,15
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,44,24,44,24,68
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,1,1,1,2
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,23,15,23,15,38
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,33,55,33,55,88
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,5,23,5,23,28
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,12,4,12,4,16
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,3,0,3,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,30,1,30,1,31
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,21,103,21,103,124
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,2,1,2,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2,6,2,6,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,0,2,0,2,2
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,16,3,16,3,19
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2,2,2,2,4
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,15,0,15,0,15
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,42,2,42,2,44
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2726,125,2726,125,2851
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,12,13,12,13,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,22,13,22,13,35
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2,6,2,6,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,4,4,4,4,8
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,8,4,8,4,12
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2,0,2,0,2
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,6,0,6,0,6
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,5,4,5,4,9
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,6,7,6,7,13
SENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,10,0,10,0,10
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,37,4,37,4,41
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,18,13,18,13,31
SICAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,5,1,5,6
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,65,9,65,9,74
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,3,4,3,4,7
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,15,9,15,9,24
SORATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,15,27,15,27,42
SUCRE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,514,20,514,20,534
TACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,3,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,9,3,9,3,12
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,10,23,10,23,33
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,14,11,14,11,25
TAHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,1,1,1,2
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,18,39,18,39,57
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,14,18,14,18,32
TARACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,3,11,3,11,14
TARATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,10,3,10,3,13
TARIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,383,19,383,19,402
TARVITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,14,15,14,15,29
TEOPONTE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,8,11,8,11,19
TIAWANACU,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,8,14,8,14,22
TINGUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,16,37,16,37,53
TIPUANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,25,3,25,3,28
TIQUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,76,18,76,18,94
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,28,19,28,19,47
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2,0,2,0,2
TOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2,3,2,3,5
TODOS SANTOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,0,1,0,1
TOLATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,6,4,6,4,10
TOLEDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,5,3,5,3,8
TOMAVE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,19,8,19,8,27
TOMINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,7,8,7,8,15
TORO TORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,9,11,9,11,20
TOTORA(CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,16,8,16,8,24
TOTORA(ORR),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,3,5,3,5,8
TRIGAL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,1,1,1,2
TRINIDAD,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,213,80,213,80,293
TUPIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,53,9,53,9,62
TURCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,1,1,1,2
UMALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,3,7,3,7,10
UNCIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,36,10,36,10,46
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,24,4,24,4,28
URUBICHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,0,15,0,15,15
UYUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,49,4,49,4,53
VACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,6,15,6,15,21
VALLEGRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,19,2,19,2,21
VIACHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,85,4,85,4,89
VILA VILA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,5,6,5,6,11
VILLA CHARCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,16,18,16,18,34
VILLA MONTES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,69,19,69,19,88
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,0,1,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,9,1,9,1,10
VILLA SERRANO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,16,8,16,8,24
VILLA TUNARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,109,43,109,43,152
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,12,6,12,6,18
VILLAZON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,64,4,64,4,68
VINTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,74,14,74,14,88
VITICHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,12,5,12,5,17
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,2,1,2,1,3
WARNES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,119,34,119,34,153
YACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,1,11,1,11,12
YACUIBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,138,27,138,27,165
YAMPARAEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,6,3,6,3,9
YANACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,5,1,5,1,6
YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,66,11,66,11,77
YOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,8,8,8,8,16
YOTALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,12,3,12,3,15
YUNCHARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,3,6,3,6,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-06-01,8,7,8,7,15
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,5,4,5,4,9
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,43,30,43,30,73
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,13,10,13,10,23
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,37,10,37,10,47
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,0,6,0,6,6
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,0,2,0,2,2
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,19,5,19,5,24
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,3,14,3,14,17
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,2,5,2,5,7
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,6,1,6,1,7
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,6,7,6,7,13
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,17,14,17,14,31
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,2,1,2,1,3
ARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,13,9,13,9,22
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,11,13,11,13,24
ARQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,9,11,9,11,20
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,47,2,47,2,49
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,13,2,13,2,15
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,2,6,2,6,8
AYATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,10,7,10,7,17
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,5,3,5,3,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,16,21,16,21,37
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,14,15,14,15,29
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,29,10,29,10,39
BAURES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,8,2,8,2,10
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1,3,1,3,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,0,9,0,9,9
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,56,19,56,19,75
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,31,35,31,35,66
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,2,6,2,6,8
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,14,0,14,0,14
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,21,33,21,33,54
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,35,6,35,6,41
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,6,11,6,11,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,7,6,7,6,13
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,10,6,10,6,16
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,3,6,3,6,9
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,12,15,12,15,27
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,15,16,15,16,31
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,6,0,6,0,6
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,52,14,52,14,66
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,34,13,34,13,47
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1,10,1,10,11
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,28,12,28,12,40
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,70,29,70,29,99
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,14,10,14,10,24
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1,14,1,14,15
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,9,6,9,6,15
CATACORA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,2,0,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,35,20,35,20,55
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,12,7,12,7,19
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,24,48,24,48,72
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1,0,1,0,1
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,14,8,14,8,22
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,38,9,38,9,47
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,15,10,15,10,25
CHUMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,11,9,11,9,20
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,6,16,6,16,22
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,3,26,3,26,29
CLIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,22,17,22,17,39
COBIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,87,7,87,7,94
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,11,23,11,23,34
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1247,26,1247,26,1273
COIPASA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,94,7,94,7,101
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,8,4,8,4,12
COLLANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,38,5,38,5,43
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,21,0,21,0,21
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,15,51,15,51,66
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,7,3,7,3,10
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,11,31,11,31,42
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,2,5,2,5,7
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,35,7,35,7,42
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1,2,1,2,3
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,36,0,36,0,36
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,11,16,11,16,27
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,17,8,17,8,25
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,4,10,4,10,14
COROICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,17,10,17,10,27
CORQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,3,6,3,6,9
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,12,14,12,14,26
COTOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,118,16,118,16,134
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,26,27,26,27,53
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,2,0,2,0,2
CUEVO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,7,7,7,7,14
CULPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,14,14,14,14,28
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,6,0,6,0,6
CURVA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1,8,1,8,9
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,2,0,2,0,2
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1419,28,1419,28,1447
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,1,5,1,5,6
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,19,5,19,5,24
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,14,3,14,3,17
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,104,14,104,14,118
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,7,1,7,1,8
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,27,7,27,7,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,49,18,49,18,67
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,9,4,9,4,13
ESMERALDA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2010-07-01,0,2,0,2,2
