,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 3RA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 3RA DOSIS,TOTALES,TOTALES,TOTALES
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,1,2,1,2,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,21,4,21,4,25
SAN JOAQUIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,9,5,9,5,14
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,38,11,38,11,49
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,15,2,15,2,17
SAN JULIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,42,31,42,31,73
SAN LORENZO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,1,1,1,1,2
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,13,7,13,7,20
SAN LUCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,40,47,40,47,87
SAN MATIAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,1,15,1,15,16
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,17,10,17,10,27
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,5,0,5,0,5
SAN PEDRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,34,3,34,3,37
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,22,101,22,101,123
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,5,4,5,4,9
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,6,3,6,3,9
SAN PEDRO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,0,1,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,10,4,10,4,14
SAN RAMON BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,7,4,7,4,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,19,0,19,0,19
SANTA ANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,29,0,29,0,29
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,2155,147,2155,147,2302
SANTA ROSA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,20,4,20,4,24
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,22,13,22,13,35
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,1,5,1,5,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,1,2,1,2,3
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,5,9,5,9,14
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,3,0,3,0,3
SANTIVAÑES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,8,1,8,1,9
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,6,3,6,3,9
SAPAHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,5,5,5,5,10
SENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,6,2,6,2,8
SHINAOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,36,4,36,4,40
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,17,18,17,18,35
SICAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,1,0,1,0,1
SIPE SIPE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,56,11,56,11,67
SOPACHUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,8,9,8,9,17
SORACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,8,10,8,10,18
SORATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,21,31,21,31,52
SUCRE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,466,32,466,32,498
TACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,2,0,2,0,2
TACACOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,3,3,3,3,6
TACOBAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,13,20,13,20,33
TACOPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,4,7,4,7,11
TAHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,2,1,2,1,3
TAPACARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,21,45,21,45,66
TARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,27,20,27,20,47
TARACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,1,4,1,4,5
TARATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,9,4,9,4,13
TARIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,372,11,372,11,383
TARVITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,9,7,9,7,16
TEOPONTE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,12,10,12,10,22
TIAWANACU,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,5,16,5,16,21
TINGUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,32,40,32,40,72
TIPUANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,19,8,19,8,27
TIQUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,91,32,91,32,123
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,25,11,25,11,36
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,1,0,1,0,1
TOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,3,1,3,1,4
TODOS SANTOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,3,0,3,0,3
TOLATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,4,3,4,3,7
TOLEDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,3,4,3,4,7
TOMAVE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,6,11,6,11,17
TOMINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,7,4,7,4,11
TORO TORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,7,36,7,36,43
TOTORA(CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,15,4,15,4,19
TOTORA(ORR),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,9,8,9,8,17
TRINIDAD,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,212,49,212,49,261
TUPIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,59,11,59,11,70
TURCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,7,2,7,2,9
UMALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,2,14,2,14,16
UNCIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,28,18,28,18,46
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,16,7,16,7,23
URUBICHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,0,20,0,20,20
UYUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,31,6,31,6,37
VACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,7,17,7,17,24
VALLEGRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,24,5,24,5,29
VIACHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,77,7,77,7,84
VILA VILA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,4,5,4,5,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,21,24,21,24,45
VILLA MONTES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,59,11,59,11,70
VILLA RIVERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,9,3,9,3,12
VILLA SERRANO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,6,3,6,3,9
VILLA TUNARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,110,48,110,48,158
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,17,5,17,5,22
VILLAZON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,73,6,73,6,79
VINTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,52,15,52,15,67
VITICHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,9,6,9,6,15
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,0,4,0,4,4
WARNES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,110,49,110,49,159
YACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,4,14,4,14,18
YACUIBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,121,26,121,26,147
YAMPARAEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,8,2,8,2,10
YANACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,4,0,4,0,4
YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,58,14,58,14,72
YOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,11,6,11,6,17
YOTALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,5,2,5,2,7
YUNCHARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,2,7,2,7,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-06-01,7,9,7,9,16
ACACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,4,6,4,6,10
ACHACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,41,41,41,41,82
ACHOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,13,15,13,15,28
AIQUILE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,41,12,41,12,53
ALALAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,3,7,3,7,10
ALCALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,3,2,3,2,5
ALTO BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,10,7,10,7,17
ANCORAIMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,10,11,10,11,21
ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,2,1,2,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,3,0,3,0,3
ANZALDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,7,14,7,14,21
APOLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,12,18,12,18,30
ARAMPAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,1,3,1,3,4
ARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,15,10,15,10,25
ARBIETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,11,10,11,10,21
ARQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,18,14,18,14,32
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,46,0,46,0,46
ATOCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,11,1,11,1,12
AUCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,4,10,4,10,14
AYATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,4,6,4,6,10
AYO AYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,5,4,5,4,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,13,34,13,34,47
AZURDUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,10,14,10,14,24
BATALLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,31,7,31,7,38
BAURES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,16,0,16,0,16
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,1,2,1,2,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,0,1,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,0,2,0,2,2
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,66,17,66,17,83
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,46,24,46,24,70
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,4,10,4,10,14
BOLPEBRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,0,4,0,4,4
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,4,0,4,0,4
BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,19,14,19,14,33
CABEZAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,36,7,36,7,43
CAIROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,6,7,6,7,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,12,4,12,4,16
CAJUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,10,8,10,8,18
CALACOTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,0,5,0,5,5
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,8,8,8,8,16
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,17,16,17,16,33
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,3,1,3,1,4
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,32,8,32,8,40
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,37,7,37,7,44
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,6,6,6,6,12
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,16,11,16,11,27
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,66,33,66,33,99
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,23,8,23,8,31
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,4,19,4,19,23
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,2,8,2,8,10
CATACORA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,1,2,1,2,3
CHACARILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,2,0,2,0,2
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,42,18,42,18,60
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,5,12,5,12,17
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,29,57,29,57,86
CHARAÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,1,1,1,1,2
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,11,11,11,11,22
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,33,12,33,12,45
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,2,4,2,4,6
CHOQUE COTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,15,8,15,8,23
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,6,6,6,6,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,3,12,3,12,15
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,12,41,12,41,53
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,26,9,26,9,35
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,92,6,92,6,98
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,9,37,9,37,46
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,1237,25,1237,25,1262
COIPASA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,0,1,0,1,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,84,12,84,12,96
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,12,0,12,0,12
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,3,0,3,0,3
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,36,10,36,10,46
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,6,9,6,9,15
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,21,61,21,61,82
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,12,1,12,1,13
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,6,28,6,28,34
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,1,0,1,0,1
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,30,6,30,6,36
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,1,6,1,6,7
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,37,0,37,0,37
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,11,15,11,15,26
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,15,4,15,4,19
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,3,8,3,8,11
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,20,14,20,14,34
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,2,4,2,4,6
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,29,16,29,16,45
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,91,15,91,15,106
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,20,22,20,22,42
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,3,0,3,0,3
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,3,5,3,5,8
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,19,25,19,25,44
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,12,1,12,1,13
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,4,5,4,5,9
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,8,0,8,0,8
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,1396,39,1396,39,1435
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,3,12,3,12,15
EL PUENTE(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,15,6,15,6,21
EL PUENTE(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,17,9,17,9,26
EL TORNO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,100,7,100,7,107
EL VILLAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,2,1,2,1,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,16,7,16,7,23
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,42,19,42,19,61
ESCARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,0,1,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,5,4,5,4,9
ESMERALDA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,6,1,6,1,7
EXALTACION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 3ra dosis,2010-07-01,14,8,14,8,22
