,group,variable,month,ANTIROTAVIRICA 2RA. DOSIS,ANTIROTAVIRICA 2RA. DOSIS,TOTALES,TOTALES,TOTALES
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,1,2,1,3
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,4,7,4,7,11
APOLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,19,4,19,4,23
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,7,3,7,10
ARANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,16,7,16,7,23
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,10,8,10,8,18
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,21,12,21,12,33
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,63,0,63,0,63
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,7,5,7,12
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,4,2,4,6
AYATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,10,8,10,8,18
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,3,5,3,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,12,25,12,25,37
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,14,13,14,13,27
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,16,7,16,7,23
BAURES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,10,4,10,4,14
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,3,0,3,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,1,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,2,0,2,2
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,65,13,65,13,78
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,40,32,40,32,72
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,13,5,13,18
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,3,0,3,3
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,6,3,6,3,9
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,20,2,20,2,22
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,38,4,38,4,42
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,11,14,11,14,25
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,8,6,8,6,14
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,10,4,10,4,14
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,3,1,3,4
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,7,11,7,11,18
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,19,6,19,6,25
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,1,2,1,3
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,50,10,50,10,60
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,37,3,37,3,40
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,12,0,12,12
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,18,15,18,15,33
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,72,56,72,56,128
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,18,5,18,5,23
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,30,5,30,35
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,8,2,8,2,10
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,2,0,2,2
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,41,11,41,11,52
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,12,1,12,1,13
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,22,31,22,31,53
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,2,1,2,3
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,11,11,11,11,22
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,29,10,29,10,39
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,18,14,18,14,32
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,7,6,7,6,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,8,5,8,5,13
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,17,21,17,21,38
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,23,10,23,10,33
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,110,18,110,18,128
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,8,29,8,29,37
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1122,3,1122,3,1125
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,70,12,70,12,82
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,9,5,9,5,14
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,22,6,22,6,28
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,3,3,3,6
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,28,62,28,62,90
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,2,5,2,7
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,37,3,37,40
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,4,0,4,4
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,22,6,22,6,28
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,7,0,7,7
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,19,1,19,1,20
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,8,21,8,21,29
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,15,22,15,22,37
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,13,5,13,18
COROICO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,14,3,14,3,17
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,7,4,7,4,11
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,19,23,19,23,42
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,98,18,98,18,116
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,26,5,26,5,31
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,2,2,2,4
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,15,10,15,10,25
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,1,5,1,6
CURVA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,5,3,5,8
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,7,1,7,8
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1462,47,1462,47,1509
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,6,2,6,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,10,10,10,10,20
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,14,4,14,4,18
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,90,5,90,5,95
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,6,3,6,3,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,20,13,20,13,33
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,42,19,42,19,61
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,3,2,3,5
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,0,5,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,4,0,4,4
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,4,1,4,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,9,2,9,2,11
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,1,1,1,2
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,35,3,35,3,38
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,14,5,14,19
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,18,6,18,6,24
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,7,4,7,4,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,103,33,103,33,136
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,19,6,19,6,25
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,8,4,8,4,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,1,0,1,1
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,47,5,47,5,52
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,4,5,4,9
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,6,4,6,4,10
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,2,1,2,3
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,6,3,6,9
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,7,1,7,8
ICLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,13,5,13,18
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,13,14,13,14,27
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,9,5,9,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,10,13,10,13,23
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,19,2,19,2,21
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,17,4,17,4,21
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,76,22,76,22,98
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,143,5,143,5,148
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1209,43,1209,43,1252
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,11,4,11,4,15
LAJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,11,13,11,13,24
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,0,2,0,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,0,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,27,63,27,63,90
LLICA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,1,5,1,6
LORETO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,2,3,2,5
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,4,5,4,5,9
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,4,0,4,0,4
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,3,5,3,8
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,19,15,19,15,34
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,16,1,16,1,17
MALLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,5,0,5,5
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,17,10,17,10,27
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,8,15,8,15,23
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,43,7,43,7,50
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,32,23,32,23,55
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,6,8,6,8,14
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,7,5,7,5,12
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,30,10,30,10,40
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,273,13,273,13,286
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,1,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,4,20,4,20,24
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,4,3,4,3,7
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,2,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,0,1,0,1
OCURI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,11,41,11,41,52
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,23,3,23,3,26
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,4,10,4,10,14
ORURO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,484,2,484,2,486
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,21,13,21,13,34
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,8,5,8,13
PAILON,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,23,9,23,9,32
PALCA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,9,3,9,12
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,46,14,46,14,60
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,0,2,0,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,15,1,15,1,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,7,3,7,10
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,1,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,19,6,19,6,25
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,11,2,11,2,13
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,9,3,9,12
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,6,47,6,47,53
POCONA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,11,4,11,4,15
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,23,16,23,16,39
POOPO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,8,2,8,2,10
PORCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,18,1,18,1,19
POROMA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,14,28,14,28,42
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,8,7,8,7,15
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,32,6,32,6,38
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,10,5,10,5,15
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,2,0,2,2
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,308,11,308,11,319
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,4,11,4,11,15
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,29,10,29,10,39
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,11,2,11,13
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,12,7,12,7,19
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,3,0,3,3
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,11,1,11,12
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,16,8,16,8,24
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,11,7,11,7,18
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,3,0,3,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,30,11,30,11,41
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,95,33,95,33,128
PUNA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,20,18,20,18,38
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,44,1,44,1,45
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,3,3,3,6
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,204,13,204,13,217
QUIME,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,4,15,4,15,19
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,2,1,2,3
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,13,30,13,30,43
REYES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,12,9,12,9,21
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,195,32,195,32,227
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,21,4,21,4,25
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,31,13,31,13,44
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,0,5,0,5
SACABA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,195,23,195,23,218
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,6,5,6,5,11
SACACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,21,30,21,30,51
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,11,5,11,5,16
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,10,5,10,15
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,11,6,11,6,17
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,4,0,4,0,4
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,14,21,14,21,35
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,12,5,12,5,17
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,7,4,7,4,11
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,85,31,85,31,116
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,20,10,20,10,30
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,38,0,38,0,38
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,55,6,55,6,61
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,89,46,89,46,135
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,6,0,6,6
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,19,4,19,4,23
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,9,2,9,2,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,33,2,33,2,35
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,7,0,7,0,7
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,40,21,40,21,61
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,1,1,1,1,2
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,24,16,24,16,40
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,34,56,34,56,90
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,5,22,5,22,27
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,13,5,13,5,18
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,0,3,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,32,1,32,1,33
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,16,81,16,81,97
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,3,4,3,4,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,5,2,5,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,2,0,2,2
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,12,6,12,6,18
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,2,2,2,4
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,14,0,14,0,14
SANTA ANA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,39,0,39,0,39
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2220,100,2220,100,2320
SANTA ROSA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,12,13,12,13,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,22,14,22,14,36
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,0,3,0,3,3
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,4,2,4,6
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,8,4,8,4,12
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2ra. dosis,2010-06-01,2,0,2,0,2
