municipality,group,variable,month,9. Días camas disponibles maternidad,TOTAL
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,48,48
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,279,279
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,465,465
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1400,1400
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,589,589
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,11127,11127
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,558,558
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2024-07-01,465,465
COLLANA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,396,396
COLPA BELGICA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,310,310
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,34,34
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,155,155
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,183,183
CORO CORO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,30,30
COROICO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,248,248
CORQUE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,403,403
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,281,281
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,620,620
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
CUEVO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,557,557
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
DESAGUADERO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,89,89
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,7615,7615
EL CHORO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,372,372
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,589,589
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,464,464
ESCARA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,30,30
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
EXALTACION,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,87,87
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,59,59
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,155,155
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,260,260
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
HUACARAJE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
HUACARETA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,405,405
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,93,93
HUACHACALLA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,372,372
HUARINA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
HUATAJATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
HUMANATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
ICLA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,434,434
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,403,403
INQUISIVI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,93,93
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,87,87
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,343,343
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,434,434
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1077,1077
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,13415,13415
LAGUNILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,8,8
LAJA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,341,341
LICOMA PAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,60,60
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,372,372
LLICA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,57,57
LORETO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,122,122
MACHACAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
MACHARETI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,372,372
MAGDALENA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
MAIRANA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
MALLA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
MAPIRI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
MECAPACA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
MINEROS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,33,33
MIZQUE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,618,618
MOJOCOYA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,310,310
MONTEAGUDO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1054,1054
MONTERO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,3622,3622
MORO MORO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,29,29
MOROCHATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,147,147
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,58,58
OCURI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,744,744
OKINAWA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
OMEREQUE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,93,93
ORURO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,5742,5742
PADILLA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,341,341
PAILON,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,214,214
PALCA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,94,94
PALOS BLANCOS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,403,403
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
PAMPA GRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,93,93
PASORAPA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,60,60
PATACAMAYA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,161,161
PAZÑA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,125,125
PELECHUCO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
POCOATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,682,682
POCONA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,465,465
POJO (CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,248,248
POOPO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,92,92
PORCO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,87,87
POROMA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1054,1054
PORONGO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,60,60
PORTACHUELO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,429,429
PORVENIR,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,90,90
POTOSI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,3099,3099
PRESTO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,310,310
PUCARANI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,278,278
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,60,60
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,109,109
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,284,284
PUERTO RICO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,240,240
PUERTO SILES,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,7,7
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,100,100
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1457,1457
PUNA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,527,527
PUNATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1054,1054
QUIABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
QUILLACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1761,1761
QUIME,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,3,3
QUIRUSILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
RAVELO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,527,527
REYES,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,93,93
RIBERALTA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1612,1612
ROBORE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,305,305
RURRENABAQUE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,248,248
SABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
SACABA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1952,1952
SACABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,93,93
SACACA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,155,155
SAIPINA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,59,59
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,248,248
SAMAIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,84,84
SAN BENITO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
SAN BORJA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,372,372
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,312,312
SAN CARLOS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
SAN IGNACIO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,279,279
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1364,1364
SAN JAVIER(BNI),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,30,30
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,150,150
SAN JOAQUIN,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,508,508
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,30,30
SAN JULIAN,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,791,791
SAN LUCAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1582,1582
SAN MATIAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,141,141
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,155,155
SAN PEDRO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,156,156
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,84,84
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,496,496
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,61,61
SAN RAFAEL,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,155,155
SAN RAMON BENI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
SANTA ANA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,217,217
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,28660,28660
SANTA ROSA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,243,243
SANTIAGO DE HUARI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
SANTIAGO DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
SANTIVAÑES,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,155,155
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,122,122
SAPAHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,93,93
SENA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,159,159
SHINAOTA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,461,461
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,155,155
SICAYA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
SIPE SIPE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,372,372
SOPACHUY,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,310,310
SORACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
SORATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
SUCRE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,2666,2666
TACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,93,93
TACACOMA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,30,30
TACOBAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,208,208
TACOPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
TAPACARI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,90,90
TARABUCO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,465,465
TARACO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,60,60
TARATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
TARIJA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1891,1891
TARVITA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,868,868
TEOPONTE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
TIAHUANACU,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,217,217
TIPUANI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,124,124
TIQUIPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,717,717
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,651,651
TOCO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,182,182
TOLATA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,310,310
TOMAVE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,30,30
TOMINA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,679,679
TORO TORO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,168,168
TOTORA(CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,403,403
TOTORA(ORR),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,93,93
TRINIDAD,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1431,1431
TUPIZA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,310,310
TURCO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,372,372
UNCIA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
URUBICHA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,62,62
UYUNI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,402,402
VACAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,248,248
VALLEGRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,306,306
VIACHA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,998,998
VILA VILA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,220,220
VILLA CHARCAS,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,372,372
VILLA MONTES,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,372,372
VILLA RIVERO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,186,186
VILLA SERRANO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,403,403
VILLA TUNARI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1526,1526
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles maternidad,2024-07-01,432,432
VILLAZON,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,589,589
VINTO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,682,682
VITICHI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,155,155
WALDO BALLIVIAN,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,31,31
WARNES,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,1066,1066
YACO,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,82,82
YACUIBA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,928,928
YAMPARAEZ,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,341,341
YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,590,590
YOTALA,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,369,369
ZUDAÑEZ,internaciones dias camas,dias camas disponibles maternidad,2024-07-01,279,279
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,60,60
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,434,434
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,217,217
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,155,155
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,124,124
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,186,186
APOLO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,124,124
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,124,124
ARANI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,248,248
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,186,186
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,403,403
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,420,420
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,215,215
AYATA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,62,62
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2024-08-01,1144,1144
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,527,527
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,92,92
BAURES,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,123,123
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,393,393
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,186,186
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,180,180
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,123,123
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,62,62
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2024-08-01,390,390
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,155,155
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,93,93
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,310,310
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2024-08-01,186,186
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,217,217
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,341,341
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,279,279
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,527,527
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,124,124
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,62,62
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,180,180
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,462,462
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,217,217
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,372,372
CHARAÑA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,94,94
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,280,280
CHIPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,29,29
CHOQUE COTA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,124,124
CHUA COCANI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,62,62
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2024-08-01,248,248
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,77,77
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,310,310
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,465,465
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,1344,1344
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,620,620
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,10938,10938
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,558,558
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2024-08-01,465,465
COLLANA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,403,403
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,310,310
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,93,93
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,95,95
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,186,186
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,155,155
COPACABANA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,5,5
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,186,186
CORO CORO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,59,59
COROICO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,248,248
CORQUE,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,403,403
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,62,62
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,620,620
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,248,248
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2024-08-01,124,124
CUEVO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,62,62
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,527,527
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,186,186
DESAGUADERO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,86,86
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,6325,6325
EL CHORO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,372,372
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2024-08-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,775,775
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,465,465
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,124,124
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,186,186
EXALTACION,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,89,89
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,58,58
GENERAL SAAVEDRA,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,39,39
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,dias camas disponibles maternidad,2024-08-01,62,62
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,124,124
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,682,682
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2024-08-01,372,372
