municipality,group,variable,month,7. Días camas ocupadas maternidad,TOTAL
SAN PEDRO,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,4,4
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,10,10
SAN PEDRO DE CURAHUARA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,2,2
SAN PEDRO DE MACHA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,24,24
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,3,3
SAN RAFAEL,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,7,7
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,8,8
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,4,4
SANTA ANA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,91,91
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,9953,9953
SANTA ROSA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,24,24
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,7,7
SANTIAGO DE HUARI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,2,2
SANTIAGO DE HUATA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,3,3
SANTIAGO DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,3,3
SANTIVAÑES,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,2,2
SAPAHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,3,3
SENA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,12,12
SHINAOTA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,126,126
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,8,8
SICAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,1,1
SIPE SIPE,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,33,33
SOPACHUY,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,6,6
SORACACHI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,4,4
SORATA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,6,6
SUCRE,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,1294,1294
TACACOMA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,4,4
TACOPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,7,7
TAPACARI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,3,3
TARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,34,34
TARACO,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,1,1
TARATA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,9,9
TARIJA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,638,638
TARVITA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,32,32
TEOPONTE,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,2,2
TIAHUANACU,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,6,6
TINGUIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,5,5
TIPUANI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,5,5
TIQUIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,238,238
TIRAQUE (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,5,5
TOLATA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,4,4
TOMINA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,3,3
TORO TORO,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,9,9
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,40,40
TRINIDAD,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,762,762
TUPIZA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,114,114
UNCIA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,31,31
URUBICHA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,4,4
UYUNI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,140,140
VACAS,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,4,4
VALLEGRANDE,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,150,150
VIACHA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,143,143
VILA VILA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,2,2
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,15,15
VILLA MONTES,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,102,102
VILLA RIVERO,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,1,1
VILLA SERRANO,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,4,4
VILLA TUNARI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,517,517
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,9,9
VILLAZON,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,86,86
VINTO,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,218,218
VITICHI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,5,5
WALDO BALLIVIAN,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,1,1
WARNES,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,611,611
YACO,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,5,5
YACUIBA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,272,272
YAMPARAEZ,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,3,3
YANACACHI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,2,2
YAPACANI,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,205,205
YOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,2,2
YOTALA,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,4,4
ZUDAÑEZ,internaciones dias camas,dias camas ocupadas maternidad,2024-06-01,11,11
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,120,120
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,6,6
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,45,45
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,9,9
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,119,119
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,46,46
AUCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,65,65
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,19,19
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,71,71
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,21,21
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,73,73
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,7,7
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,18,18
CALACOTO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,10,10
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,98,98
CAMIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,172,172
CAPINOTA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,28,28
CAQUIAVIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
CARACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,38,38
CARANAVI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,213,213
CARAPARI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,14,14
CARIPUYO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
CHALLAPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,93,93
CHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
CHARAGUA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,89,89
CHAYANTA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,16,16
CHIMORE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,14,14
CHIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
CHOQUE COTA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,80,80
CHUMA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,15,15
CKOCHAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,7,7
CLIZA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,170,170
COBIJA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,547,547
COCAPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,8,8
COCHABAMBA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4482,4482
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,122,122
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,11,11
COLLANA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
COLOMI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,35,35
COLPA BELGICA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
COLQUECHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,16,16
COLQUENCHA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
COLQUIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,93,93
COMARAPA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,67,67
CONCEPCION,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,48,48
COPACABANA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
CORIPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,10,10
CORO CORO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
COROICO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,71,71
CORQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
COTAGAITA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,7,7
COTOCA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,378,378
CUATRO CAÑADAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,27,27
CUEVO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
CULPINA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,19,19
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
DESAGUADERO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
EL ALTO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4130,4130
EL PUENTE(STC),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,9,9
EL PUENTE(TJA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
EL TORNO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,177,177
EL VILLAR,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
ENTRE RIOS TRJ,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,28,28
ENTRE RIOS CBBA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,30,30
ESCARA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
ESCOMA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,6,6
EUCALIPTUS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
EXALTACION,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
FERNANDEZ ALONSO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,10,10
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
GENERAL SAAVEDRA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
GUANAY,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,30,30
GUAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
GUAYARAMERIN,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,260,260
GUTIERREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,22,22
HUACARAJE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,6,6
HUACARETA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
HUANUNI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,54,54
HUARINA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
HUAYLLAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
HUMANATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
ICLA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
INCAHUASI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,13,13
INQUISIVI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
IXIAMAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,6,6
JESUS DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
LA ASUNTA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,44,44
LA GUARDIA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,177,177
LA PAZ,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4619,4619
LAGUNILLAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
LAJA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,10,10
LICOMA PAMPA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
LLALLAGUA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,230,230
LLICA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
LURIBAY,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
MACHARETI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
MAGDALENA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,27,27
MAIRANA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,54,54
MALLA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
MAPIRI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,15,15
MINEROS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,23,23
MIZQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,52,52
MOJOCOYA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
MONTEAGUDO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,83,83
MONTERO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1217,1217
MORO MORO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
MOROCHATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
OCURI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,11,11
OKINAWA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
OMEREQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,8,8
ORURO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1951,1951
PADCAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
PADILLA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,38,38
PAILON,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,59,59
PALOS BLANCOS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,14,14
PAMPA GRANDE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,10,10
PATACAMAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,87,87
PAZÑA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
PELECHUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
POCOATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,7,7
POCONA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,7,7
POJO (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,15,15
POOPO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
PORCO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,20,20
POROMA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,18,18
PORTACHUELO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,58,58
POTOSI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1457,1457
PRESTO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
PUCARANI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,11,11
PUERTO ACOSTA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
PUERTO CARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
PUERTO GONZALO MORENO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
PUERTO QUIJARRO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,46,46
PUERTO SILES,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
PUERTO SUAREZ,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,50,50
PUERTO VILLARROEL,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,314,314
PUNA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,16,16
PUNATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,348,348
QUIABAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
QUILLACOLLO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,315,315
QUIME,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,30,30
RAQAYPAMPA(ETA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
RAVELO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,11,11
REYES,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,44,44
RIBERALTA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,907,907
ROBORE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,37,37
RURRENABAQUE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,118,118
SABAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
SACABA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,828,828
SACACA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,12,12
SAIPINA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
SAMAIPATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,6,6
SAN ANDRES,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,6,6
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,9,9
SAN BENITO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
SAN BORJA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,134,134
SAN BUENA VENTURA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,33,33
SAN CARLOS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,10,10
SAN IGNACIO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,47,47
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,420,420
SAN JAVIER(STC),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,38,38
SAN JOAQUIN,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,11,11
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,143,143
SAN JULIAN,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,212,212
SAN LORENZO(PND),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
SAN LORENZO(TJA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
SAN LUCAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,166,166
SAN MATIAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,189,189
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,25,25
SAN PEDRO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,9,9
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,19,19
SAN PEDRO DE MACHA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,17,17
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
SAN RAFAEL,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,7,7
SAN RAMON BENI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,9,9
SAN RAMON SCZ,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
SANTA ANA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,125,125
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,8894,8894
SANTA ROSA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,12,12
SANTA ROSA DEL SARA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
SANTIAGO DE HUARI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
SANTIAGO DE MACHACA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
SAPAHAQUI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
SENA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,21,21
SHINAOTA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,112,112
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,7,7
SIPE SIPE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,30,30
SOPACHUY,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,18,18
SORACACHI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
SORATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,8,8
SUCRE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1272,1272
TACACOMA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
TACOPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
TAPACARI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
TARABUCO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,44,44
TARACO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
TARATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
TARIJA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,599,599
TARVITA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,18,18
TEOPONTE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,6,6
TIAHUANACU,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,9,9
TIPUANI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
TIQUIPAYA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,259,259
TIRAQUE (CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,8,8
TOLATA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
TOLEDO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
TOMAVE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
TOMINA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,12,12
TORO TORO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,18,18
TOTORA(CBBA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,35,35
TRIGAL,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
TRINIDAD,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,796,796
TUPIZA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,172,172
TURCO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
UNCIA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,37,37
URUBICHA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
UYUNI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,103,103
VACAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,5,5
VALLEGRANDE,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,157,157
VIACHA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,291,291
VILA VILA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,94,94
VILLA CHARCAS,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,23,23
VILLA MONTES,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,91,91
VILLA RIVERO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,3,3
VILLA SERRANO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,6,6
VILLA TUNARI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,543,543
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,13,13
VILLAZON,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,157,157
VINTO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,168,168
VITICHI,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,2,2
WALDO BALLIVIAN,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,1,1
WARNES,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,479,479
YACO,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,4,4
YACUIBA,internaciones dias camas,dias camas ocupadas maternidad,2024-07-01,219,219
