,group,variable,month,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTALES
BELLA FLOR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,2,1,3
BERMEJO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,19,12,15,7,53
BETANZOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,3,1,0,6
BOLIVAR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,1,5,8
BOLPEBRA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,2,1,0,3
BOYUIBE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,0,0,3
BUENA VISTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,7,3,1,3,14
CABEZAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,10,8,3,3,24
CAIROMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,2,0,2,5
"CAIZA ""D""",vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,2,0,0,6
CAJUATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,0,0,0,2
CALACOTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,2,3,5
CALAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,1,0,4
CAMARGO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,9,9,6,0,24
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,3,0,0,5
CAMIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,8,10,2,1,21
CAPINOTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,7,6,0,0,13
CAQUIAVIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,1,0,2
CARACOLLO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,5,6,2,0,13
CARANAVI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,9,10,4,5,28
CARANGAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,1,0,1
CARAPARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,2,2,4,9
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,6,13,14,37
CHAQUI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,0,1,4
CHARAGUA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,6,9,5,22
CHIMORE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,10,7,1,4,22
CHUA COCANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,2,0,0,5
CHUMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,5,3,5,15
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,6,2,9
CKOCHAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,9,8,8,27
CLIZA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,7,2,6,4,19
COBIJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,26,32,13,16,87
COCAPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,10,2,9,12,33
COCHABAMBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,208,207,25,49,489
COIPASA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,2,2,5
COLCAPIRHUA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,21,19,5,6,51
"COLCHA ""K""",vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,2,0,0,5
COLOMI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,5,3,8,2,18
COLPA BELGICA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,0,1,4
COLQUECHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,4,10,10,25
COLQUENCHA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,0,0,1
COLQUIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,4,5,11
COMANCHE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,2,0,0,2
COMARAPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,5,1,0,0,6
COMBAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,2,1,3
CONCEPCION,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,11,8,0,0,19
COPACABANA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,2,2,5
CORIPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,2,0,0,4
CORO CORO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,2,3,4,9
COROICO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,2,0,0,6
CORQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,1,0,2
COTAGAITA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,6,2,0,0,8
COTOCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,18,14,0,2,34
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,7,7,8,26
CUCHUMUELA (V. G. VILLARROEL),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,0,0,2
CUEVO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,4,5,4,16
CULPINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,9,4,1,0,14
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,2,0,0,4
CURVA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,2,2,4
DESAGUADERO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,5,1,1,9
EL ALTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,124,122,71,70,387
EL CHORO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,0,0,1
EL PUENTE(STC),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,0,0,0,2
EL PUENTE(TJA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,6,2,0,1,9
EL TORNO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,34,39,14,15,102
EL VILLAR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,3,0,1,7
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,6,6,3,5,20
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,8,13,1,2,24
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,6,8,0,0,14
FILADELFIA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,3,0,4,9
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,5,0,0,8
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,1,9,10
GUANAY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,5,3,10
GUAQUI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,1,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,11,16,5,4,36
GUTIERREZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,2,4,2,9
HUACARETA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,4,1,8
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,0,0,2
HUANUNI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,10,10,1,6,27
HUARINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,3,0,5
HUATAJATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,1,0,1
HUAYLLAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,1,0,0,5
ICHOCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,3,1,4
ICLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,1,0,2
INCAHUASI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,13,11,27
INQUISIVI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,0,1,1
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,8,0,0,11
IXIAMAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,0,0,1
JESUS DE MACHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,3,2,1,8
LA ASUNTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,11,12,4,2,29
LA GUARDIA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,47,36,4,2,89
LA PAZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,202,175,20,31,428
LAGUNILLAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,2,1,4
LAJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,0,0,0,2
LAS CARRERAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,0,0,1
LICOMA PAMPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,0,0,1
LLALLAGUA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,2,27,23,53
LORETO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,2,0,0,3
LURIBAY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,3,1,0,4
MACHACAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,2,0,0,5
MACHARETI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,2,3,7
MAGDALENA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,4,3,0,9
MAIRANA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,0,0,2
MALLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,5,6,12
MAPIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,7,3,2,0,12
MECAPACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,1,4,8
MINEROS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,7,1,0,9
MIZQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,9,8,1,6,24
MOCOMOCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,1,4,5
MOJOCOYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,3,2,6
MONTEAGUDO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,12,10,1,3,26
MONTERO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,63,63,8,8,142
MOROCHATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,0,11,6,19
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,2,5,8
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,4,0,0,5
OCURI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,2,1,3
OKINAWA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,9,4,1,18
OMEREQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,0,5,5,12
ORURO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,77,87,23,28,215
PADCAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,8,2,4,16
PADILLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,9,1,2,15
PAILON,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,6,8,9,27
PALCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,6,4,9,20
PALOS BLANCOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,11,4,6,3,24
PAMPA GRANDE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,2,3,5,13
PAPEL PAMPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,8,1,8,6,23
PASORAPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,1,0,1
PATACAMAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,5,3,3,14
PAZÑA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,1,2,6
PELECHUCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,0,2,1,5
POCOATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,1,0,1
POCONA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,6,6,14,5,31
POJO (CBBA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,3,16,5,28
POOPO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,0,0,1
PORCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,0,0,1
POROMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,6,2,12,15,35
PORONGO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,3,2,1,7
PORTACHUELO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,9,8,0,0,17
PORVENIR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,2,5,3,11
POSTRER VALLE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,2,3,7
POTOSI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,17,18,4,5,44
PRESTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,3,6,5,16
PUCARA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,0,0,1
PUCARANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,2,3,6,15
PUERTO ACOSTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,0,1,1
PUERTO CARABUCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,1,0,1,6
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,2,4,4,11
PUERTO PEREZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,0,1,4
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,17,15,0,0,32
PUERTO RICO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,4,5,12
PUERTO SUAREZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,9,11,0,0,20
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,27,19,7,2,55
PUNA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,3,1,4,9
PUNATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,7,7,1,2,17
QUILLACOLLO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,41,28,54,45,168
QUIME,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,2,1,4
RAVELO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,4,7,11,24
REYES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,0,0,2
RIBERALTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,31,25,3,7,66
ROBORE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,5,3,3,15
RURRENABAQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,9,0,1,13
SABAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,0,0,1
SACABA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,35,50,4,6,95
SACABAMBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,0,5,6
SACACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,2,0,1,5
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,5,6,0,13
SAMAIPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,5,0,0,6
SAN ANDRES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,6,5,4,2,17
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,0,0,2,2
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,0,3,4
SAN BENITO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,3,0,3,10
SAN BORJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,19,17,37,46,119
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,3,0,0,5
SAN CARLOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,11,14,4,2,31
SAN IGNACIO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,11,10,0,0,21
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,10,7,2,5,24
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,0,0,2
SAN JAVIER(STC),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,10,5,0,0,15
SAN JOAQUIN,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,3,0,0,6
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,11,8,22,12,53
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,2,0,1,4
SAN JULIAN,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,14,8,7,4,33
SAN LORENZO(PND),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,1,4,9,18
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,10,7,0,1,18
SAN LUCAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,7,9,4,7,27
SAN MATIAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,4,1,0,0,5
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,10,0,0,13
SAN PEDRO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,9,6,1,0,16
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,1,5,6,14
SAN PEDRO DE CURAHUARA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,2,3,3,8
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,1,1,0,3
SAN RAFAEL,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,2,1,0,4
SAN RAMON BENI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,0,1,0,1,2
SAN RAMON SCZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,3,0,0,5
SANTA ANA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,2,0,0,4
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,578,491,67,64,1200
SANTA ROSA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,2,6,16,25
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,9,1,1,2,13
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,2,0,3
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,3,2,6
SANTIAGO DE HUATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,2,2,2,3,9
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,3,0,0,4
SANTIVAÑES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,3,1,0,1,5
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,1,0,0,2,3
SAPAHAQUI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-07-01,5,4,0,2,11
