,group,variable,month,PENTAVALENTE 3RA. DOSIS,PENTAVALENTE 3RA. DOSIS,TOTALES
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,19,8,27
ARQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,15,6,21
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,63,0,63
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,6,20
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,1,7,8
AYATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,3,7
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,13,4,17
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,26,33,59
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,11,6,17
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,24,6,30
BAURES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,0,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,1,3,4
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,3,5
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,5,5
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,37,59,96
BETANZOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,29,13,42
BOLIVAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,13,17
BOLPEBRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,2,6
BOYUIBE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,0,14
BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,23,12,35
CABEZAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,24,23,47
CAIROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,9,4,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,8,8,16
CAJUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,19,7,26
CALACOTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,9,12
CALAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,16,8,24
CAMARGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,23,5,28
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,2,5
CAMIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,64,1,65
CAPINOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,29,8,37
CAQUIAVIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,16,21
CARACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,21,9,30
CARANAVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,68,19,87
CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,1,1
CARAPARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,20,9,29
CARIPUYO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,12,18
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,5,10
CHACARILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,38,12,50
CHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,3,8
CHARAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,32,58,90
CHARAÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,1,2,3
CHAYANTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,11,10,21
CHIMORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,35,7,42
CHIPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,0,6
CHOQUE COTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,25,14,39
CHUMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,1,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,24,27
CKOCHAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,27,8,35
CLIZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,26,9,35
COBIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,91,8,99
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,40,46
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,1399,19,1418
COIPASA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,117,2,119
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,16,9,25
COLLANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,0,3
COLOMI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,38,8,46
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,9,1,10
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,44,33,77
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,10,2,12
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,12,14,26
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,3,6
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,26,6,32
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,32,11,43
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,11,11,22
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,34,3,37
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,10,5,15
COROICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,17,6,23
CORQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,1,4
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,23,16,39
COTOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,112,17,129
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,27,26,53
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,2,4
CUEVO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,5,10
CULPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,16,15,31
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,3,6
CURVA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,1,5
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,11,1,12
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,1555,84,1639
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,5,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,5,19
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,8,22
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,105,6,111
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,8,2,10
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,26,22,48
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,66,10,76
ESCARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,1,0,1
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,0,6
ESMERALDA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,8,1,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,1,0,1
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,2,6
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,28,8,36
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,1,5
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,34,7,41
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,9,9,18
GUANAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,23,8,31
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,7,4,11
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,95,5,100
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,12,26
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,15,9,24
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,6,9
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,1,3
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,38,7,45
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,7,0,7
HUARINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,5,7
HUATAJATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,2,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,2,6
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,3,5
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,6,8
ICLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,5,7
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,7,11,18
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,11,20,31
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,10,9,19
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,7,0,7
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,12,2,14
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,75,6,81
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,183,3,186
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,1226,63,1289
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,7,12
LAJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,12,10,22
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,2,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,1,1,2
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,66,64,130
LLICA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,2,8
LORETO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,2,5
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,8,4,12
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,1,5
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,12,6,18
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,28,5,33
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,16,0,16
MALLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,2,2
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,18,21,39
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,1,15
MINEROS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,59,21,80
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,43,28,71
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,9,13,22
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,2,2
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,6,8
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,35,6,41
MONTERO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,245,11,256
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,0,5
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,8,19,27
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,0,5
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,0,3
OCURI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,15,29
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,30,6,36
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,9,14
ORURO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,544,5,549
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,23,7,30
PADILLA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,9,5,14
PAILON,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,47,20,67
PALCA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,21,7,28
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,40,5,45
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,2,5
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,15,1,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,7,2,9
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,1,3
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,29,2,31
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,11,2,13
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,7,5,12
POCOATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,10,49,59
POCONA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,9,14
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,17,10,27
POOPO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,2,8
PORCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,18,3,21
POROMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,10,11,21
PORONGO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,22,5,27
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,35,2,37
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,3,8
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,0,3
POTOSI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,415,18,433
PRESTO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,10,14
PUCARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,35,14,49
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,19,24
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,7,8,15
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,9,3,12
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,8,13
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,33,3,36
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,1,15
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,3,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,45,6,51
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,119,14,133
PUNA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,15,16,31
PUNATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,56,0,56
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,2,5
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,216,32,248
QUIME,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,10,3,13
RAVELO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,9,26,35
REYES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,21,14,35
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,208,52,260
ROBORE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,22,22,44
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,28,13,41
SABAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,2,4
SACABA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,230,37,267
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,3,3
SACACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,35,15,50
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,1,7
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,9,7,16
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,3,6
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,0,5
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,1,15
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,1,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,1,6
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,11,6,17
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,11,1,12
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,75,27,102
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,3,17
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,38,5,43
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,28,29,57
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,32,5,37
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,4,6,10
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,34,5,39
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,16,5,21
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,4,9
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,14,1,15
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,72,35,107
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,10,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,27,8,35
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,27,19,46
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,16,1,17
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,2,7
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,25,0,25
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,38,43,81
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,6,8
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,5,11
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,10,0,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,8,11
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,17,0,17
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,24,25,49
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2655,76,2731
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,17,9,26
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,30,2,32
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,1,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,8,9,17
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,7,7,14
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,3,9
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,8,0,8
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,3,5
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,8,2,10
SENA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,5,3,8
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,49,7,56
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,24,10,34
SICAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,1,7
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,75,2,77
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,8,11
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,10,10,20
SORATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,10,31,41
SUCRE,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,501,16,517
TACACHI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,15,0,15
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,7,10,17
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,6,7,13
TAHUA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,0,3,3
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,40,24,64
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,17,16,33
TARACO,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,2,2,4
TARATA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,8,3,11
TARIJA,vacunaciones en menores de 1 ano,pentavalente 3ra. dosis,2013-07-01,344,21,365
