,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,26,36,62
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
CUEVO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,6,8
CULPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,29,13,42
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,5,6
CURVA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,0,3,3
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,10,0,10
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1479,75,1554
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,9,11
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,3,11
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,10,5,15
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,87,1,88
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,2,10
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,22,23,45
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,55,1,56
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,1,5
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,0,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,7,8
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,22,7,29
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,9,17
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,24,1,25
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,11,17
GUANAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,16,9,25
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,9,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,101,32,133
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,17,5,22
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,14,3,17
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,10,11
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,39,13,52
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,9,0,9
HUARINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,2,6
HUATAJATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,1,4
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,5,6,11
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,1,4
ICLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,11,13
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,7,10,17
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,8,11
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,16,24
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,9,20
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,12,1,13
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,5,16
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,70,16,86
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,158,0,158
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1182,82,1264
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,9,3,12
LAJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,20,12,32
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,0,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,5,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,58,42,100
LLICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,3,6
LORETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,8,12
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,5,7,12
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,3,11
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,6,17
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,33,6,39
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,26,2,28
MALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,5,6
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,20,3,23
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,9,17
MINEROS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,56,2,58
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,37,17,54
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,16,13,29
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,0,2,2
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,7,13
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,39,3,42
MONTERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,254,1,255
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,1,4
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,0,11,11
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,11,13
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,2,3
OCURI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,16,19,35
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,19,4,23
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,4,8
ORURO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,517,0,517
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,18,5,23
PADILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,7,5,12
PAILON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,34,42,76
PALCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,22,3,25
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,37,7,44
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,2,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,1,12
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,3,4
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,30,8,38
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,7,3,10
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,3,7
POCOATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,41,52
POCONA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,14,25
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,14,7,21
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,4,10
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,15,1,16
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,21,11,32
PORONGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,2,8
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,45,1,46
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,1,5
POTOSI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,425,22,447
PRESTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,12,15
PUCARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,30,19,49
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,12,16
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,16,27
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,3,5
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,2,8
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,28,2,30
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,3,11
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,3,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,35,11,46
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,99,13,112
PUNA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,22,21,43
PUNATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,39,1,40
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,4,12
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,228,8,236
QUIME,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,4,15
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
RAVELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,27,35
REYES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,25,2,27
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,245,39,284
ROBORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,26,6,32
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,33,10,43
SABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,1,3
SACABA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,223,14,237
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,2,6
SACACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,36,11,47
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,7,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,9,13
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,7,1,8
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,15,10,25
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,1,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,1,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,7,5,12
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,10,2,12
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,79,18,97
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,12,7,19
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,34,5,39
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,38,18,56
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,92,15,107
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,7,0,7
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,17,7,24
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,2,13
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,44,8,52
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,1,12
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,79,30,109
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,14,20
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,20,8,28
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,29,23,52
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,12,12,24
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,20,2,22
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,5,1,6
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,25,2,27
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,19,59,78
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,5,11
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,2,5
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,0,4,4
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,13,3,16
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,12,13
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,29,0,29
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,31,9,40
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2538,110,2648
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,21,4,25
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,31,5,36
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,5,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,4,12
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,5,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,7,0,7
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,15,0,15
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,1,2
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,7,2,9
SENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,1,4
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,39,5,44
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,16,17,33
SICAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,2,4
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,43,0,43
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,7,3,10
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,7,18
SORATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,25,36
SUCRE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,523,18,541
TACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,3,4
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,14,1,15
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,9,20
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,3,14
TAHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,0,3
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,22,28,50
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,14,16,30
TARACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,1,3
TARATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,3,11
TARIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,349,27,376
TARVITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,8,16
TEOPONTE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,21,3,24
TIAWANACU,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,16,9,25
TINGUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,28,22,50
TIPUANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,14,4,18
TIQUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,90,26,116
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,27,6,33
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,0,1
TOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,5,9
TODOS SANTOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
TOLATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,5,13
TOLEDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,5,1,6
TOMAVE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,7,14,21
TOMINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,9,13
TORO TORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,11,15,26
TOTORA(CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,26,9,35
TOTORA(ORR),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,9,3,12
TRIGAL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,227,46,273
TUPIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,57,20,77
TURCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
UMALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,3,6
UNCIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,23,18,41
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,17,10,27
URUBICHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,9,2,11
UYUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,46,5,51
VACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,3,8,11
VALLEGRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,21,3,24
VIACHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,86,21,107
VILA VILA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,4,5
VILLA CHARCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,17,15,32
VILLA MONTES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,66,15,81
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,0,11,11
VILLA RIVERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,13,3,16
VILLA SERRANO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,3,9
VILLA TUNARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,151,24,175
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,18,7,25
VILLAZON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,64,7,71
VINTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,90,0,90
VITICHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,1,5
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,2,0,2
WARNES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,147,32,179
YACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,12,13
YACUIBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,169,40,209
YAMPARAEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,9,5,14
YANACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,4,1,5
YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,98,10,108
YOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,6,4,10
YOTALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,8,3,11
YUNCHARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,1,3,4
ZUDAÑEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-06-01,5,5,10
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,2,1,3
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,52,21,73
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,11,8,19
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,33,14,47
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,2,1,3
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,2,1,3
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,19,2,21
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,12,9,21
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,2,0,2
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,6,0,6
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,3,11,14
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,25,18,43
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,2,7,9
ARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,17,1,18
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,15,14,29
ARQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,9,4,13
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,65,0,65
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,26,9,35
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,3,7,10
AYATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,8,4,12
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,8,2,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,22,29,51
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,11,6,17
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,15,11,26
BAURES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,10,0,10
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,0,3,3
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,0,6,6
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-07-01,31,30,61
