,group,variable,month,14.1 DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,14.1 DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
CARANAVI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,4.0,3.0,7.0
CHALLAPATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,4.0,5.0,9.0
CHARAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,0.0,2.0,2.0
CLIZA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,2.0,3.0
COBIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,25.0,27.0,52.0
COCHABAMBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,37.0,30.0,67.0
COLCAPIRHUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,0.0,2.0
COMARAPA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,0.0,1.0
CONCEPCION,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,0.0,2.0
COTOCA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,8.0,8.0,16.0
EL ALTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,89.0,60.0,149.0
EL TORNO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,9.0,4.0,13.0
ENTRE RIOS TRJ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,21.0,14.0,35.0
GUAYARAMERIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,9.0,9.0,18.0
HUANUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,2.0,3.0
LA GUARDIA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,8.0,6.0,14.0
LA PAZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,65.0,47.0,112.0
LAGUNILLAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,0.0,1.0
LLALLAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,7.0,2.0,9.0
LORETO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,3.0,2.0,5.0
MAGDALENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,3.0,3.0,6.0
MONTEAGUDO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,1.0,2.0
MONTERO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,67.0,39.0,106.0
ORURO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,7.0,12.0,19.0
PAILON,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,0.0,1.0,1.0
PALOS BLANCOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,1.0,3.0
PORTACHUELO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,3.0,7.0,10.0
POTOSI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,14.0,14.0,28.0
PUERTO QUIJARRO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,3.0,4.0
PUERTO RICO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,0.0,1.0,1.0
PUERTO VILLARROEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,9.0,3.0,12.0
PUNATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,5.0,2.0,7.0
QUILLACOLLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,77.0,47.0,124.0
RIBERALTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,21.0,24.0,45.0
ROBORE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,0.0,2.0,2.0
RURRENABAQUE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,1.0,3.0
SACABA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,5.0,3.0,8.0
SAN ANTONIO DE LOMERIO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,1.0,2.0
SAN BORJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,4.0,6.0
SAN BUENA VENTURA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,0.0,1.0
SAN CARLOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,4.0,8.0,12.0
SAN IGNACIO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,8.0,6.0,14.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,3.0,0.0,3.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,0.0,1.0,1.0
SAN JULIAN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,46.0,38.0,84.0
SAN LUCAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,2.0,4.0
SAN MATIAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,0.0,1.0,1.0
SAN RAFAEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,1.0,0.0,1.0
SANTA ANA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,10.0,5.0,15.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,206.0,185.0,391.0
SENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,5.0,3.0,8.0
SHINAOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,11.0,17.0,28.0
SOPACHUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,0.0,1.0,1.0
TARABUCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,0.0,2.0
TARIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,19.0,19.0,38.0
TIQUIPAYA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,3.0,6.0,9.0
TRINIDAD,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,51.0,42.0,93.0
UYUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,3.0,0.0,3.0
VALLEGRANDE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,3.0,11.0,14.0
VIACHA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,3.0,5.0
VILLA MONTES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,2.0,8.0,10.0
VILLA TUNARI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,8.0,11.0,19.0
VINTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,3.0,8.0,11.0
WARNES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,12.0,8.0,20.0
YACUIBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,39.0,21.0,60.0
YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-08-01,11.0,9.0,20.0
AIQUILE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,0.0,1.0,1.0
ATOCHA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,3.0,4.0
AYO AYO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,7.0,8.0,15.0
AZURDUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,5.0,10.0,15.0
BAURES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,0.0,1.0,1.0
BERMEJO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,3.0,3.0,6.0
BOYUIBE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,1.0,2.0
CAIROMA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,4.0,4.0,8.0
CAMARGO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,17.0,10.0,27.0
CAMIRI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,8.0,6.0,14.0
CAPINOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,1.0,2.0
CARANAVI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,0.0,3.0,3.0
CHALLAPATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,0.0,1.0,1.0
CHARAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,6.0,5.0,11.0
COBIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,17.0,20.0,37.0
COCHABAMBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,43.0,34.0,77.0
COLCAPIRHUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,0.0,1.0
CONCEPCION,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,1.0,2.0
COTOCA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,7.0,4.0,11.0
EL ALTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,78.0,71.0,149.0
EL TORNO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,7.0,7.0,14.0
FILADELFIA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,8.0,9.0,17.0
GUAYARAMERIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,18.0,14.0,32.0
HUACHACALLA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,0.0,1.0
HUANUNI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,2.0,3.0,5.0
LA GUARDIA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,8.0,2.0,10.0
LA PAZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,34.0,26.0,60.0
LLALLAGUA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,2.0,2.0,4.0
MAGDALENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,2.0,3.0,5.0
MONTEAGUDO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,0.0,1.0
MONTERO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,39.0,19.0,58.0
NACEBE (SANTA ROSA DEL ABUNA),diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,4.0,3.0,7.0
ORURO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,12.0,9.0,21.0
PAILON,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,2.0,3.0
POROMA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,0.0,1.0
PORTACHUELO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,2.0,3.0,5.0
POTOSI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,9.0,12.0,21.0
PUERTO SUAREZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,3.0,5.0,8.0
PUERTO VILLARROEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,1.0,2.0
PUNATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,2.0,0.0,2.0
QUILLACOLLO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,26.0,26.0,52.0
RIBERALTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,72.0,55.0,127.0
ROBORE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,0.0,1.0
RURRENABAQUE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,2.0,1.0,3.0
SACABA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,7.0,3.0,10.0
SAN ANDRES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,0.0,2.0,2.0
SAN BORJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,3.0,5.0,8.0
SAN CARLOS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,7.0,1.0,8.0
SAN IGNACIO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,6.0,7.0,13.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,2.0,1.0,3.0
SAN JOAQUIN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,0.0,2.0,2.0
SAN JULIAN,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,23.0,16.0,39.0
SAN MATIAS,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,2.0,1.0,3.0
SAN RAFAEL,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,2.0,2.0,4.0
SAN RAMON SCZ,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,0.0,1.0,1.0
SANTA ANA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,10.0,3.0,13.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,131.0,145.0,276.0
SENA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,9.0,17.0,26.0
SHINAOTA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,5.0,2.0,7.0
SOPACHUY,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,1.0,0.0,1.0
SORATA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,6.0,4.0,10.0
TARIJA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,14.0,19.0,33.0
TIQUIPAYA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,6.0,4.0,10.0
TRINIDAD,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,55.0,39.0,94.0
VALLEGRANDE,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,7.0,0.0,7.0
VILLA MONTES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,4.0,3.0,7.0
VILLA NUEVA (LOMA ALTA),diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,7.0,5.0,12.0
VILLA TUNARI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,7.0,8.0,15.0
VINTO,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,3.0,6.0,9.0
WARNES,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,9.0,5.0,14.0
YACUIBA,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,29.0,79.0,108.0
YAPACANI,diagnostico de egreso,      diarreas en menores de 5 anos,2014-09-01,10.0,5.0,15.0
