,group,variable,month,14.2 NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,14.2 NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SAN RAFAEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,1.0,2.0
SAN RAMON SCZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,0.0,1.0,1.0
SANTA ANA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,246.0,187.0,433.0
SENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,2.0,1.0,3.0
SHINAOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,5.0,2.0,7.0
SICA SICA (VILLA AROMA),diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,0.0,1.0
TARABUCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,2.0,0.0,2.0
TARIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,5.0,11.0,16.0
TRINIDAD,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,26.0,22.0,48.0
UYUNI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,1.0,1.0,2.0
VALLEGRANDE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,0.0,1.0,1.0
VILLA MONTES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,3.0,3.0,6.0
VILLA TUNARI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,5.0,5.0,10.0
VINTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,2.0,3.0,5.0
WARNES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,4.0,1.0,5.0
YACUIBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,23.0,25.0,48.0
YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-08-01,11.0,17.0,28.0
AIQUILE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,0.0,1.0,1.0
ASCENCION DE GUARAYOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,8.0,7.0,15.0
ATOCHA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,3.0,4.0,7.0
AZURDUY,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,24.0,22.0,46.0
BERMEJO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,3.0,5.0
CAMARGO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,3.0,5.0
CAMIRI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,6.0,6.0,12.0
CAPINOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,0.0,1.0
CARANAVI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,0.0,1.0,1.0
CHALLAPATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,0.0,4.0,4.0
CHARAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,2.0,4.0
COBIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,9.0,10.0,19.0
COCHABAMBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,28.0,16.0,44.0
CONCEPCION,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,0.0,1.0
COTOCA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,2.0,4.0
CUATRO CAÑADAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,0.0,2.0
EL ALTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,111.0,90.0,201.0
EL TORNO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,6.0,3.0,9.0
ENTRE RIOS TRJ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,0.0,3.0,3.0
GUAYARAMERIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,4.0,3.0,7.0
HUANUNI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,0.0,1.0
LA GUARDIA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,2.0,4.0
LA PAZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,69.0,35.0,104.0
LLALLAGUA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,5.0,4.0,9.0
MAGDALENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,0.0,1.0
MONTEAGUDO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,3.0,3.0,6.0
MONTERO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,15.0,17.0,32.0
ORURO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,13.0,7.0,20.0
PAILON,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,6.0,7.0
POROMA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,6.0,7.0
PORTACHUELO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,0.0,2.0,2.0
POTOSI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,18.0,12.0,30.0
PUERTO SUAREZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,3.0,4.0,7.0
PUERTO VILLARROEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,6.0,4.0,10.0
PUNATA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,3.0,5.0,8.0
QUILLACOLLO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,13.0,10.0,23.0
RIBERALTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,16.0,7.0,23.0
ROBORE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,4.0,6.0
RURRENABAQUE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,2.0,3.0
SACABA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,4.0,4.0,8.0
SAN BORJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,0.0,1.0,1.0
SAN CARLOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,7.0,7.0,14.0
SAN IGNACIO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,3.0,2.0,5.0
SAN IGNACIO DE VELASCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,11.0,12.0,23.0
SAN JOAQUIN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,0.0,2.0
SAN JOSE DE CHIQUITOS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,1.0,2.0
SAN JULIAN,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,0.0,2.0
SAN LUCAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,0.0,1.0
SAN MATIAS,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,0.0,1.0
SAN RAFAEL,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,2.0,3.0
SAN RAMON SCZ,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,1.0,3.0
SANTA ANA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,2.0,3.0
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,193.0,188.0,381.0
SENA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,0.0,5.0,5.0
SHINAOTA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,8.0,3.0,11.0
SOPACHUY,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,0.0,1.0
TARABUCO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,3.0,4.0
TARIJA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,10.0,17.0,27.0
TIQUIPAYA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,6.0,1.0,7.0
TRINIDAD,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,21.0,15.0,36.0
UYUNI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,0.0,1.0,1.0
VALLEGRANDE,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,2.0,0.0,2.0
VILLA TUNARI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,3.0,2.0,5.0
VINTO,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,1.0,0.0,1.0
WARNES,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,3.0,1.0,4.0
YACUIBA,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,36.0,26.0,62.0
YAPACANI,diagnostico de egreso,      neumonias en menores de 5 anos,2014-09-01,8.0,4.0,12.0
