,group,variable,month,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,5,4,3,2,14
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,2,6,8,16
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
COMARAPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,4,1,0,6
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,4,2,1,0,7
COPACABANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,1,1,3
CORIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,8,3,0,0,11
CORO CORO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,0,0,2
COROICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,7,2,4,2,15
CORQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,0,0,2
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,17,17,0,0,34
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,5,1,0,2,8
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,3,2,5
CULPINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,1,1,2
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,80,92,58,66,296
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,5,4,0,0,9
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,2,0,4
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,8,3,0,2,13
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,2,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,2,0,0,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,3,4,7
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,3,1,5
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,2,3,1,6
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,8,2,0,0,10
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,1,1,4,8
GUANAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,5,1,0,7
GUAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,4,0,1,7
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,1,3,6
HUACARETA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,1,1,2
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,0,4,4,10
HUARINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,0,0,0,2
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
ICHOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
ICLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,1,0,1
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,0,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,2,0,0,4
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,4,1,0,8
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,0,1,0,3
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,4,4,1,4,13
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,22,18,6,6,52
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,114,100,17,18,249
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,2,3,6
LAJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,2,0,0,4
LICOMA PAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,7,5,9,6,27
LLICA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
LORETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,2,1,3
LURIBAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,0,0,2
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
MAIRANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,2,0,0,4
MALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,1,2
MAPIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,6,5,6,2,19
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,2,0,0,4
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,3,2,1,9
MIZQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,4,6,4,17
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,0,1,1
MOJOCOYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,0,1,3
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,2,0,2,6
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,21,21,1,1,44
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,2,2,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,1,2
NAZACARA DE PACAJES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,2,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,0,0,2
OCURI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,2,2,4
OKINAWA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,2,0,0,2
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,30,33,4,6,73
PADCAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,1,0,0,3
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,5,8,13,20,46
PALCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,4,3,3,3,13
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,6,6,0,1,13
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,1,1,3
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,0,1,1
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,9,3,12
PAZÑA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,2,0,3
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,1,3,5
POCOATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,2,2,4
POCONA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,2,3,6
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,2,0,0,3
POOPO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,1,1,2,6
PORCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
POROMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,2,3,6
PORONGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,5,1,2,10
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,2,0,0,4
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,35,38,22,9,104
PRESTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,2,0,3
PUCARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,1,2,5
PUERTO ACOSTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,3,1,5
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,3,1,4
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,1,0,0,4
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,1,0,2,5
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,2,0,0,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,14,11,10,4,39
PUNA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,6,7,1,2,16
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,13,7,16,12,48
QUIME,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,0,0,0,2
QUIRUSILLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
RAVELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,1,2
REYES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,6,1,1,1,9
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,14,21,4,3,42
ROBORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,2,0,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,4,0,0,7
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,23,13,12,11,59
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,2,3
SACACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,5,2,9
SAIPINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,0,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,2,0,3
SAMAIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,0,0,0,3
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,3,4,2,9
SAN ANDRES DE MACHACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,1,0,1
SAN BENITO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,2,0,3
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,13,6,18,13,50
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,3,2,0,6
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,7,3,0,1,11
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,7,6,4,2,19
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,22,10,4,6,42
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,1,2,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,4,2,0,0,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,6,29,14,50
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,0,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,11,13,6,8,38
SAN LORENZO(PND),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,2,0,3,6
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
SAN LUCAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,4,2,8,2,16
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,8,4,2,4,18
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,2,1,8,12
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,5,1,5,7,18
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,0,0,0,2
SAN PEDRO DE QUEMES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,7,3,18,21,49
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,393,391,46,35,865
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,7,3,10
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,3,1,4
SANTIVAÑES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,3,1,6
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,3,1,2,7
SAPAHAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,0,0,2
SENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,1,0,2
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,4,7,5,3,19
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,2,2,1,7
SICAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,9,8,7,10,34
SORACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,2,1,2,8
SORATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,2,0,4,8
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,67,55,35,46,203
TACACOMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
TACOBAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,0,1,1
TACOPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,1,3,4
TAPACARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,1,0,1,5
TARABUCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,2,0,2,4
TARATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,6,1,8
TARIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,16,13,20,15,64
TARVITA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,1,1,3
TEOPONTE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,4,5,1,2,12
TINGUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,1,1,2
TIPUANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,9,7,7,19,42
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,8,7,4,22
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,6,4,7,19
TOCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,0,0,0,3
TOLATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,4,3,7
TOMAVE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,4,0,2,6
TOTORA(CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,4,0,6
TOTORA(ORR),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,2,0,0,3
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,21,33,31,27,112
TUPIZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,4,0,1,7
UMALA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,1,1,4
UNCIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,2,0,1,4
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,0,1,2
URUBICHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,4,2,10,11,27
VACAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,0,1,0,2
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,1,1,0,5
VIACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,3,6,0,1,10
VILA VILA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,1,0,0,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,1,1,0,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,6,3,2,1,12
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,2,0,2
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,2,0,0,2
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,0,3,3
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,25,31,5,8,69
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,0,0,0,1,1
VILLAZON,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,6,3,0,1,10
VINTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,6,1,4,2,13
VITICHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-06-01,2,4,0,4,10
