,group,variable,month,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
CHOQUE COTA,estado nutricional,total talla normal,2014-06-01,8,9,5,6,16,7,29,22,51
CHUA COCANI,estado nutricional,total talla normal,2014-06-01,14,16,10,10,10,11,34,37,71
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla normal,2014-06-01,6,8,12,14,10,10,28,32,60
CHUMA,estado nutricional,total talla normal,2014-06-01,66,74,54,51,58,51,178,176,354
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla normal,2014-06-01,70,63,36,25,37,32,143,120,263
CKOCHAS,estado nutricional,total talla normal,2014-06-01,109,147,120,113,101,102,330,362,692
CLIZA,estado nutricional,total talla normal,2014-06-01,226,189,138,110,160,130,524,429,953
COBIJA,estado nutricional,total talla normal,2014-06-01,630,547,363,335,276,309,1269,1191,2460
COCAPATA,estado nutricional,total talla normal,2014-06-01,174,181,119,122,125,121,418,424,842
COCHABAMBA,estado nutricional,total talla normal,2014-06-01,3927,3550,2634,2313,2428,2261,8989,8124,17113
COIPASA,estado nutricional,total talla normal,2014-06-01,5,6,6,5,5,1,16,12,28
COLCAPIRHUA,estado nutricional,total talla normal,2014-06-01,359,246,188,172,221,198,768,616,1384
"COLCHA ""K""",estado nutricional,total talla normal,2014-06-01,107,95,90,96,87,111,284,302,586
COLLANA,estado nutricional,total talla normal,2014-06-01,16,20,13,7,12,23,41,50,91
COLOMI,estado nutricional,total talla normal,2014-06-01,189,180,146,124,95,85,430,389,819
COLPA BELGICA,estado nutricional,total talla normal,2014-06-01,6,4,0,1,0,1,6,6,12
COLQUECHACA,estado nutricional,total talla normal,2014-06-01,272,268,179,192,117,116,568,576,1144
COLQUENCHA,estado nutricional,total talla normal,2014-06-01,48,58,48,56,33,30,129,144,273
COLQUIRI,estado nutricional,total talla normal,2014-06-01,101,132,82,81,53,59,236,272,508
COMANCHE,estado nutricional,total talla normal,2014-06-01,13,16,19,10,4,8,36,34,70
COMARAPA,estado nutricional,total talla normal,2014-06-01,142,146,104,102,75,65,321,313,634
COMBAYA,estado nutricional,total talla normal,2014-06-01,30,23,18,20,12,17,60,60,120
CONCEPCION,estado nutricional,total talla normal,2014-06-01,151,148,63,77,94,82,308,307,615
COPACABANA,estado nutricional,total talla normal,2014-06-01,69,79,56,47,79,68,204,194,398
CORIPATA,estado nutricional,total talla normal,2014-06-01,40,41,23,18,23,15,86,74,160
CORO CORO,estado nutricional,total talla normal,2014-06-01,59,52,36,39,32,44,127,135,262
COROICO,estado nutricional,total talla normal,2014-06-01,97,84,85,85,91,67,273,236,509
CORQUE,estado nutricional,total talla normal,2014-06-01,79,72,42,47,56,49,177,168,345
COTAGAITA,estado nutricional,total talla normal,2014-06-01,138,161,117,118,151,157,406,436,842
COTOCA,estado nutricional,total talla normal,2014-06-01,418,398,286,242,215,190,919,830,1749
CRUZ DE MACHACAMARCA,estado nutricional,total talla normal,2014-06-01,1,0,0,4,1,2,2,6,8
CUATRO CAÑADAS,estado nutricional,total talla normal,2014-06-01,164,182,125,157,226,168,515,507,1022
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla normal,2014-06-01,10,8,3,8,12,5,25,21,46
CUEVO,estado nutricional,total talla normal,2014-06-01,29,31,17,19,30,37,76,87,163
CULPINA,estado nutricional,total talla normal,2014-06-01,123,126,128,112,148,184,399,422,821
CURAHUARA DE CARANGAS,estado nutricional,total talla normal,2014-06-01,70,55,28,41,52,36,150,132,282
CURVA,estado nutricional,total talla normal,2014-06-01,32,27,19,25,18,37,69,89,158
DESAGUADERO,estado nutricional,total talla normal,2014-06-01,38,42,35,33,40,30,113,105,218
EL ALTO,estado nutricional,total talla normal,2014-06-01,5654,5291,4106,3755,4766,4412,14526,13458,27984
EL CHORO,estado nutricional,total talla normal,2014-06-01,58,50,43,37,70,63,171,150,321
EL PUENTE(STC),estado nutricional,total talla normal,2014-06-01,86,81,86,86,69,40,241,207,448
EL PUENTE(TJA),estado nutricional,total talla normal,2014-06-01,76,75,88,83,95,97,259,255,514
EL TORNO,estado nutricional,total talla normal,2014-06-01,395,378,274,238,238,241,907,857,1764
ENTRE RIOS TRJ,estado nutricional,total talla normal,2014-06-01,183,177,183,195,187,186,553,558,1111
ENTRE RIOS CBBA,estado nutricional,total talla normal,2014-06-01,442,414,338,267,285,274,1065,955,2020
ESCARA,estado nutricional,total talla normal,2014-06-01,2,9,0,4,4,6,6,19,25
ESCOMA,estado nutricional,total talla normal,2014-06-01,20,27,28,26,37,36,85,89,174
ESMERALDA,estado nutricional,total talla normal,2014-06-01,4,4,3,3,1,3,8,10,18
EUCALIPTUS,estado nutricional,total talla normal,2014-06-01,58,62,91,81,68,57,217,200,417
EUREKA (SANTOS MERCADO),estado nutricional,total talla normal,2014-06-01,12,10,10,13,26,12,48,35,83
EXALTACION,estado nutricional,total talla normal,2014-06-01,26,18,16,12,13,14,55,44,99
FERNANDEZ ALONSO,estado nutricional,total talla normal,2014-06-01,118,129,116,95,166,169,400,393,793
FILADELFIA,estado nutricional,total talla normal,2014-06-01,58,59,52,50,57,50,167,159,326
GENERAL SAAVEDRA,estado nutricional,total talla normal,2014-06-01,164,115,100,108,123,81,387,304,691
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla normal,2014-06-01,75,68,51,43,26,40,152,151,303
GUANAY,estado nutricional,total talla normal,2014-06-01,125,131,106,106,110,115,341,352,693
GUAQUI,estado nutricional,total talla normal,2014-06-01,36,47,44,37,28,26,108,110,218
GUAYARAMERIN,estado nutricional,total talla normal,2014-06-01,562,522,404,400,365,383,1331,1305,2636
GUTIERREZ,estado nutricional,total talla normal,2014-06-01,113,113,114,118,114,149,341,380,721
HUACARETA,estado nutricional,total talla normal,2014-06-01,74,59,54,57,89,105,217,221,438
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla normal,2014-06-01,27,23,25,29,43,45,95,97,192
HUACHACALLA,estado nutricional,total talla normal,2014-06-01,17,15,11,11,19,14,47,40,87
HUANUNI,estado nutricional,total talla normal,2014-06-01,169,225,138,118,153,139,460,482,942
HUARACAJE,estado nutricional,total talla normal,2014-06-01,29,35,24,26,31,28,84,89,173
HUARINA,estado nutricional,total talla normal,2014-06-01,31,26,24,25,25,30,80,81,161
HUATAJATA,estado nutricional,total talla normal,2014-06-01,21,27,10,16,21,19,52,62,114
HUAYLLAMARCA,estado nutricional,total talla normal,2014-06-01,40,33,25,22,40,29,105,84,189
HUMANATA,estado nutricional,total talla normal,2014-06-01,11,15,15,10,18,9,44,34,78
ICHOCA,estado nutricional,total talla normal,2014-06-01,18,27,23,13,19,14,60,54,114
ICLA,estado nutricional,total talla normal,2014-06-01,51,55,49,50,90,114,190,219,409
INGAVI (HUMAITA),estado nutricional,total talla normal,2014-06-01,22,24,17,35,39,43,78,102,180
INQUISIVI,estado nutricional,total talla normal,2014-06-01,64,77,77,71,60,73,201,221,422
IRUPANA (VILLA DE LANZA),estado nutricional,total talla normal,2014-06-01,14,17,19,12,5,7,38,36,74
IXIAMAS,estado nutricional,total talla normal,2014-06-01,104,95,78,72,97,85,279,252,531
JESUS DE MACHACA,estado nutricional,total talla normal,2014-06-01,104,89,60,69,71,66,235,224,459
LA ASUNTA,estado nutricional,total talla normal,2014-06-01,45,27,40,38,41,25,126,90,216
LA GUARDIA,estado nutricional,total talla normal,2014-06-01,592,550,326,338,205,216,1123,1104,2227
LA PAZ,estado nutricional,total talla normal,2014-06-01,4809,4609,3132,2865,3712,3427,11653,10901,22554
LA RIVERA,estado nutricional,total talla normal,2014-06-01,3,1,1,2,2,3,6,6,12
LAGUNILLAS,estado nutricional,total talla normal,2014-06-01,64,49,46,59,431,100,541,208,749
LAJA,estado nutricional,total talla normal,2014-06-01,143,129,106,94,85,65,334,288,622
LAS CARRERAS,estado nutricional,total talla normal,2014-06-01,18,26,20,18,42,40,80,84,164
LICOMA PAMPA,estado nutricional,total talla normal,2014-06-01,17,23,18,15,23,9,58,47,105
LLALLAGUA,estado nutricional,total talla normal,2014-06-01,377,367,279,301,315,368,971,1036,2007
LLICA,estado nutricional,total talla normal,2014-06-01,24,29,28,22,15,21,67,72,139
LORETO,estado nutricional,total talla normal,2014-06-01,23,28,19,17,40,51,82,96,178
LURIBAY,estado nutricional,total talla normal,2014-06-01,39,64,54,44,45,37,138,145,283
MACHACAMARCA,estado nutricional,total talla normal,2014-06-01,29,30,32,33,34,33,95,96,191
MACHARETI,estado nutricional,total talla normal,2014-06-01,62,63,44,67,120,93,226,223,449
MAGDALENA,estado nutricional,total talla normal,2014-06-01,91,91,85,81,91,66,267,238,505
MAIRANA,estado nutricional,total talla normal,2014-06-01,0,4,0,1,0,0,0,5,5
MALLA,estado nutricional,total talla normal,2014-06-01,14,19,13,9,19,14,46,42,88
MAPIRI,estado nutricional,total talla normal,2014-06-01,99,117,102,93,120,107,321,317,638
MECAPACA,estado nutricional,total talla normal,2014-06-01,109,73,78,88,90,78,277,239,516
MINEROS,estado nutricional,total talla normal,2014-06-01,179,176,156,133,141,151,476,460,936
MIZQUE,estado nutricional,total talla normal,2014-06-01,339,329,263,138,223,216,825,683,1508
MOCOMOCO,estado nutricional,total talla normal,2014-06-01,84,73,66,77,59,67,209,217,426
MOJINETE,estado nutricional,total talla normal,2014-06-01,3,8,4,5,2,7,9,20,29
MOJOCOYA,estado nutricional,total talla normal,2014-06-01,60,43,38,41,76,100,174,184,358
MONTEAGUDO,estado nutricional,total talla normal,2014-06-01,210,192,194,177,237,209,641,578,1219
MONTERO,estado nutricional,total talla normal,2014-06-01,1173,1113,837,806,675,731,2685,2650,5335
MORO MORO,estado nutricional,total talla normal,2014-06-01,19,14,17,17,14,17,50,48,98
MOROCHATA,estado nutricional,total talla normal,2014-06-01,101,85,49,61,104,112,254,258,512
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla normal,2014-06-01,21,20,20,20,24,24,65,64,129
NAZACARA DE PACAJES,estado nutricional,total talla normal,2014-06-01,7,5,1,4,10,1,18,10,28
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,total talla normal,2014-06-01,26,14,27,7,31,32,84,53,137
OCURI,estado nutricional,total talla normal,2014-06-01,117,129,63,83,77,79,257,291,548
OKINAWA,estado nutricional,total talla normal,2014-06-01,167,111,106,100,130,132,403,343,746
OMEREQUE,estado nutricional,total talla normal,2014-06-01,75,83,60,63,55,67,190,213,403
ORURO,estado nutricional,total talla normal,2014-06-01,2073,2025,1461,1521,1002,938,4536,4484,9020
PADCAYA,estado nutricional,total talla normal,2014-06-01,145,142,135,121,138,135,418,398,816
PAILON,estado nutricional,total talla normal,2014-06-01,195,193,153,131,149,134,497,458,955
PALCA,estado nutricional,total talla normal,2014-06-01,165,138,104,101,91,100,360,339,699
PALOS BLANCOS,estado nutricional,total talla normal,2014-06-01,265,267,190,192,269,266,724,725,1449
PAMPA AULLAGAS,estado nutricional,total talla normal,2014-06-01,17,22,18,12,25,15,60,49,109
PAMPA GRANDE,estado nutricional,total talla normal,2014-06-01,2,5,0,1,4,0,6,6,12
PAPEL PAMPA,estado nutricional,total talla normal,2014-06-01,43,36,31,42,57,47,131,125,256
PASORAPA,estado nutricional,total talla normal,2014-06-01,37,17,27,19,38,35,102,71,173
PATACAMAYA,estado nutricional,total talla normal,2014-06-01,138,177,92,106,90,79,320,362,682
PAZÑA,estado nutricional,total talla normal,2014-06-01,53,60,45,53,86,67,184,180,364
PELECHUCO,estado nutricional,total talla normal,2014-06-01,64,52,67,35,51,59,182,146,328
POCOATA,estado nutricional,total talla normal,2014-06-01,186,184,120,152,143,166,449,502,951
POCONA,estado nutricional,total talla normal,2014-06-01,119,143,87,83,112,107,318,333,651
POJO (CBBA),estado nutricional,total talla normal,2014-06-01,135,114,120,107,142,99,397,320,717
POOPO,estado nutricional,total talla normal,2014-06-01,41,38,25,39,17,24,83,101,184
PORCO,estado nutricional,total talla normal,2014-06-01,94,105,64,70,55,58,213,233,446
POROMA,estado nutricional,total talla normal,2014-06-01,120,104,90,112,188,177,398,393,791
PORONGO,estado nutricional,total talla normal,2014-06-01,60,58,52,33,59,74,171,165,336
PORTACHUELO,estado nutricional,total talla normal,2014-06-01,84,104,48,51,46,28,178,183,361
PORVENIR,estado nutricional,total talla normal,2014-06-01,64,52,42,45,41,58,147,155,302
POSTRER VALLE,estado nutricional,total talla normal,2014-06-01,11,11,9,10,8,14,28,35,63
POTOSI,estado nutricional,total talla normal,2014-06-01,1223,1264,826,891,553,648,2602,2803,5405
PRESTO,estado nutricional,total talla normal,2014-06-01,74,59,52,51,63,76,189,186,375
PUCARA,estado nutricional,total talla normal,2014-06-01,10,9,19,1,26,22,55,32,87
PUCARANI,estado nutricional,total talla normal,2014-06-01,211,204,166,164,109,122,486,490,976
PUERTO ACOSTA,estado nutricional,total talla normal,2014-06-01,56,57,55,66,31,40,142,163,305
PUERTO CARABUCO,estado nutricional,total talla normal,2014-06-01,92,84,63,80,76,66,231,230,461
PUERTO GONZALO MORENO,estado nutricional,total talla normal,2014-06-01,128,79,82,87,146,144,356,310,666
PUERTO PEREZ,estado nutricional,total talla normal,2014-06-01,37,32,38,47,42,31,117,110,227
PUERTO QUIJARRO,estado nutricional,total talla normal,2014-06-01,167,160,106,107,74,82,347,349,696
PUERTO RICO,estado nutricional,total talla normal,2014-06-01,60,80,52,53,44,60,156,193,349
PUERTO SILES,estado nutricional,total talla normal,2014-06-01,16,14,12,10,16,22,44,46,90
PUERTO SUAREZ,estado nutricional,total talla normal,2014-06-01,107,126,81,89,77,55,265,270,535
PUERTO VILLARROEL,estado nutricional,total talla normal,2014-06-01,754,656,470,385,441,457,1665,1498,3163
PUNA,estado nutricional,total talla normal,2014-06-01,153,147,154,139,172,144,479,430,909
PUNATA,estado nutricional,total talla normal,2014-06-01,305,298,186,196,209,244,700,738,1438
QUIABAYA,estado nutricional,total talla normal,2014-06-01,14,22,11,20,15,22,40,64,104
QUILLACOLLO,estado nutricional,total talla normal,2014-06-01,1742,1492,1228,1157,1450,1384,4420,4033,8453
QUIME,estado nutricional,total talla normal,2014-06-01,70,68,64,86,73,53,207,207,414
QUIRUSILLAS,estado nutricional,total talla normal,2014-06-01,3,0,1,2,0,1,4,3,7
RAVELO,estado nutricional,total talla normal,2014-06-01,90,81,66,67,103,138,259,286,545
REYES,estado nutricional,total talla normal,2014-06-01,116,104,80,81,102,109,298,294,592
RIBERALTA,estado nutricional,total talla normal,2014-06-01,1094,1011,739,796,753,737,2586,2544,5130
ROBORE,estado nutricional,total talla normal,2014-06-01,118,111,83,80,46,60,247,251,498
RURRENABAQUE,estado nutricional,total talla normal,2014-06-01,113,147,64,93,42,51,219,291,510
SABAYA,estado nutricional,total talla normal,2014-06-01,27,13,20,25,16,33,63,71,134
SACABA,estado nutricional,total talla normal,2014-06-01,1279,1226,902,857,755,671,2936,2754,5690
SACABAMBA,estado nutricional,total talla normal,2014-06-01,35,37,25,22,27,27,87,86,173
SACACA,estado nutricional,total talla normal,2014-06-01,62,70,65,53,40,53,167,176,343
SAIPINA,estado nutricional,total talla normal,2014-06-01,59,58,54,51,46,42,159,151,310
SALINAS DE GARCI MENDOZA,estado nutricional,total talla normal,2014-06-01,132,126,90,100,122,134,344,360,704
SAMAIPATA,estado nutricional,total talla normal,2014-06-01,1,1,0,0,0,0,1,1,2
SAN AGUSTIN,estado nutricional,total talla normal,2014-06-01,7,14,13,18,22,27,42,59,101
SAN ANDRES,estado nutricional,total talla normal,2014-06-01,70,62,61,47,108,114,239,223,462
SAN ANDRES DE MACHACA,estado nutricional,total talla normal,2014-06-01,20,30,27,13,13,19,60,62,122
SAN ANTONIO DE ESMORUCO,estado nutricional,total talla normal,2014-06-01,8,8,10,5,7,6,25,19,44
SAN ANTONIO DE LOMERIO,estado nutricional,total talla normal,2014-06-01,50,62,53,68,137,143,240,273,513
SAN BENITO,estado nutricional,total talla normal,2014-06-01,168,110,75,98,100,97,343,305,648
SAN BORJA,estado nutricional,total talla normal,2014-06-01,404,433,266,291,298,276,968,1000,1968
SAN BUENA VENTURA,estado nutricional,total talla normal,2014-06-01,92,104,61,83,59,72,212,259,471
SAN CARLOS,estado nutricional,total talla normal,2014-06-01,172,211,164,160,143,145,479,516,995
SAN IGNACIO,estado nutricional,total talla normal,2014-06-01,239,199,190,168,288,213,717,580,1297
SAN IGNACIO DE VELASCO,estado nutricional,total talla normal,2014-06-01,645,645,392,396,362,403,1399,1444,2843
SAN JAVIER(BNI),estado nutricional,total talla normal,2014-06-01,19,23,21,25,40,36,80,84,164
SAN JAVIER(STC),estado nutricional,total talla normal,2014-06-01,106,96,66,84,74,66,246,246,492
SAN JOAQUIN,estado nutricional,total talla normal,2014-06-01,45,33,32,26,38,29,115,88,203
SAN JOSE DE CHIQUITOS,estado nutricional,total talla normal,2014-06-01,104,131,63,98,62,82,229,311,540
SAN JUAN DE YAPACANI,estado nutricional,total talla normal,2014-06-01,67,55,52,43,39,30,158,128,286
SAN JULIAN,estado nutricional,total talla normal,2014-06-01,387,311,265,249,299,290,951,850,1801
SAN LORENZO(PND),estado nutricional,total talla normal,2014-06-01,58,47,39,48,47,69,144,164,308
SAN LORENZO(TJA),estado nutricional,total talla normal,2014-06-01,251,226,192,187,209,230,652,643,1295
SAN LUCAS,estado nutricional,total talla normal,2014-06-01,149,146,147,141,232,250,528,537,1065
SAN MATIAS,estado nutricional,total talla normal,2014-06-01,137,115,105,66,68,50,310,231,541
SAN MIGUEL DE VELASCO,estado nutricional,total talla normal,2014-06-01,137,130,75,84,116,118,328,332,660
SAN PABLO DE LIPEZ,estado nutricional,total talla normal,2014-06-01,25,18,12,20,10,23,47,61,108
SAN PEDRO,estado nutricional,total talla normal,2014-06-01,119,130,114,114,121,132,354,376,730
SAN PEDRO DE BUENA VISTA,estado nutricional,total talla normal,2014-06-01,197,179,155,171,155,128,507,478,985
SAN PEDRO DE CURAHUARA,estado nutricional,total talla normal,2014-06-01,30,25,26,19,35,23,91,67,158
SAN PEDRO DE QUEMES,estado nutricional,total talla normal,2014-06-01,3,5,4,5,4,2,11,12,23
SAN PEDRO DE TIQUINA,estado nutricional,total talla normal,2014-06-01,28,35,21,13,44,32,93,80,173
SAN PEDRO(PND),estado nutricional,total talla normal,2014-06-01,8,18,18,14,33,20,59,52,111
SAN RAFAEL,estado nutricional,total talla normal,2014-06-01,69,37,66,49,51,52,186,138,324
SAN RAMON BENI,estado nutricional,total talla normal,2014-06-01,41,42,32,23,23,21,96,86,182
SAN RAMON SCZ,estado nutricional,total talla normal,2014-06-01,73,66,55,58,81,49,209,173,382
SANTA ANA,estado nutricional,total talla normal,2014-06-01,197,171,73,102,102,90,372,363,735
SANTA CRUZ DE LA SIERRA,estado nutricional,total talla normal,2014-06-01,8677,8060,4699,4610,4107,3827,17483,16497,33980
SANTA ROSA,estado nutricional,total talla normal,2014-06-01,104,100,67,67,81,92,252,259,511
SANTA ROSA DEL SARA,estado nutricional,total talla normal,2014-06-01,122,125,109,113,74,80,305,318,623
SANTIAGO DE CALLAPA,estado nutricional,total talla normal,2014-06-01,31,12,22,23,12,12,65,47,112
SANTIAGO DE HUARI,estado nutricional,total talla normal,2014-06-01,101,91,81,55,97,73,279,219,498
SANTIAGO DE HUATA,estado nutricional,total talla normal,2014-06-01,39,29,37,28,37,39,113,96,209
SANTIAGO DE MACHACA,estado nutricional,total talla normal,2014-06-01,24,26,12,26,28,17,64,69,133
SANTIVAÑES,estado nutricional,total talla normal,2014-06-01,82,66,42,31,48,68,172,165,337
SANTUARIO DE QUILLACAS,estado nutricional,total talla normal,2014-06-01,29,27,13,17,24,31,66,75,141
SAPAHAQUI,estado nutricional,total talla normal,2014-06-01,66,67,52,47,73,44,191,158,349
SENA,estado nutricional,total talla normal,2014-06-01,90,66,37,46,56,54,183,166,349
SHINAOTA,estado nutricional,total talla normal,2014-06-01,342,313,279,234,339,303,960,850,1810
SICA SICA (VILLA AROMA),estado nutricional,total talla normal,2014-06-01,173,144,101,129,152,150,426,423,849
SICAYA,estado nutricional,total talla normal,2014-06-01,33,35,25,27,22,18,80,80,160
SIPE SIPE,estado nutricional,total talla normal,2014-06-01,527,462,361,337,305,309,1193,1108,2301
SOPACHUY,estado nutricional,total talla normal,2014-06-01,52,54,38,41,63,78,153,173,326
SORACACHI,estado nutricional,total talla normal,2014-06-01,98,102,101,99,116,103,315,304,619
SORATA,estado nutricional,total talla normal,2014-06-01,148,124,116,119,186,154,450,397,847
SUCRE,estado nutricional,total talla normal,2014-06-01,2647,2641,2132,2083,2274,2224,7053,6948,14001
TACACHI,estado nutricional,total talla normal,2014-06-01,16,8,9,6,6,8,31,22,53
TACACOMA,estado nutricional,total talla normal,2014-06-01,43,24,31,36,28,33,102,93,195
TACOBAMBA,estado nutricional,total talla normal,2014-06-01,67,81,62,63,28,32,157,176,333
TACOPAYA,estado nutricional,total talla normal,2014-06-01,76,62,31,52,58,56,165,170,335
TAHUA,estado nutricional,total talla normal,2014-06-01,6,13,4,8,4,5,14,26,40
TAPACARI,estado nutricional,total talla normal,2014-06-01,158,177,170,167,163,177,491,521,1012
TARABUCO,estado nutricional,total talla normal,2014-06-01,102,114,85,93,143,142,330,349,679
TARACO,estado nutricional,total talla normal,2014-06-01,20,21,16,17,15,16,51,54,105
TARATA,estado nutricional,total talla normal,2014-06-01,131,97,63,63,81,63,275,223,498
TARIJA,estado nutricional,total talla normal,2014-06-01,1858,1729,1394,1307,1408,1299,4660,4335,8995
TARVITA,estado nutricional,total talla normal,2014-06-01,101,105,107,76,137,134,345,315,660
TEOPONTE,estado nutricional,total talla normal,2014-06-01,140,121,99,100,137,143,376,364,740
TIAWANACU,estado nutricional,total talla normal,2014-06-01,83,84,73,71,49,56,205,211,416
TINGUIPAYA,estado nutricional,total talla normal,2014-06-01,158,134,95,91,98,77,351,302,653
TIPUANI,estado nutricional,total talla normal,2014-06-01,100,90,80,69,98,78,278,237,515
TIQUIPAYA,estado nutricional,total talla normal,2014-06-01,529,478,406,377,497,447,1432,1302,2734
TIRAQUE (CBBA),estado nutricional,total talla normal,2014-06-01,167,163,112,130,110,97,389,390,779
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,total talla normal,2014-06-01,5,4,5,4,6,7,16,15,31
TOCO,estado nutricional,total talla normal,2014-06-01,55,45,45,37,47,45,147,127,274
TODOS SANTOS,estado nutricional,total talla normal,2014-06-01,0,0,1,3,4,2,5,5,10
TOLATA,estado nutricional,total talla normal,2014-06-01,74,69,46,32,66,82,186,183,369
TOLEDO,estado nutricional,total talla normal,2014-06-01,44,52,26,23,54,35,124,110,234
TOMAVE,estado nutricional,total talla normal,2014-06-01,112,105,69,84,79,70,260,259,519
TORO TORO,estado nutricional,total talla normal,2014-06-01,100,78,61,64,75,93,236,235,471
TOTORA(CBBA),estado nutricional,total talla normal,2014-06-01,157,161,144,119,102,72,403,352,755
TOTORA(ORR),estado nutricional,total talla normal,2014-06-01,51,31,34,33,58,53,143,117,260
TRIGAL,estado nutricional,total talla normal,2014-06-01,11,8,9,7,15,12,35,27,62
TRINIDAD,estado nutricional,total talla normal,2014-06-01,1002,890,602,564,541,549,2145,2003,4148
TUPIZA,estado nutricional,total talla normal,2014-06-01,255,292,222,212,264,231,741,735,1476
TURCO,estado nutricional,total talla normal,2014-06-01,51,23,24,46,40,42,115,111,226
UMALA,estado nutricional,total talla normal,2014-06-01,42,41,42,40,41,44,125,125,250
UNCIA,estado nutricional,total talla normal,2014-06-01,109,115,78,87,58,63,245,265,510
URIONDO (A. CONCEPCION),estado nutricional,total talla normal,2014-06-01,274,182,145,138,132,159,551,479,1030
URUBICHA,estado nutricional,total talla normal,2014-06-01,69,71,43,35,84,87,196,193,389
UYUNI,estado nutricional,total talla normal,2014-06-01,217,189,137,127,66,65,420,381,801
VACAS,estado nutricional,total talla normal,2014-06-01,57,58,51,52,46,36,154,146,300
VALLEGRANDE,estado nutricional,total talla normal,2014-06-01,140,106,95,105,100,110,335,321,656
VIACHA,estado nutricional,total talla normal,2014-06-01,560,508,358,291,327,281,1245,1080,2325
VILA VILA,estado nutricional,total talla normal,2014-06-01,34,31,36,30,26,44,96,105,201
VILLA CHARCAS,estado nutricional,total talla normal,2014-06-01,113,151,98,76,118,144,329,371,700
VILLA MONTES,estado nutricional,total talla normal,2014-06-01,366,367,239,235,243,224,848,826,1674
VILLA NUEVA (LOMA ALTA),estado nutricional,total talla normal,2014-06-01,52,40,40,32,66,61,158,133,291
VILLA RIVERO,estado nutricional,total talla normal,2014-06-01,95,95,66,84,52,55,213,234,447
VILLA TUNARI,estado nutricional,total talla normal,2014-06-01,1017,1015,771,738,942,916,2730,2669,5399
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,total talla normal,2014-06-01,81,59,90,60,109,100,280,219,499
VILLAZON,estado nutricional,total talla normal,2014-06-01,18,32,5,8,5,6,28,46,74
VINTO,estado nutricional,total talla normal,2014-06-01,393,325,264,152,231,199,888,676,1564
VITICHI,estado nutricional,total talla normal,2014-06-01,75,55,59,63,77,77,211,195,406
WALDO BALLIVIAN,estado nutricional,total talla normal,2014-06-01,15,14,18,10,13,17,46,41,87
WARNES,estado nutricional,total talla normal,2014-06-01,740,712,588,539,566,528,1894,1779,3673
YACO,estado nutricional,total talla normal,2014-06-01,56,64,45,44,42,51,143,159,302
YACUIBA,estado nutricional,total talla normal,2014-06-01,893,812,760,658,759,721,2412,2191,4603
YAMPARAEZ,estado nutricional,total talla normal,2014-06-01,51,46,43,37,77,77,171,160,331
YANACACHI,estado nutricional,total talla normal,2014-06-01,48,65,42,43,83,49,173,157,330
YAPACANI,estado nutricional,total talla normal,2014-06-01,493,453,384,396,232,232,1109,1081,2190
YOCALLA,estado nutricional,total talla normal,2014-06-01,93,85,83,66,81,64,257,215,472
YOTALA,estado nutricional,total talla normal,2014-06-01,49,46,50,41,109,111,208,198,406
YUNCHARA,estado nutricional,total talla normal,2014-06-01,37,23,35,33,84,80,156,136,292
YUNGUYO DE LITORAL,estado nutricional,total talla normal,2014-06-01,0,1,2,1,2,2,4,4,8
ZUDAÑEZ,estado nutricional,total talla normal,2014-06-01,53,51,41,41,72,88,166,180,346
ACACIO,estado nutricional,total talla normal,2014-07-01,35,36,29,26,40,55,104,117,221
ACHACACHI,estado nutricional,total talla normal,2014-07-01,253,201,190,207,155,139,598,547,1145
ACHOCALLA,estado nutricional,total talla normal,2014-07-01,106,88,82,76,73,52,261,216,477
AIQUILE,estado nutricional,total talla normal,2014-07-01,277,241,279,225,258,226,814,692,1506
ALALAY,estado nutricional,total talla normal,2014-07-01,16,16,10,9,12,7,38,32,70
ALTO BENI,estado nutricional,total talla normal,2014-07-01,98,92,76,63,72,76,246,231,477
ANCORAIMES,estado nutricional,total talla normal,2014-07-01,83,86,72,62,95,104,250,252,502
ANDAMARCA,estado nutricional,total talla normal,2014-07-01,23,32,17,26,52,48,92,106,198
ANTEQUERA,estado nutricional,total talla normal,2014-07-01,31,31,19,13,20,18,70,62,132
ANZALDO,estado nutricional,total talla normal,2014-07-01,16,17,7,12,16,19,39,48,87
APOLO,estado nutricional,total talla normal,2014-07-01,196,192,141,151,165,164,502,507,1009
ARANI,estado nutricional,total talla normal,2014-07-01,119,106,89,63,72,69,280,238,518
ARBIETO,estado nutricional,total talla normal,2014-07-01,170,192,139,173,176,208,485,573,1058
