,group,variable,month,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
POROMA,estado nutricional,total talla baja,2014-06-01,18,12,39,32,66,71,123,115,238
PORONGO,estado nutricional,total talla baja,2014-06-01,0,0,0,0,0,1,0,1,1
PORTACHUELO,estado nutricional,total talla baja,2014-06-01,1,3,2,1,0,0,3,4,7
PORVENIR,estado nutricional,total talla baja,2014-06-01,7,3,2,3,4,4,13,10,23
POSTRER VALLE,estado nutricional,total talla baja,2014-06-01,0,0,5,0,0,1,5,1,6
POTOSI,estado nutricional,total talla baja,2014-06-01,218,126,287,173,151,147,656,446,1102
PRESTO,estado nutricional,total talla baja,2014-06-01,10,8,31,21,56,54,97,83,180
PUCARA,estado nutricional,total talla baja,2014-06-01,1,0,2,0,5,2,8,2,10
PUCARANI,estado nutricional,total talla baja,2014-06-01,10,12,30,12,10,7,50,31,81
PUERTO ACOSTA,estado nutricional,total talla baja,2014-06-01,5,5,11,7,4,1,20,13,33
PUERTO CARABUCO,estado nutricional,total talla baja,2014-06-01,8,4,6,6,14,7,28,17,45
PUERTO GONZALO MORENO,estado nutricional,total talla baja,2014-06-01,19,8,20,13,45,48,84,69,153
PUERTO PEREZ,estado nutricional,total talla baja,2014-06-01,1,1,1,1,2,0,4,2,6
PUERTO QUIJARRO,estado nutricional,total talla baja,2014-06-01,1,1,0,0,0,0,1,1,2
PUERTO RICO,estado nutricional,total talla baja,2014-06-01,4,2,8,2,4,4,16,8,24
PUERTO SILES,estado nutricional,total talla baja,2014-06-01,3,1,5,4,2,1,10,6,16
PUERTO SUAREZ,estado nutricional,total talla baja,2014-06-01,4,0,7,3,1,0,12,3,15
PUERTO VILLARROEL,estado nutricional,total talla baja,2014-06-01,18,14,53,39,44,41,115,94,209
PUNA,estado nutricional,total talla baja,2014-06-01,15,6,35,20,43,68,93,94,187
PUNATA,estado nutricional,total talla baja,2014-06-01,11,10,21,16,16,16,48,42,90
QUIABAYA,estado nutricional,total talla baja,2014-06-01,5,1,8,11,10,5,23,17,40
QUILLACOLLO,estado nutricional,total talla baja,2014-06-01,45,55,102,66,111,92,258,213,471
QUIME,estado nutricional,total talla baja,2014-06-01,3,6,8,8,3,5,14,19,33
QUIRUSILLAS,estado nutricional,total talla baja,2014-06-01,0,0,1,1,0,1,1,2,3
RAVELO,estado nutricional,total talla baja,2014-06-01,32,23,67,57,122,124,221,204,425
REYES,estado nutricional,total talla baja,2014-06-01,6,3,12,6,5,2,23,11,34
RIBERALTA,estado nutricional,total talla baja,2014-06-01,46,23,78,56,52,46,176,125,301
ROBORE,estado nutricional,total talla baja,2014-06-01,0,0,0,0,1,1,1,1,2
RURRENABAQUE,estado nutricional,total talla baja,2014-06-01,12,8,18,7,7,8,37,23,60
SABAYA,estado nutricional,total talla baja,2014-06-01,2,0,1,2,2,3,5,5,10
SACABA,estado nutricional,total talla baja,2014-06-01,55,38,75,65,71,50,201,153,354
SACABAMBA,estado nutricional,total talla baja,2014-06-01,0,6,2,3,10,7,12,16,28
SACACA,estado nutricional,total talla baja,2014-06-01,21,19,49,27,45,33,115,79,194
SAIPINA,estado nutricional,total talla baja,2014-06-01,1,0,0,1,1,4,2,5,7
SALINAS DE GARCI MENDOZA,estado nutricional,total talla baja,2014-06-01,26,13,40,22,53,43,119,78,197
SAN AGUSTIN,estado nutricional,total talla baja,2014-06-01,0,3,2,1,2,2,4,6,10
SAN ANDRES,estado nutricional,total talla baja,2014-06-01,2,2,3,2,7,4,12,8,20
SAN ANDRES DE MACHACA,estado nutricional,total talla baja,2014-06-01,0,0,4,3,0,4,4,7,11
SAN ANTONIO DE ESMORUCO,estado nutricional,total talla baja,2014-06-01,2,1,4,2,6,6,12,9,21
SAN ANTONIO DE LOMERIO,estado nutricional,total talla baja,2014-06-01,7,4,12,10,18,20,37,34,71
SAN BENITO,estado nutricional,total talla baja,2014-06-01,4,1,6,6,5,1,15,8,23
SAN BORJA,estado nutricional,total talla baja,2014-06-01,39,18,57,35,76,56,172,109,281
SAN BUENA VENTURA,estado nutricional,total talla baja,2014-06-01,4,3,4,2,5,5,13,10,23
SAN CARLOS,estado nutricional,total talla baja,2014-06-01,1,4,0,0,0,1,1,5,6
SAN IGNACIO,estado nutricional,total talla baja,2014-06-01,26,13,27,16,39,37,92,66,158
SAN IGNACIO DE VELASCO,estado nutricional,total talla baja,2014-06-01,39,19,51,30,22,24,112,73,185
SAN JAVIER(BNI),estado nutricional,total talla baja,2014-06-01,0,1,1,0,0,0,1,1,2
SAN JAVIER(STC),estado nutricional,total talla baja,2014-06-01,1,1,3,1,1,1,5,3,8
SAN JOAQUIN,estado nutricional,total talla baja,2014-06-01,2,6,0,3,7,4,9,13,22
SAN JOSE DE CHIQUITOS,estado nutricional,total talla baja,2014-06-01,5,1,0,4,1,4,6,9,15
SAN JUAN DE YAPACANI,estado nutricional,total talla baja,2014-06-01,2,0,4,0,0,1,6,1,7
SAN JULIAN,estado nutricional,total talla baja,2014-06-01,3,1,1,7,5,11,9,19,28
SAN LORENZO(PND),estado nutricional,total talla baja,2014-06-01,5,2,5,6,3,7,13,15,28
SAN LORENZO(TJA),estado nutricional,total talla baja,2014-06-01,11,11,8,9,13,13,32,33,65
SAN LUCAS,estado nutricional,total talla baja,2014-06-01,40,31,71,70,146,151,257,252,509
SAN MATIAS,estado nutricional,total talla baja,2014-06-01,1,0,1,2,0,0,2,2,4
SAN MIGUEL DE VELASCO,estado nutricional,total talla baja,2014-06-01,12,11,21,6,7,8,40,25,65
SAN PABLO DE LIPEZ,estado nutricional,total talla baja,2014-06-01,0,0,1,3,1,1,2,4,6
SAN PEDRO,estado nutricional,total talla baja,2014-06-01,10,2,4,3,8,6,22,11,33
SAN PEDRO DE BUENA VISTA,estado nutricional,total talla baja,2014-06-01,27,25,70,48,75,68,172,141,313
SAN PEDRO DE CURAHUARA,estado nutricional,total talla baja,2014-06-01,1,0,7,3,2,1,10,4,14
SAN PEDRO DE QUEMES,estado nutricional,total talla baja,2014-06-01,1,1,1,1,2,0,4,2,6
SAN PEDRO DE TIQUINA,estado nutricional,total talla baja,2014-06-01,3,0,3,1,4,3,10,4,14
SAN PEDRO(PND),estado nutricional,total talla baja,2014-06-01,0,0,0,0,5,1,5,1,6
SAN RAFAEL,estado nutricional,total talla baja,2014-06-01,0,2,4,0,4,2,8,4,12
SAN RAMON BENI,estado nutricional,total talla baja,2014-06-01,1,1,2,1,2,1,5,3,8
SAN RAMON SCZ,estado nutricional,total talla baja,2014-06-01,2,2,3,0,1,1,6,3,9
SANTA ANA,estado nutricional,total talla baja,2014-06-01,9,5,9,9,12,60,30,74,104
SANTA CRUZ DE LA SIERRA,estado nutricional,total talla baja,2014-06-01,90,88,90,70,88,77,268,235,503
SANTA ROSA,estado nutricional,total talla baja,2014-06-01,5,2,5,4,1,3,11,9,20
SANTA ROSA DEL SARA,estado nutricional,total talla baja,2014-06-01,1,1,1,3,0,1,2,5,7
SANTIAGO DE CALLAPA,estado nutricional,total talla baja,2014-06-01,2,1,2,0,1,0,5,1,6
SANTIAGO DE HUARI,estado nutricional,total talla baja,2014-06-01,7,6,14,4,29,27,50,37,87
SANTIAGO DE HUATA,estado nutricional,total talla baja,2014-06-01,2,1,11,2,7,2,20,5,25
SANTIAGO DE MACHACA,estado nutricional,total talla baja,2014-06-01,2,3,11,10,11,7,24,20,44
SANTIVAÑES,estado nutricional,total talla baja,2014-06-01,3,0,5,5,3,1,11,6,17
SANTUARIO DE QUILLACAS,estado nutricional,total talla baja,2014-06-01,2,2,11,3,5,8,18,13,31
SAPAHAQUI,estado nutricional,total talla baja,2014-06-01,4,2,10,8,15,7,29,17,46
SENA,estado nutricional,total talla baja,2014-06-01,1,2,9,8,11,10,21,20,41
SHINAOTA,estado nutricional,total talla baja,2014-06-01,6,4,8,6,15,13,29,23,52
SICA SICA (VILLA AROMA),estado nutricional,total talla baja,2014-06-01,13,11,32,32,21,20,66,63,129
SICAYA,estado nutricional,total talla baja,2014-06-01,4,0,9,9,10,16,23,25,48
SIPE SIPE,estado nutricional,total talla baja,2014-06-01,15,12,47,21,21,22,83,55,138
SOPACHUY,estado nutricional,total talla baja,2014-06-01,9,2,14,10,42,39,65,51,116
SORACACHI,estado nutricional,total talla baja,2014-06-01,11,6,24,19,30,7,65,32,97
SORATA,estado nutricional,total talla baja,2014-06-01,8,2,6,4,17,12,31,18,49
SUCRE,estado nutricional,total talla baja,2014-06-01,46,30,91,70,106,88,243,188,431
TACACHI,estado nutricional,total talla baja,2014-06-01,0,0,1,5,2,3,3,8,11
TACACOMA,estado nutricional,total talla baja,2014-06-01,0,1,6,2,9,4,15,7,22
TACOBAMBA,estado nutricional,total talla baja,2014-06-01,14,8,28,15,11,18,53,41,94
TACOPAYA,estado nutricional,total talla baja,2014-06-01,10,5,27,22,30,29,67,56,123
TAPACARI,estado nutricional,total talla baja,2014-06-01,41,38,76,53,74,59,191,150,341
TARABUCO,estado nutricional,total talla baja,2014-06-01,15,8,32,29,97,85,144,122,266
TARACO,estado nutricional,total talla baja,2014-06-01,3,2,6,1,2,2,11,5,16
TARATA,estado nutricional,total talla baja,2014-06-01,6,2,10,5,4,3,20,10,30
TARIJA,estado nutricional,total talla baja,2014-06-01,14,15,24,34,43,43,81,92,173
TARVITA,estado nutricional,total talla baja,2014-06-01,8,8,17,12,77,73,102,93,195
TEOPONTE,estado nutricional,total talla baja,2014-06-01,0,0,0,0,3,1,3,1,4
TIAWANACU,estado nutricional,total talla baja,2014-06-01,15,8,8,10,3,4,26,22,48
TINGUIPAYA,estado nutricional,total talla baja,2014-06-01,23,19,55,53,42,29,120,101,221
TIPUANI,estado nutricional,total talla baja,2014-06-01,1,1,7,11,4,0,12,12,24
TIQUIPAYA,estado nutricional,total talla baja,2014-06-01,26,35,33,42,38,40,97,117,214
TIRAQUE (CBBA),estado nutricional,total talla baja,2014-06-01,27,20,34,30,20,18,81,68,149
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,total talla baja,2014-06-01,2,0,2,0,1,1,5,1,6
TOCO,estado nutricional,total talla baja,2014-06-01,0,1,3,2,0,2,3,5,8
TODOS SANTOS,estado nutricional,total talla baja,2014-06-01,11,0,1,0,0,0,12,0,12
TOLATA,estado nutricional,total talla baja,2014-06-01,1,0,3,3,2,3,6,6,12
TOLEDO,estado nutricional,total talla baja,2014-06-01,3,2,16,5,8,6,27,13,40
TOMAVE,estado nutricional,total talla baja,2014-06-01,15,9,27,14,24,19,66,42,108
TORO TORO,estado nutricional,total talla baja,2014-06-01,12,10,31,15,48,37,91,62,153
TOTORA(CBBA),estado nutricional,total talla baja,2014-06-01,18,7,24,18,19,14,61,39,100
TOTORA(ORR),estado nutricional,total talla baja,2014-06-01,8,3,14,10,5,12,27,25,52
TRIGAL,estado nutricional,total talla baja,2014-06-01,0,0,0,0,0,1,0,1,1
TRINIDAD,estado nutricional,total talla baja,2014-06-01,17,20,19,14,13,27,49,61,110
TUPIZA,estado nutricional,total talla baja,2014-06-01,18,15,26,13,20,22,64,50,114
TURCO,estado nutricional,total talla baja,2014-06-01,3,0,3,4,0,4,6,8,14
UMALA,estado nutricional,total talla baja,2014-06-01,4,5,9,9,17,13,30,27,57
UNCIA,estado nutricional,total talla baja,2014-06-01,15,2,22,14,32,14,69,30,99
URIONDO (A. CONCEPCION),estado nutricional,total talla baja,2014-06-01,2,4,2,0,1,3,5,7,12
URUBICHA,estado nutricional,total talla baja,2014-06-01,2,6,6,9,5,2,13,17,30
UYUNI,estado nutricional,total talla baja,2014-06-01,7,4,16,14,9,16,32,34,66
VACAS,estado nutricional,total talla baja,2014-06-01,15,16,33,22,19,16,67,54,121
VALLEGRANDE,estado nutricional,total talla baja,2014-06-01,1,0,3,4,4,2,8,6,14
VIACHA,estado nutricional,total talla baja,2014-06-01,54,36,41,166,32,33,127,235,362
VILA VILA,estado nutricional,total talla baja,2014-06-01,8,12,11,16,18,22,37,50,87
VILLA CHARCAS,estado nutricional,total talla baja,2014-06-01,15,5,38,42,76,72,129,119,248
VILLA MONTES,estado nutricional,total talla baja,2014-06-01,5,9,10,4,1,1,16,14,30
VILLA NUEVA (LOMA ALTA),estado nutricional,total talla baja,2014-06-01,4,2,6,0,8,3,18,5,23
VILLA RIVERO,estado nutricional,total talla baja,2014-06-01,7,5,20,20,15,13,42,38,80
VILLA TUNARI,estado nutricional,total talla baja,2014-06-01,44,27,87,72,151,133,282,232,514
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,total talla baja,2014-06-01,1,1,3,1,7,4,11,6,17
VILLAZON,estado nutricional,total talla baja,2014-06-01,7,9,10,5,3,3,20,17,37
VINTO,estado nutricional,total talla baja,2014-06-01,7,2,35,13,21,11,63,26,89
VITICHI,estado nutricional,total talla baja,2014-06-01,7,3,18,10,11,22,36,35,71
WALDO BALLIVIAN,estado nutricional,total talla baja,2014-06-01,0,0,6,4,2,3,8,7,15
WARNES,estado nutricional,total talla baja,2014-06-01,32,17,34,27,28,19,94,63,157
YACO,estado nutricional,total talla baja,2014-06-01,4,1,6,11,19,14,29,26,55
YACUIBA,estado nutricional,total talla baja,2014-06-01,23,18,39,23,22,35,84,76,160
YAMPARAEZ,estado nutricional,total talla baja,2014-06-01,4,6,20,8,49,61,73,75,148
YANACACHI,estado nutricional,total talla baja,2014-06-01,0,0,1,0,1,0,2,0,2
YAPACANI,estado nutricional,total talla baja,2014-06-01,5,2,7,5,1,6,13,13,26
YOCALLA,estado nutricional,total talla baja,2014-06-01,6,5,19,15,16,8,41,28,69
YOTALA,estado nutricional,total talla baja,2014-06-01,4,0,4,8,17,9,25,17,42
YUNCHARA,estado nutricional,total talla baja,2014-06-01,17,11,18,15,28,23,63,49,112
ZUDAÑEZ,estado nutricional,total talla baja,2014-06-01,8,6,10,9,49,48,67,63,130
ACACIO,estado nutricional,total talla baja,2014-07-01,6,4,20,10,25,38,51,52,103
ACHACACHI,estado nutricional,total talla baja,2014-07-01,17,16,30,19,37,18,84,53,137
ACHOCALLA,estado nutricional,total talla baja,2014-07-01,7,2,11,7,10,13,28,22,50
AIQUILE,estado nutricional,total talla baja,2014-07-01,10,4,21,15,23,27,54,46,100
ALALAY,estado nutricional,total talla baja,2014-07-01,6,10,12,5,8,7,26,22,48
ALTO BENI,estado nutricional,total talla baja,2014-07-01,0,0,9,2,14,14,23,16,39
ANCORAIMES,estado nutricional,total talla baja,2014-07-01,14,5,24,11,19,22,57,38,95
ANDAMARCA,estado nutricional,total talla baja,2014-07-01,8,4,11,15,20,16,39,35,74
ANTEQUERA,estado nutricional,total talla baja,2014-07-01,2,1,8,3,0,2,10,6,16
ANZALDO,estado nutricional,total talla baja,2014-07-01,4,0,3,7,6,5,13,12,25
APOLO,estado nutricional,total talla baja,2014-07-01,9,3,33,14,34,26,76,43,119
ARANI,estado nutricional,total talla baja,2014-07-01,2,3,19,12,6,10,27,25,52
ARBIETO,estado nutricional,total talla baja,2014-07-01,1,3,13,3,9,4,23,10,33
ARQUE,estado nutricional,total talla baja,2014-07-01,12,14,24,26,28,34,64,74,138
ASCENCION DE GUARAYOS,estado nutricional,total talla baja,2014-07-01,7,0,16,6,6,12,29,18,47
ATOCHA,estado nutricional,total talla baja,2014-07-01,13,2,13,9,13,22,39,33,72
AUCAPATA,estado nutricional,total talla baja,2014-07-01,4,3,5,0,4,8,13,11,24
AYATA,estado nutricional,total talla baja,2014-07-01,8,5,25,21,18,23,51,49,100
AYO AYO,estado nutricional,total talla baja,2014-07-01,9,10,21,17,17,11,47,38,85
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla baja,2014-07-01,48,36,81,52,53,63,182,151,333
AZURDUY,estado nutricional,total talla baja,2014-07-01,14,5,38,17,64,99,116,121,237
BATALLAS,estado nutricional,total talla baja,2014-07-01,4,2,17,14,6,19,27,35,62
BAURES,estado nutricional,total talla baja,2014-07-01,0,0,4,1,6,4,10,5,15
BELEN DE ANDAMARCA,estado nutricional,total talla baja,2014-07-01,1,0,5,2,1,1,7,3,10
BELEN DE URMIRI,estado nutricional,total talla baja,2014-07-01,1,1,3,4,3,7,7,12,19
BELLA FLOR,estado nutricional,total talla baja,2014-07-01,2,0,2,5,0,0,4,5,9
BERMEJO,estado nutricional,total talla baja,2014-07-01,16,11,23,7,14,18,53,36,89
BETANZOS,estado nutricional,total talla baja,2014-07-01,42,30,114,64,145,135,301,229,530
BOLIVAR,estado nutricional,total talla baja,2014-07-01,26,28,43,27,42,33,111,88,199
BOLPEBRA,estado nutricional,total talla baja,2014-07-01,3,1,4,1,3,0,10,2,12
BOYUIBE,estado nutricional,total talla baja,2014-07-01,2,0,3,3,2,2,7,5,12
BUENA VISTA,estado nutricional,total talla baja,2014-07-01,1,1,0,1,3,5,4,7,11
CABEZAS,estado nutricional,total talla baja,2014-07-01,0,3,4,2,4,3,8,8,16
CAIROMA,estado nutricional,total talla baja,2014-07-01,2,4,7,4,6,7,15,15,30
"CAIZA ""D""",estado nutricional,total talla baja,2014-07-01,7,5,17,9,15,18,39,32,71
CAJUATA,estado nutricional,total talla baja,2014-07-01,8,7,8,11,8,9,24,27,51
CALACOTO,estado nutricional,total talla baja,2014-07-01,1,4,0,6,2,4,3,14,17
CALAMARCA,estado nutricional,total talla baja,2014-07-01,8,7,33,16,19,18,60,41,101
CAMARGO,estado nutricional,total talla baja,2014-07-01,15,12,34,20,51,53,100,85,185
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla baja,2014-07-01,0,0,4,5,6,6,10,11,21
CAMIRI,estado nutricional,total talla baja,2014-07-01,3,1,2,1,1,0,6,2,8
CAPINOTA,estado nutricional,total talla baja,2014-07-01,14,6,15,21,7,14,36,41,77
CAQUIAVIRI,estado nutricional,total talla baja,2014-07-01,12,7,14,8,8,10,34,25,59
CARACOLLO,estado nutricional,total talla baja,2014-07-01,12,8,36,16,19,18,67,42,109
CARANAVI,estado nutricional,total talla baja,2014-07-01,14,8,34,31,44,45,92,84,176
CARAPARI,estado nutricional,total talla baja,2014-07-01,0,0,5,1,3,1,8,2,10
CARIPUYO,estado nutricional,total talla baja,2014-07-01,10,4,40,24,48,42,98,70,168
CARMEN RIVERO TORREZ,estado nutricional,total talla baja,2014-07-01,0,0,0,0,1,2,1,2,3
CATACORA,estado nutricional,total talla baja,2014-07-01,5,4,2,2,6,3,13,9,22
CHACARILLA,estado nutricional,total talla baja,2014-07-01,0,0,3,0,1,1,4,1,5
CHALLAPATA,estado nutricional,total talla baja,2014-07-01,44,34,79,55,36,46,159,135,294
CHAQUI,estado nutricional,total talla baja,2014-07-01,17,5,22,15,17,11,56,31,87
CHARAGUA,estado nutricional,total talla baja,2014-07-01,5,3,5,5,8,3,18,11,29
CHARAÑA,estado nutricional,total talla baja,2014-07-01,0,0,4,1,0,0,4,1,5
CHAYANTA,estado nutricional,total talla baja,2014-07-01,10,11,15,22,13,13,38,46,84
CHIMORE,estado nutricional,total talla baja,2014-07-01,43,4,14,10,7,16,64,30,94
CHIPAYA,estado nutricional,total talla baja,2014-07-01,1,1,2,3,1,7,4,11,15
CHOQUE COTA,estado nutricional,total talla baja,2014-07-01,0,2,1,1,1,0,2,3,5
CHUA COCANI,estado nutricional,total talla baja,2014-07-01,0,1,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla baja,2014-07-01,0,0,1,1,2,1,3,2,5
CHUMA,estado nutricional,total talla baja,2014-07-01,10,8,18,12,18,19,46,39,85
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla baja,2014-07-01,7,5,17,10,15,9,39,24,63
CKOCHAS,estado nutricional,total talla baja,2014-07-01,14,20,61,35,61,65,136,120,256
CLIZA,estado nutricional,total talla baja,2014-07-01,3,1,4,3,3,4,10,8,18
COBIJA,estado nutricional,total talla baja,2014-07-01,23,22,44,25,32,19,99,66,165
COCAPATA,estado nutricional,total talla baja,2014-07-01,34,16,57,51,87,74,178,141,319
COCHABAMBA,estado nutricional,total talla baja,2014-07-01,146,125,223,170,167,165,536,460,996
COIPASA,estado nutricional,total talla baja,2014-07-01,1,0,0,0,0,1,1,1,2
COLCAPIRHUA,estado nutricional,total talla baja,2014-07-01,7,7,16,13,19,12,42,32,74
"COLCHA ""K""",estado nutricional,total talla baja,2014-07-01,9,9,20,9,17,7,46,25,71
COLLANA,estado nutricional,total talla baja,2014-07-01,0,1,3,0,1,2,4,3,7
COLOMI,estado nutricional,total talla baja,2014-07-01,14,11,39,24,27,40,80,75,155
COLQUECHACA,estado nutricional,total talla baja,2014-07-01,64,47,111,124,59,69,234,240,474
COLQUENCHA,estado nutricional,total talla baja,2014-07-01,14,8,17,10,21,15,52,33,85
COLQUIRI,estado nutricional,total talla baja,2014-07-01,23,13,11,12,21,7,55,32,87
COMANCHE,estado nutricional,total talla baja,2014-07-01,2,1,5,3,1,2,8,6,14
COMARAPA,estado nutricional,total talla baja,2014-07-01,2,2,13,9,9,10,24,21,45
COMBAYA,estado nutricional,total talla baja,2014-07-01,1,0,2,0,6,2,9,2,11
CONCEPCION,estado nutricional,total talla baja,2014-07-01,11,3,13,8,17,11,41,22,63
COPACABANA,estado nutricional,total talla baja,2014-07-01,1,4,8,2,6,4,15,10,25
CORIPATA,estado nutricional,total talla baja,2014-07-01,1,1,0,1,0,0,1,2,3
CORO CORO,estado nutricional,total talla baja,2014-07-01,13,3,15,5,4,9,32,17,49
COROICO,estado nutricional,total talla baja,2014-07-01,1,0,0,1,0,0,1,1,2
CORQUE,estado nutricional,total talla baja,2014-07-01,3,7,8,3,5,5,16,15,31
COTAGAITA,estado nutricional,total talla baja,2014-07-01,16,13,38,31,71,46,125,90,215
COTOCA,estado nutricional,total talla baja,2014-07-01,2,0,10,3,8,10,20,13,33
CUATRO CAÑADAS,estado nutricional,total talla baja,2014-07-01,86,103,56,68,35,29,177,200,377
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla baja,2014-07-01,2,1,5,0,5,3,12,4,16
CUEVO,estado nutricional,total talla baja,2014-07-01,4,1,2,1,9,14,15,16,31
CULPINA,estado nutricional,total talla baja,2014-07-01,24,13,20,34,50,46,94,93,187
CURAHUARA DE CARANGAS,estado nutricional,total talla baja,2014-07-01,12,2,8,10,7,9,27,21,48
CURVA,estado nutricional,total talla baja,2014-07-01,7,1,3,6,16,6,26,13,39
DESAGUADERO,estado nutricional,total talla baja,2014-07-01,0,1,3,3,4,4,7,8,15
EL ALTO,estado nutricional,total talla baja,2014-07-01,476,318,609,369,457,368,1542,1055,2597
EL CHORO,estado nutricional,total talla baja,2014-07-01,0,0,3,0,1,2,4,2,6
EL PUENTE(STC),estado nutricional,total talla baja,2014-07-01,2,1,3,1,0,1,5,3,8
EL PUENTE(TJA),estado nutricional,total talla baja,2014-07-01,11,8,18,14,19,20,48,42,90
EL TORNO,estado nutricional,total talla baja,2014-07-01,10,10,2,14,17,12,29,36,65
ENTRE RIOS TRJ,estado nutricional,total talla baja,2014-07-01,4,0,4,5,11,15,19,20,39
ENTRE RIOS CBBA,estado nutricional,total talla baja,2014-07-01,7,4,21,13,19,19,47,36,83
ESCARA,estado nutricional,total talla baja,2014-07-01,0,1,1,2,2,0,3,3,6
ESCOMA,estado nutricional,total talla baja,2014-07-01,2,4,6,6,11,10,19,20,39
ESMERALDA,estado nutricional,total talla baja,2014-07-01,0,0,1,0,0,1,1,1,2
EUCALIPTUS,estado nutricional,total talla baja,2014-07-01,3,3,10,1,7,7,20,11,31
EUREKA (SANTOS MERCADO),estado nutricional,total talla baja,2014-07-01,0,0,4,3,3,2,7,5,12
EXALTACION,estado nutricional,total talla baja,2014-07-01,1,0,1,4,1,2,3,6,9
FERNANDEZ ALONSO,estado nutricional,total talla baja,2014-07-01,2,2,4,5,8,4,14,11,25
FILADELFIA,estado nutricional,total talla baja,2014-07-01,2,2,3,0,2,1,7,3,10
GENERAL SAAVEDRA,estado nutricional,total talla baja,2014-07-01,9,4,13,9,14,5,36,18,54
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla baja,2014-07-01,7,5,23,8,22,15,52,28,80
GUANAY,estado nutricional,total talla baja,2014-07-01,5,5,6,10,31,6,42,21,63
GUAQUI,estado nutricional,total talla baja,2014-07-01,0,1,4,3,9,6,13,10,23
GUAYARAMERIN,estado nutricional,total talla baja,2014-07-01,28,28,39,30,34,29,101,87,188
GUTIERREZ,estado nutricional,total talla baja,2014-07-01,11,14,31,20,31,29,73,63,136
HUACARETA,estado nutricional,total talla baja,2014-07-01,3,0,4,1,4,5,11,6,17
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla baja,2014-07-01,1,0,6,1,6,5,13,6,19
HUACHACALLA,estado nutricional,total talla baja,2014-07-01,0,0,1,1,3,2,4,3,7
HUANUNI,estado nutricional,total talla baja,2014-07-01,49,28,57,33,23,26,129,87,216
HUARACAJE,estado nutricional,total talla baja,2014-07-01,0,0,1,2,1,0,2,2,4
HUARINA,estado nutricional,total talla baja,2014-07-01,5,2,9,2,8,2,22,6,28
HUATAJATA,estado nutricional,total talla baja,2014-07-01,0,0,4,1,5,1,9,2,11
HUAYLLAMARCA,estado nutricional,total talla baja,2014-07-01,3,0,1,4,4,4,8,8,16
HUMANATA,estado nutricional,total talla baja,2014-07-01,0,0,8,4,3,7,11,11,22
ICHOCA,estado nutricional,total talla baja,2014-07-01,8,4,21,13,16,14,45,31,76
ICLA,estado nutricional,total talla baja,2014-07-01,13,10,24,17,77,62,114,89,203
INGAVI (HUMAITA),estado nutricional,total talla baja,2014-07-01,1,0,1,4,2,6,4,10,14
INQUISIVI,estado nutricional,total talla baja,2014-07-01,2,6,11,8,7,8,20,22,42
IRUPANA (VILLA DE LANZA),estado nutricional,total talla baja,2014-07-01,0,0,1,2,0,1,1,3,4
IXIAMAS,estado nutricional,total talla baja,2014-07-01,3,3,2,4,6,8,11,15,26
JESUS DE MACHACA,estado nutricional,total talla baja,2014-07-01,7,7,2,6,11,6,20,19,39
LA ASUNTA,estado nutricional,total talla baja,2014-07-01,3,1,5,6,11,12,19,19,38
LA GUARDIA,estado nutricional,total talla baja,2014-07-01,6,6,11,10,5,9,22,25,47
LA PAZ,estado nutricional,total talla baja,2014-07-01,345,285,425,272,236,234,1006,791,1797
LA RIVERA,estado nutricional,total talla baja,2014-07-01,0,0,0,2,0,0,0,2,2
LAGUNILLAS,estado nutricional,total talla baja,2014-07-01,1,2,5,2,5,8,11,12,23
LAJA,estado nutricional,total talla baja,2014-07-01,10,6,15,19,12,7,37,32,69
LAS CARRERAS,estado nutricional,total talla baja,2014-07-01,1,0,2,2,3,4,6,6,12
LICOMA PAMPA,estado nutricional,total talla baja,2014-07-01,1,0,2,0,2,0,5,0,5
LLALLAGUA,estado nutricional,total talla baja,2014-07-01,28,17,47,33,26,14,101,64,165
LLICA,estado nutricional,total talla baja,2014-07-01,3,4,3,2,5,0,11,6,17
LORETO,estado nutricional,total talla baja,2014-07-01,0,1,0,1,1,1,1,3,4
LURIBAY,estado nutricional,total talla baja,2014-07-01,1,0,2,0,4,3,7,3,10
MACHACAMARCA,estado nutricional,total talla baja,2014-07-01,2,0,5,3,6,3,13,6,19
MACHARETI,estado nutricional,total talla baja,2014-07-01,7,1,5,0,4,2,16,3,19
MAGDALENA,estado nutricional,total talla baja,2014-07-01,1,1,2,2,2,3,5,6,11
MAIRANA,estado nutricional,total talla baja,2014-07-01,1,0,3,4,2,0,6,4,10
